"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
2923,543760,"Semien, Marcus",2923,100,0.265,0.273,0.276,0.538,0.368,0.336,0.249,173,652,89.7,20.4,2241,88.8,88.6,284,1318,1605,-0.20000000000000284,6.27,106,154,119,146,300,325,292,"-17.7","17.7"
2817,543257,"Grossman, Robbie",2817,100,0.239,0.176,0.286,0.415,0.337,0.334,0.234,133,557,87.3,20.5,2195,89,88.95,234,1081,1736,0,6.28,114,158,118,150,296,324,295,"-10.6","10.6"
2791,641487,"Crawford, J.P.",2791,100,0.273,0.103,0.32,0.376,0.314,0.298,0.257,169,619,85.6,9.5,2201,89.1,89.01,191,1235,1555,-0.09999999999999432,6.24,116,151,109,151,286,317,297,"4.3","-4.3"
2775,571745,"Haniger, Mitch",2775,100,0.253,0.232,0.281,0.485,0.34,0.353,0.262,157,620,89.3,14.8,2207,88.2,88.2,385,1293,1481,0,6.28,107,152,121,145,301,323,292,"-28.8","28.8"
2774,621566,"Olson, Matt",2774,100,0.271,0.269,0.269,0.54,0.379,0.378,0.264,153,565,91.5,16,2227,88.4,88.32,300,1305,1469,-0.10000000000000853,6.29,116,168,127,150,300,328,301,"-22","22"
2751,502671,"Goldschmidt, Paul",2751,100,0.294,0.221,0.331,0.514,0.373,0.397,0.293,177,603,92.6,17.1,2281,88.9,88.89,302,1215,1536,0,6.29,107,152,121,147,308,326,299,"-30","30"
2706,467793,"Santana, Carlos",2706,100,0.214,0.127,0.227,0.342,0.294,0.335,0.244,121,565,89.9,12.9,2171,88.6,88.61,261,1174,1532,0,6.2,113,162,127,150,302,328,304,"10.3","-10.3"
2691,663993,"Lowe, Nathaniel",2691,100,0.264,0.151,0.339,0.415,0.337,0.323,0.236,147,557,90.8,5,2212,89.5,89.33,283,1202,1489,-0.20000000000000284,6.25,116,158,124,152,295,328,305,"-18.4","18.4"
2688,518692,"Freeman, Freddie",2688,100,0.3,0.203,0.321,0.503,0.379,0.416,0.32,180,600,91.4,12,2199,89.5,89.64,289,1375,1313,0.09999999999999432,6.35,117,162,135,150,301,327,306,"-40.9","40.9"
2675,656305,"Chapman, Matt",2675,100,0.21,0.193,0.272,0.403,0.311,0.321,0.209,111,529,89.7,18.6,2238,89.3,89.08,391,1194,1481,-0.20000000000000284,6.32,108,152,121,147,304,325,295,"9.6","-9.6"
2675,608070,"Ramírez, José",2675,100,0.266,0.272,0.256,0.538,0.372,0.376,0.283,147,552,89.8,18.2,2161,88.4,88.15,171,1149,1526,-0.30000000000001137,6.25,111,161,123,148,296,323,297,"-36.2","36.2"
2660,518934,"LeMahieu, DJ",2660,100,0.268,0.094,0.301,0.362,0.315,0.34,0.283,160,597,90.6,5,2221,89.7,89.73,158,1100,1560,0,6.36,110,151,121,149,309,324,286,"-2.7","2.7"
2654,592450,"Judge, Aaron",2654,100,0.287,0.256,0.332,0.544,0.387,0.418,0.308,158,550,95.8,11.6,2234,88.8,88.9,328,1128,1526,0.10000000000000853,6.38,107,153,122,146,308,332,294,"-42.8","42.8"
2653,664702,"Straw, Myles",2653,100,0.271,0.076,0.336,0.348,0.311,0.303,0.256,153,564,86.4,12,2231,89.3,88.93,145,1071,1582,-0.3999999999999915,6.31,105,150,106,145,298,317,281,"7.9","-7.9"
2643,663697,"India, Jonathan",2643,100,0.269,0.19,0.326,0.459,0.363,0.352,0.254,143,532,87.5,12.9,2244,88.3,88.38,259,1030,1613,0.10000000000000853,6.3,107,151,116,145,299,321,291,"-29.9","29.9"
2642,592192,"Canha, Mark",2642,100,0.231,0.156,0.274,0.387,0.333,0.332,0.231,120,519,87.3,13.5,2269,88.4,88.29,230,1071,1571,-0.10000000000000853,6.33,108,153,120,147,301,324,293,"-20.5","20.5"
2612,608336,"Gallo, Joey",2612,100,0.199,0.259,0.246,0.458,0.348,0.352,0.199,99,498,89.8,20.7,2198,89,88.89,410,1056,1556,-0.09999999999999432,6.28,116,175,132,152,305,333,304,"-12.6","12.6"
2612,669242,"Edman, Tommy",2612,100,0.262,0.125,0.291,0.387,0.301,0.316,0.274,168,641,87,9,2232,89.2,89.3,185,1239,1373,0.09999999999999432,6.3,114,151,110,150,295,320,299,"6.4","-6.4"
2610,621043,"Correa, Carlos",2610,100,0.279,0.205,0.308,0.485,0.364,0.373,0.296,155,555,90.2,12.1,2204,88.8,88.74,230,1098,1512,-0.09999999999999432,6.31,108,152,120,147,301,327,292,"-30.8","30.8"
2609,666182,"Bichette, Bo",2609,100,0.298,0.186,0.339,0.484,0.354,0.355,0.291,191,640,91.4,7.3,2252,89.5,89.5,337,1508,1101,0,6.3,108,151,120,148,306,325,288,"-25.8","25.8"
2608,645277,"Albies, Ozzie",2608,100,0.259,0.229,0.278,0.488,0.336,0.329,0.257,163,629,89.5,20.9,2204,88.6,88.67,369,1482,1126,0.10000000000000853,6.34,113,154,120,148,299,324,299,"-16.1","16.1"
2608,593160,"Merrifield, Whit",2608,100,0.277,0.117,0.309,0.395,0.306,0.301,0.263,184,664,86.4,14,2256,89.1,88.97,236,1304,1304,-0.09999999999999432,6.25,105,151,107,147,303,321,291,"2.7","-2.7"
2606,547989,"Abreu, José",2606,100,0.261,0.219,0.293,0.481,0.354,0.349,0.252,148,566,92,10.4,2248,89.1,89.22,349,1261,1345,0.10000000000000853,6.29,106,151,120,146,303,327,296,"-32.3","32.3"
2601,665742,"Soto, Juan",2601,100,0.313,0.221,0.332,0.534,0.42,0.429,0.305,157,502,93,5.8,2211,89.4,89.4,182,911,1690,0,6.32,114,154,128,151,301,326,307,"-57.4","57.4"
2596,660162,"Moncada, Yoán",2596,100,0.263,0.148,0.35,0.412,0.347,0.353,0.261,137,520,90.1,11.3,2195,89.3,89.33,311,1106,1490,0,6.25,113,156,120,149,295,325,300,"-8","8"
2595,663586,"Riley, Austin",2595,100,0.303,0.227,0.368,0.531,0.379,0.366,0.281,179,590,90.1,14.2,2249,89.2,89.37,368,1302,1293,0.20000000000000284,6.39,106,152,119,146,309,327,296,"-33.8","33.8"
2594,660271,"Ohtani, Shohei",2594,100,0.257,0.335,0.303,0.592,0.393,0.408,0.266,138,537,92.9,16.3,2198,88.2,87.51,416,1189,1405,-0.7000000000000028,6.29,117,156,129,151,300,328,308,"-48.1","48.1"
2588,570731,"Schoop, Jonathan",2588,100,0.278,0.157,0.317,0.435,0.324,0.311,0.258,173,623,88.1,10.7,2221,88.9,88.89,335,1358,1230,0,6.29,108,153,122,147,301,326,293,"-4.2","4.2"
2588,656775,"Mullins, Cedric",2588,100,0.291,0.228,0.322,0.518,0.372,0.344,0.272,175,602,88.2,13.7,2223,89,89.01,244,1197,1391,0,6.4,109,149,101,150,289,321,298,"-24","24"
2578,621020,"Swanson, Dansby",2578,100,0.248,0.201,0.297,0.449,0.322,0.332,0.251,146,588,89,14.1,2246,88.4,88.63,377,1240,1338,0.19999999999998863,6.38,106,152,116,146,307,324,291,"-10.6","10.6"
2554,572122,"Seager, Kyle",2554,100,0.212,0.226,0.226,0.438,0.308,0.319,0.221,128,603,88.7,19,2198,87.5,87.45,375,1266,1288,-0.09999999999999432,6.25,115,166,123,151,294,323,299,"-14.5","14.5"
2547,600869,"Candelario, Jeimer",2547,100,0.271,0.172,0.333,0.443,0.344,0.356,0.278,151,557,88.6,12.5,2186,88.4,88.4,284,1212,1335,0,6.28,113,159,119,151,295,325,296,"-29.4","29.4"
2530,666185,"Carlson, Dylan",2530,100,0.266,0.172,0.332,0.437,0.336,0.322,0.247,144,542,87.8,14.5,2222,88.4,88.43,317,1138,1392,0,6.27,114,154,118,149,299,322,300,"-7.7","7.7"
2509,665489,"Guerrero Jr., Vladimir",2509,100,0.311,0.29,0.313,0.601,0.419,0.421,0.311,188,604,95.1,9.4,2220,89.4,89.44,330,1187,1322,0,6.31,108,153,122,148,307,329,295,"-60.7","60.7"
2508,666969,"García, Adolis",2508,100,0.243,0.212,0.306,0.454,0.314,0.299,0.22,141,581,90.8,14.6,2198,88.8,88.73,464,1358,1150,-0.09999999999999432,6.26,107,152,120,146,306,329,296,"3","-3"
2505,593428,"Bogaerts, Xander",2505,100,0.295,0.198,0.333,0.493,0.368,0.359,0.28,156,529,89.6,12.5,2228,88.4,88.46,252,1145,1360,0.09999999999999432,6.31,107,151,120,146,295,324,296,"-23.5","23.5"
2502,646240,"Devers, Rafael",2502,100,0.279,0.259,0.307,0.538,0.373,0.394,0.291,165,591,92.7,12.9,2220,89.5,89.52,371,1341,1161,0,6.31,115,156,124,150,289,325,306,"-36.9","36.9"
2493,668804,"Reynolds, Bryan",2493,100,0.302,0.22,0.345,0.522,0.385,0.386,0.294,169,559,89.2,13.3,2182,88,87.99,291,1219,1274,0,6.27,113,153,119,149,297,320,295,"-42.4","42.4"
2489,593871,"Polanco, Jorge",2489,100,0.269,0.235,0.282,0.503,0.349,0.348,0.267,158,588,88.3,18.6,2197,88.7,88.54,243,1233,1256,-0.20000000000000284,6.27,110,153,113,148,297,322,296,"-24.7","24.7"
2489,514888,"Altuve, Jose",2489,100,0.278,0.211,0.28,0.489,0.357,0.332,0.262,167,601,86.6,15,2198,88.6,88.41,187,1179,1310,-0.19999999999998863,6.33,106,152,110,146,297,325,291,"-24.8","24.8"
2487,607208,"Turner, Trea",2487,100,0.328,0.208,0.362,0.536,0.386,0.364,0.304,195,595,89.6,11.4,2259,88.9,88.94,281,1223,1264,0,6.34,106,151,114,146,304,322,293,"-32.9","32.9"
2479,668227,"Arozarena, Randy",2479,100,0.274,0.185,0.363,0.459,0.35,0.304,0.222,145,529,89.7,7.8,2221,88,87.99,355,1096,1382,0,6.44,105,152,117,148,302,327,293,"-13.6","13.6"
2468,641820,"Mancini, Trey",2468,100,0.255,0.176,0.308,0.432,0.326,0.341,0.266,142,556,88.9,9.6,2224,88.5,88.55,343,1160,1308,0,6.42,108,152,121,148,306,327,291,"-8.2","8.2"
2465,457759,"Turner, Justin",2465,100,0.278,0.193,0.292,0.471,0.358,0.359,0.27,148,533,90.9,19.2,2269,89.2,88.72,194,1096,1369,-0.5,6.26,107,151,121,146,304,324,297,"-24","24"
2457,514917,"Hernández, César",2457,100,0.232,0.154,0.266,0.386,0.302,0.311,0.243,132,570,86.4,9.7,2163,89,89,255,1158,1299,0,6.25,110,150,104,149,290,319,295,"6.1","-6.1"
2443,571448,"Arenado, Nolan",2443,100,0.255,0.239,0.249,0.494,0.336,0.311,0.248,151,593,89,20,2299,89.2,89.29,211,1143,1300,0.09999999999999432,6.33,106,152,121,147,308,326,300,"-16.9","16.9"
2435,630105,"Cronenworth, Jake",2435,100,0.266,0.194,0.283,0.46,0.341,0.344,0.276,151,567,88.1,12,2206,89.9,89.8,144,1051,1383,-0.10000000000000853,6.28,115,150,114,151,288,321,305,"-10.7","10.7"
2434,571970,"Muncy, Max",2434,100,0.249,0.278,0.257,0.527,0.379,0.407,0.271,124,497,91.2,15.2,2242,88.4,87.96,214,915,1519,-0.4000000000000057,6.25,116,162,135,150,300,325,306,"-39.2","39.2"
2426,519317,"Stanton, Giancarlo",2426,100,0.273,0.243,0.324,0.516,0.37,0.363,0.262,139,510,95.1,10.3,2232,89.2,89.27,350,1072,1354,0.09999999999999432,6.37,108,154,123,148,308,332,294,"-25.9","25.9"
2413,624585,"Soler, Jorge",2413,100,0.223,0.209,0.25,0.432,0.323,0.359,0.25,115,516,91.2,15.7,2271,88.5,88.5,316,1081,1332,0,6.29,107,152,122,146,307,330,303,"-12.7","12.7"
2410,502110,"Martinez, J.D.",2410,100,0.286,0.232,0.34,0.518,0.364,0.374,0.288,163,570,92.1,16.9,2247,88.7,88.73,382,1307,1103,0,6.3,107,152,122,146,297,326,300,"-30.9","30.9"
2404,500871,"Escobar, Eduardo",2404,100,0.253,0.219,0.279,0.472,0.334,0.328,0.249,139,549,86.9,20.6,2217,88.9,88.71,284,1189,1215,-0.20000000000000284,6.29,113,156,122,149,298,322,300,"-13.9","13.9"
