,NAME,ID,N_SWINGS,N_TAKES,N_P,GOOD_SWINGS,G%S,GS%,GS_RV,BAD_SWINGS,B%S,BS%,BS_RV,SRV,GOOD_TAKES,G%T,GT%,GT_RV,BAD_TAKES,B%T,BT%,BT_RV,TRV,EXP_RV,TOT_RV,SWTR,SWTR_Per650,Total_Percentile,Rate_Percentile
547,"Alfaro, Jorge",595751,108,67,175,46,42.6,26.3,-1.3,62,57.4,35.4,-6.1,-7.4,53,79.1,30.3,1.4,14,20.9,8.0,-0.6,0.8,-3.7,-6.5,-2.9,-41.9,56,1
548,"Hopkins, TJ",686759,78,96,174,32,41.0,18.4,-1.4,46,59.0,26.4,-4.3,-5.6,75,78.1,43.1,-0.0,21,21.9,12.1,-1.5,-1.5,-6.6,-7.2,-0.6,-8.8,81,60
549,"Young, Jared",676724,92,82,174,46,50.0,26.4,-2.0,46,50.0,26.4,-4.6,-6.6,71,86.6,40.8,1.0,11,13.4,6.3,-0.4,0.7,-6.0,-5.9,0.1,2.1,87,89
550,"Martínez, J.P.",679881,80,89,169,37,46.2,21.9,-1.9,43,53.8,25.4,-4.2,-6.1,78,87.6,46.2,0.1,11,12.4,6.5,-0.8,-0.6,-6.8,-6.7,0.1,0.9,87,88
551,"Horwitz, Spencer",687462,81,88,169,43,53.1,25.4,-2.6,38,46.9,22.5,-3.7,-6.2,74,84.1,43.8,1.9,14,15.9,8.3,-0.9,1.0,-5.8,-5.3,0.5,7.5,92,97
552,"DeLuca, Jonny",676356,93,74,167,40,43.0,24.0,-1.2,53,57.0,31.7,-5.6,-6.8,55,74.3,32.9,1.3,19,25.7,11.4,-1.0,0.3,-4.6,-6.5,-1.9,-29.0,67,4
553,"Kessinger, Grae",666197,74,91,165,45,60.8,27.3,-0.4,29,39.2,17.6,-3.0,-3.4,68,74.7,41.2,1.7,23,25.3,13.9,-1.5,0.2,-2.2,-3.1,-0.9,-13.6,78,41
554,"Lipcius, Andre",686531,78,85,163,32,41.0,19.6,-1.5,46,59.0,28.2,-4.6,-6.1,75,88.2,46.0,2.3,10,11.8,6.1,-0.4,1.9,-4.3,-4.2,0.1,1.8,87,89
555,"Cruz, Oneil",665833,73,89,162,36,49.3,22.2,-0.8,37,50.7,22.8,-3.9,-4.7,75,84.3,46.3,1.6,14,15.7,8.6,-0.9,0.7,-3.1,-4.0,-0.9,-13.8,78,40
556,"Bouchard, Sean",656248,72,90,162,43,59.7,26.5,3.6,29,40.3,17.9,-2.1,1.5,49,54.4,30.2,1.6,41,45.6,25.3,-2.0,-0.4,3.6,1.1,-2.5,-39.8,60,1
557,"Hamilton, David",666152,68,91,159,15,22.1,9.4,-1.8,53,77.9,33.3,-5.0,-6.8,83,91.2,52.2,0.3,8,8.8,5.0,-1.0,-0.7,-8.2,-7.4,0.8,12.4,94,99
558,"Smith-Njigba, Canaan",675986,71,88,159,14,19.7,8.8,-1.6,57,80.3,35.8,-5.4,-7.0,74,84.1,46.5,1.0,14,15.9,8.8,-1.0,-0.0,-6.2,-7.0,-0.8,-13.5,80,42
559,"Huff, Sam",669087,90,69,159,44,48.9,27.7,-2.1,46,51.1,28.9,-4.4,-6.5,49,71.0,30.8,1.6,20,29.0,12.6,-1.1,0.5,-4.4,-6.0,-1.6,-25.3,70,8
560,"Tena, José",677588,67,91,158,18,26.9,11.4,-2.3,49,73.1,31.0,-4.9,-7.3,78,85.7,49.4,0.9,13,14.3,8.2,-1.1,-0.2,-8.6,-7.4,1.2,18.6,96,100
561,"Rosario, Eguy",666703,75,82,157,30,40.0,19.1,0.3,45,60.0,28.7,-4.3,-4.0,62,75.6,39.5,0.0,20,24.4,12.7,-0.7,-0.7,-2.9,-4.7,-1.8,-28.5,68,5
562,"Clement, Ernie",676391,88,66,154,45,51.1,29.2,-0.7,43,48.9,27.9,-2.7,-3.5,45,68.2,29.2,0.2,21,31.8,13.6,-1.1,-0.8,-2.2,-4.3,-2.1,-34.1,65,2
563,"Ríos, Edwin",621458,72,81,153,22,30.6,14.4,-0.8,50,69.4,32.7,-5.5,-6.4,70,86.4,45.8,1.1,11,13.6,7.2,-1.0,0.1,-6.9,-6.2,0.7,11.3,93,98
564,"Burdick, Peyton",680814,80,70,150,40,50.0,26.7,-1.2,40,50.0,26.7,-3.8,-5.0,55,78.6,36.7,1.4,15,21.4,10.0,-1.0,0.4,-5.1,-4.6,0.4,7.4,91,96
565,"Fitzgerald, Tyler",666149,66,81,147,20,30.3,13.6,-1.7,46,69.7,31.3,-4.5,-6.2,72,88.9,49.0,0.8,9,11.1,6.1,-0.9,-0.1,-6.7,-6.3,0.4,7.5,91,97
566,"Porter, Logan",682515,67,78,145,30,44.8,20.7,-1.6,37,55.2,25.5,-3.6,-5.2,65,83.3,44.8,1.6,13,16.7,9.0,-0.8,0.8,-4.7,-4.4,0.3,5.6,90,95
567,"Montes, Coco",663796,87,54,141,24,27.6,17.0,-2.0,63,72.4,44.7,-5.9,-7.9,47,87.0,33.3,0.7,7,13.0,5.0,-0.6,0.1,-6.1,-7.8,-1.8,-31.9,68,3
568,"Adams, Jordyn",677941,85,53,138,29,34.1,21.0,-1.8,56,65.9,40.6,-4.4,-6.2,35,66.0,25.4,0.5,18,34.0,13.0,-0.7,-0.2,-5.6,-6.4,-0.8,-15.3,80,35
569,"Blankenhorn, Travis",663905,60,76,136,31,51.7,22.8,0.5,29,48.3,21.3,-2.3,-1.8,59,77.6,43.4,2.2,17,22.4,12.5,-1.1,1.1,-0.3,-0.6,-0.3,-5.8,84,72
570,"Rutherford, Blake",666164,82,53,135,15,18.3,11.1,-1.5,67,81.7,49.6,-6.0,-7.5,51,96.2,37.8,0.5,2,3.8,1.5,-0.3,0.2,-6.2,-7.3,-1.1,-20.3,75,19
571,"Lawlar, Jordan",691783,61,72,133,9,14.8,6.8,-1.3,52,85.2,39.1,-4.9,-6.2,63,87.5,47.4,1.2,9,12.5,6.8,-0.5,0.6,-5.7,-5.6,0.1,2.3,87,90
572,"Caminero, Junior",691406,66,68,134,34,51.5,25.4,1.0,32,48.5,23.9,-3.9,-2.9,50,73.5,37.3,1.7,18,26.5,13.4,-0.8,0.9,-1.0,-2.0,-1.0,-19.0,76,22
573,"Millas, Drew",686452,65,69,134,38,58.5,28.4,-1.7,27,41.5,20.1,-2.8,-4.5,51,73.9,38.1,1.8,18,26.1,13.4,-1.1,0.7,-3.9,-3.8,0.1,2.1,87,89
574,"Haseley, Adam",656514,68,59,127,45,66.2,35.4,-2.0,23,33.8,18.1,-1.6,-3.6,43,72.9,33.9,0.7,16,27.1,12.6,-0.9,-0.2,-3.5,-3.8,-0.2,-5.0,85,74
575,"Ellis, Drew",656403,50,78,128,23,46.0,18.0,-0.5,27,54.0,21.1,-2.7,-3.2,63,80.8,49.2,1.4,15,19.2,11.7,-1.1,0.4,-2.5,-2.8,-0.3,-6.5,84,69
576,"Torrens, Luis",620443,64,62,126,20,31.2,15.9,-0.6,44,68.8,34.9,-4.8,-5.4,52,83.9,41.3,0.5,10,16.1,7.9,-0.6,-0.1,-4.2,-5.5,-1.4,-27.7,72,5
577,"Kjerstad, Heston",677008,58,66,124,35,60.3,28.2,0.5,23,39.7,18.5,-2.0,-1.6,40,60.6,32.3,1.0,26,39.4,21.0,-1.7,-0.7,-1.4,-2.3,-0.9,-18.4,78,23
578,"Kennedy, Buddy",671083,45,75,120,22,48.9,18.3,-1.4,23,51.1,19.2,-2.0,-3.4,63,84.0,52.5,1.4,12,16.0,10.0,-0.7,0.7,-3.3,-2.7,0.6,12.8,93,99
579,"Garlick, Kyle",664247,47,73,120,32,68.1,26.7,0.9,15,31.9,12.5,-1.5,-0.6,45,61.6,37.5,1.3,28,38.4,23.3,-1.5,-0.2,0.2,-0.9,-1.1,-22.5,75,14
580,"Domínguez, Jasson",691176,59,61,120,36,61.0,30.0,0.5,23,39.0,19.2,-2.0,-1.5,44,72.1,36.7,1.1,17,27.9,14.2,-1.4,-0.3,-0.6,-1.8,-1.2,-26.3,74,7
581,"Stowers, Kyle",669065,64,54,118,15,23.4,12.7,-1.0,49,76.6,41.5,-5.0,-6.0,51,94.4,43.2,0.5,3,5.6,2.5,-0.1,0.4,-4.7,-5.5,-0.8,-18.0,80,25
582,"Madris, Bligh",676632,58,59,117,20,34.5,17.1,-1.2,38,65.5,32.5,-3.2,-4.4,53,89.8,45.3,0.8,6,10.2,5.1,-0.4,0.3,-3.3,-4.1,-0.8,-17.9,80,25
583,"Stevenson, Andrew",664057,62,54,116,21,33.9,18.1,-1.1,41,66.1,35.3,-3.5,-4.6,50,92.6,43.1,0.1,4,7.4,3.4,-0.2,-0.1,-4.2,-4.7,-0.5,-9.9,82,56
584,"Hummel, Cooper",669450,53,63,116,22,41.5,19.0,-1.5,31,58.5,26.7,-2.8,-4.3,57,90.5,49.1,0.9,6,9.5,5.2,-0.1,0.9,-3.9,-3.5,0.5,10.1,92,98
585,"Guthrie, Dalton",656495,57,56,113,19,33.3,16.8,-1.4,38,66.7,33.6,-3.7,-5.1,50,89.3,44.2,0.5,6,10.7,5.3,-0.5,0.0,-4.3,-5.1,-0.9,-19.3,78,21
586,"Ortiz, Joey",687401,57,55,112,34,59.6,30.4,-0.4,23,40.4,20.5,-2.2,-2.6,27,49.1,24.1,0.3,28,50.9,25.0,-1.5,-1.2,-1.1,-3.8,-2.7,-60.6,58,0
587,"Lukes, Nathan",664770,62,50,112,21,33.9,18.8,-1.5,41,66.1,36.6,-3.4,-5.0,39,78.0,34.8,1.2,11,22.0,9.8,-0.6,0.6,-4.0,-4.4,-0.4,-8.7,83,61
588,"Mercado, Óscar",640458,60,52,112,28,46.7,25.0,-1.0,32,53.3,28.6,-3.2,-4.1,47,90.4,42.0,-0.1,5,9.6,4.5,-0.2,-0.3,-3.3,-4.4,-1.1,-24.1,75,11
589,"Hernández, Yonny",660634,44,66,110,10,22.7,9.1,-1.4,34,77.3,30.9,-3.3,-4.7,58,87.9,52.7,0.5,8,12.1,7.3,-0.8,-0.3,-5.4,-5.0,0.4,9.2,91,98
590,"Allen, Greg",656185,50,55,105,4,8.0,3.8,-0.6,46,92.0,43.8,-4.6,-5.1,55,100.0,52.4,0.3,0,0.0,0.0,0.0,0.3,-5.0,-4.8,0.2,5.7,88,95
591,"La Stella, Tommy",600303,40,64,104,7,17.5,6.7,-0.5,33,82.5,31.7,-3.2,-3.7,60,93.8,57.7,-0.0,4,6.2,3.8,-0.4,-0.4,-3.2,-4.2,-1.0,-23.6,76,12
