,NAME,ID,N_SWINGS,N_TAKES,N_P,GOOD_SWINGS,G%S,GS%,GS_RV,BAD_SWINGS,B%S,BS%,BS_RV,SRV,GOOD_TAKES,G%T,GT%,GT_RV,BAD_TAKES,B%T,BT%,BT_RV,TRV,EXP_RV,TOT_RV,SWTR,SWTR_Per650,Total_Percentile,Rate_Percentile
502,"Reyes, Franmil",614177,142,151,293,54,38.0,18.4,-1.8,88,62.0,30.0,-9.0,-10.8,124,82.1,42.3,2.6,27,17.9,9.2,-2.0,0.7,-6.6,-10.1,-3.5,-30.0,52,3
503,"Goodman, Hunter",696100,142,151,293,53,37.3,18.1,-1.0,89,62.7,30.4,-8.2,-9.1,117,77.5,39.9,1.7,34,22.5,11.6,-1.4,0.3,-5.2,-8.8,-3.7,-31.8,50,3
504,"Vosler, Jason",613564,145,145,290,34,23.4,11.7,-3.6,111,76.6,38.3,-10.1,-13.7,123,84.8,42.4,1.3,22,15.2,7.6,-1.5,-0.1,-12.9,-13.8,-0.9,-8.2,78,64
505,"Miller, Brad",543543,116,175,291,54,46.6,18.6,-4.3,62,53.4,21.3,-5.2,-9.4,144,82.3,49.5,3.1,31,17.7,10.7,-2.4,0.7,-7.9,-8.7,-0.9,-7.6,78,67
506,"Grissom, Vaughn",687093,160,129,289,87,54.4,30.1,-3.9,73,45.6,25.3,-5.8,-9.7,99,76.7,34.3,2.8,30,23.3,10.4,-1.4,1.4,-8.7,-8.3,0.4,3.7,91,93
507,"Mitchell, Garrett",669003,130,158,288,80,61.5,27.8,-3.5,50,38.5,17.4,-4.9,-8.4,119,75.3,41.3,3.2,39,24.7,13.5,-2.3,0.9,-7.9,-7.4,0.4,3.8,91,93
508,"Voit, Luke",572228,140,144,284,73,52.1,25.7,-2.5,67,47.9,23.6,-5.3,-7.8,109,75.7,38.4,2.9,35,24.3,12.3,-2.1,0.8,-6.5,-7.0,-0.5,-4.2,82,77
509,"Lee, Korey",686676,152,126,278,35,23.0,12.6,-3.6,117,77.0,42.1,-9.2,-12.8,113,89.7,40.6,3.2,13,10.3,4.7,-1.4,1.9,-9.9,-10.9,-1.0,-8.9,76,60
510,"Mendick, Danny",664901,122,152,274,66,54.1,24.1,-3.6,56,45.9,20.4,-5.1,-8.6,118,77.6,43.1,2.0,34,22.4,12.4,-2.2,-0.2,-9.1,-8.9,0.3,2.4,90,91
511,"Daza, Yonathan",602074,156,118,274,57,36.5,20.8,-2.8,99,63.5,36.1,-8.8,-11.5,95,80.5,34.7,1.5,23,19.5,8.4,-1.2,0.4,-7.6,-11.2,-3.5,-32.9,52,2
512,"Alberto, Hanser",593643,177,91,268,79,44.6,29.5,-3.8,98,55.4,36.6,-8.1,-11.9,77,84.6,28.7,2.4,14,15.4,5.2,-0.5,2.0,-6.8,-10.0,-3.2,-30.3,54,3
513,"Araúz, Jonathan",660620,121,152,273,38,31.4,13.9,-3.3,83,68.6,30.4,-7.9,-11.2,125,82.2,45.8,1.1,27,17.8,9.9,-2.1,-1.0,-9.2,-12.3,-3.0,-28.2,56,5
514,"Beaty, Matt",607461,132,139,271,40,30.3,14.8,-4.2,92,69.7,33.9,-8.4,-12.6,124,89.2,45.8,1.8,15,10.8,5.5,-1.4,0.4,-10.0,-12.2,-2.3,-21.4,62,16
