XLOC,ZLOC,RV_00,RV_10,RV_20,RV_30,RV_01,RV_11,RV_21,RV_31,RV_02,RV_12,RV_22,RV_32,CS,CONTACT,xWOBACON,CRV,FOUL,SWING_00,TAKE_00,DELTA_00,SWING_01,TAKE_01,DELTA_01,SWING_02,TAKE_02,DELTA_02,SWING_10,TAKE_10,DELTA_10,SWING_11,TAKE_11,DELTA_11,SWING_12,TAKE_12,DELTA_12,SWING_20,TAKE_20,DELTA_20,SWING_21,TAKE_21,DELTA_21,SWING_22,TAKE_22,DELTA_22,SWING_30,TAKE_30,DELTA_30,SWING_31,TAKE_31,DELTA_31,SWING_32,TAKE_32,DELTA_32
-1.45,0.55,0.043,0.053,0.261,0,0.024,-0.024,0.117,0,-0.027,0.026,0.051,0,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.65,0.032,0.061,0.088,0,0.03,0.034,0.108,0,-0.002,0.014,0.048,0.236,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.75,0.035,0.053,0.099,0.052,0.024,0.035,0.053,0.185,0.018,0.007,-0.042,0.312,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.85,0.038,0.009,0,0,0.022,0.04,0.253,0,0.014,0.017,0.082,0.125,0.0,0,0,0,0.0132,-0.037488400000000005,0.032,-0.0694884,-0.0516732,0.024,-0.0756732,-0.15,0.021,-0.17099999999999999,-0.03546200000000001,0.088,-0.123462,-0.054712800000000006,0.048,-0.1027128,-0.171,0.038,-0.20900000000000002,-0.06281840000000001,0.143,-0.2058184,-0.06991080000000001,0.064,-0.1339108,-0.209,0.085,-0.294,-0.11854440000000002,0.051,-0.1695444,-0.0668712,0.168,-0.2348712,-0.294,0.234,-0.528
-1.45,0.95,0.04,0.048,0.098,0,0.031,0.022,0.086,0,0.008,0.036,0.035,0.217,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,1.05,0.03,0.073,0.041,0.155,0.018,0.037,0.081,0.209,0.0,0.019,0.005,-0.316,0.0,0.067,0.054,-0.363,0.0088,-0.0591676,0.032,-0.0911676,-0.0723528,0.024,-0.09635279999999999,-0.164271,0.021,-0.185271,-0.05728400000000001,0.088,-0.145284,-0.0751782,0.048,-0.1231782,-0.18386400000000003,0.038,-0.22186400000000003,-0.0827126,0.143,-0.22571259999999999,-0.0893052,0.064,-0.1533052,-0.219318,0.085,-0.30431800000000003,-0.1345116,0.051,-0.1855116,-0.08647980000000001,0.168,-0.25447980000000003,-0.29862299999999997,0.234,-0.532623
-1.45,1.15,0.029,0.044,0.135,0.155,0.008,0.046,0.088,0.232,-0.014,-0.025,0.042,0.229,0.0,0,0,0,0.0164,-0.037606799999999996,0.032,-0.0696068,-0.0518364,0.024,-0.0758364,-0.15,0.021,-0.17099999999999999,-0.035574,0.088,-0.12357399999999999,-0.0548856,0.048,-0.1028856,-0.171,0.038,-0.20900000000000002,-0.0630168,0.143,-0.2060168,-0.0701316,0.064,-0.13413160000000002,-0.209,0.085,-0.294,-0.1189188,0.051,-0.1699188,-0.0670824,0.168,-0.23508240000000002,-0.294,0.234,-0.528
-1.45,1.25,0.027,0.05,0.107,0,0.002,0.024,0.098,0.161,-0.021,0.001,0.088,0.064,0.0,0.067,0.122,-0.308,0.0169,-0.0557823,0.032,-0.08778230000000001,-0.0690809,0.024,-0.0930809,-0.160586,0.021,-0.181586,-0.05388250000000001,0.088,-0.1418825,-0.07193060000000001,0.048,-0.11993060000000001,-0.18017900000000003,0.038,-0.21817900000000004,-0.07952980000000001,0.143,-0.2225298,-0.08617910000000001,0.064,-0.1501791,-0.21563300000000002,0.085,-0.30063300000000004,-0.1317743,0.051,-0.1827743,-0.08332940000000001,0.168,-0.25132940000000004,-0.294938,0.234,-0.528938
-1.45,1.35,0.033,0.058,0.132,0.048,0.025,0.002,0.077,0.148,-0.011,-0.018,-0.042,0.045,0.0,0.037,0.147,-0.148,0.0438,-0.0427276,0.032,-0.0747276,-0.05682279999999999,0.024,-0.0808228,-0.149926,0.021,-0.170926,-0.040714,0.088,-0.128714,-0.0598432,0.048,-0.1078432,-0.17014900000000002,0.038,-0.20814900000000003,-0.06789759999999999,0.143,-0.21089759999999996,-0.07494519999999999,0.064,-0.1389452,-0.20674299999999998,0.085,-0.291743,-0.1232716,0.051,-0.1742716,-0.0719248,0.168,-0.2399248,-0.28859799999999997,0.234,-0.522598
-1.45,1.45,0.038,0.032,0.066,0.184,-0.002,0.034,0.06,0.185,0.012,-0.003,0.041,0.175,0.0,0.13,0.318,0.012,0.0336,-0.0318732,0.032,-0.06387319999999999,-0.044523599999999997,0.024,-0.06852359999999999,-0.12894,0.021,-0.14994,-0.030066000000000002,0.088,-0.118066,-0.047234399999999996,0.048,-0.0952344,-0.14721,0.038,-0.18521,-0.054463199999999996,0.143,-0.19746319999999998,-0.060788400000000006,0.064,-0.12478840000000001,-0.18026999999999999,0.085,-0.26527,-0.1041612,0.051,-0.1551612,-0.0580776,0.168,-0.22607760000000002,-0.25422,0.234,-0.48822
