,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,EXP_RV+,SWTR+,SWTR_Per650+,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
260,"Wisdom, Patrick",621550,616,702,1318,58.0,-1.9,42.0,-11.7,-13.5,84.2,24.3,15.8,-5.5,18.8,5.2,5.9,-0.7,-1.3,-2.3,7.6,14.6,71.9,62.3,15.8,46.5,42.1,76,43,86,76
261,"Waters, Drew",671221,674,641,1315,49.9,-1.1,50.1,-15.7,-16.7,83.5,20.2,16.5,-5.1,15.1,-1.6,5.6,-7.2,-13.9,-5.6,4.0,7.8,66.2,61.4,16.5,44.9,33.3,60,33,79,19
262,"Mateo, Jorge",622761,651,655,1306,51.2,-1.7,48.8,-14.7,-16.4,80.0,20.1,20.0,-4.9,15.2,-1.2,5.0,-6.2,-12.1,3.7,-4.9,-9.5,65.6,61.1,20.0,41.1,31.2,23,29,39,24
263,"Diaz, Yainer",673237,761,537,1298,46.3,-1.3,53.7,-18.4,-19.7,82.7,15.6,17.3,-3.7,11.9,-7.8,3.8,-11.6,-22.7,1.6,-9.3,-18.2,61.3,55.8,17.3,38.5,28.9,6,2,71,2
264,"Neto, Zach",687263,610,671,1281,54.9,-1.8,45.1,-12.0,-13.8,80.6,20.9,19.4,-5.4,15.5,1.7,3.7,-2.0,-4.1,-10.1,11.8,23.3,68.4,61.8,19.4,42.4,35.5,36,37,45,63
265,"Bryant, Kris",592178,588,693,1281,55.6,-1.1,44.4,-11.6,-12.7,83.4,23.7,16.6,-4.7,19.0,6.2,7.4,-1.1,-2.2,-8.5,14.8,29.3,70.6,63.9,16.6,47.3,39.0,83,64,78,72
266,"Marte, Starling",516782,675,586,1261,46.5,-1.1,53.5,-16.3,-17.4,81.6,16.2,18.4,-3.7,12.5,-4.9,4.0,-8.9,-17.9,-4.9,0.0,0.1,62.8,60.4,18.4,41.9,28.1,31,24,54,7
267,"Segura, Jean",516416,628,617,1245,48.7,-1.8,51.3,-15.7,-17.5,75.2,17.7,24.8,-5.3,12.3,-5.2,4.0,-9.1,-18.7,-8.2,3.1,6.2,61.8,60.3,24.8,35.5,23.9,2,22,2,6
268,"Maton, Nick",665155,558,681,1239,55.4,-1.7,44.6,-11.3,-12.9,82.8,23.8,17.2,-5.1,18.7,5.7,5.5,0.2,0.4,-2.6,8.3,17.1,70.5,64.6,17.2,47.4,38.2,84,73,73,83
269,"Kirilloff, Alex",666135,588,654,1242,50.3,-1.9,49.7,-13.6,-15.5,79.1,20.0,20.9,-5.5,14.5,-1.0,5.0,-6.0,-12.2,4.6,-5.5,-11.3,65.5,63.6,20.9,42.6,29.4,37,60,27,24
270,"Thaiss, Matt",642136,568,670,1238,63.0,-1.7,37.0,-9.0,-10.8,87.5,23.8,12.5,-3.6,20.1,9.4,5.5,3.9,8.0,-4.7,14.0,28.8,76.3,62.1,12.5,49.5,50.5,95,40,98,98
271,"Burleson, Alec",676475,641,594,1235,49.0,-1.4,51.0,-14.6,-16.0,83.5,19.5,16.5,-3.8,15.7,-0.3,6.3,-6.7,-13.7,-1.7,1.4,2.9,65.6,61.2,16.5,44.7,32.5,57,31,79,20
272,"Bader, Harrison",664056,600,637,1237,50.8,-0.8,49.2,-14.0,-14.9,81.0,17.3,19.0,-4.3,13.1,-1.8,5.1,-6.9,-14.1,-3.0,1.2,2.5,66.4,62.9,19.0,43.9,31.8,50,52,48,18
273,"Escobar, Eduardo",500871,618,602,1220,47.4,-2.4,52.6,-15.5,-17.9,79.2,17.1,20.8,-5.1,12.0,-5.8,3.3,-9.1,-19.0,-9.9,4.1,8.6,63.1,61.9,20.8,41.2,26.6,24,38,28,5
274,"Crawford, Brandon",543063,640,586,1226,53.9,-1.5,46.1,-13.1,-14.6,84.8,19.6,15.2,-4.0,15.6,0.9,4.2,-3.2,-6.7,-12.5,13.4,27.8,68.7,59.0,15.2,43.8,38.7,49,10,90,50
275,"Margot, Manuel",622534,606,606,1212,53.8,-1.9,46.2,-12.9,-14.8,82.3,18.4,17.7,-3.8,14.6,-0.2,4.7,-5.0,-10.4,-9.4,9.2,19.2,68.1,60.5,17.7,42.8,36.1,41,24,65,31
276,"Cabrera, Oswaldo",665828,612,605,1217,55.1,-1.4,44.9,-11.8,-13.3,83.1,19.4,16.9,-4.0,15.4,2.1,4.3,-2.2,-4.5,3.4,-1.2,-2.6,69.0,59.9,16.9,43.0,38.2,43,17,76,61
277,"Bleday, JJ",668709,526,684,1210,62.2,-0.8,37.8,-8.8,-9.6,82.7,24.9,17.3,-5.2,19.7,10.1,6.6,3.5,7.4,-4.9,15.0,31.5,73.8,63.4,17.3,46.1,44.9,70,57,71,96
278,"Vargas, Miguel",678246,534,670,1204,62.5,-1.7,37.5,-8.9,-10.6,83.0,22.5,17.0,-4.2,18.3,7.7,4.8,2.9,6.2,0.3,7.5,15.7,73.9,62.5,17.0,45.5,45.5,65,47,75,95
279,"Miller, Owen",680911,576,616,1192,53.5,-1.3,46.5,-12.6,-13.8,75.8,15.9,24.2,-6.1,9.8,-4.1,2.1,-6.2,-13.2,-1.1,-3.0,-6.5,65.0,60.3,24.2,36.1,29.3,3,22,4,21
280,"Gurriel, Yuli",493329,556,633,1189,50.0,-1.6,50.0,-12.6,-14.2,76.8,18.7,23.2,-5.2,13.4,-0.8,3.6,-4.4,-9.4,-10.9,10.1,21.5,64.3,63.6,23.2,40.4,26.8,17,60,10,37
281,"Senzel, Nick",669222,582,602,1184,56.9,-0.8,43.1,-10.9,-11.6,84.1,17.8,15.9,-4.4,13.4,1.8,2.7,-0.9,-2.0,-4.0,5.8,12.4,70.7,60.5,15.9,44.5,40.9,56,24,86,73
282,"Jansen, Danny",643376,554,631,1185,57.8,-1.5,42.2,-10.5,-12.0,83.4,20.5,16.6,-4.1,16.4,4.4,4.7,-0.4,-0.8,-6.3,10.6,22.8,71.4,62.2,16.6,45.5,41.1,65,42,78,78
283,"Bethancourt, Christian",542194,699,477,1176,43.9,-1.2,56.1,-17.7,-19.0,83.9,14.9,16.1,-3.1,11.8,-7.2,2.4,-9.6,-20.8,4.4,-11.6,-25.2,60.1,56.6,16.1,40.4,27.8,17,3,83,3
284,"Wendle, Joey",621563,557,617,1174,48.3,-1.8,51.7,-13.3,-15.1,75.2,15.7,24.8,-5.2,10.5,-4.6,2.4,-7.0,-15.2,-4.4,-0.2,-0.4,62.4,63.3,24.8,38.5,23.5,6,56,2,15
285,"Díaz, Aledmys",649557,622,556,1178,53.4,-0.8,46.6,-13.0,-13.8,79.7,15.5,20.3,-4.3,11.2,-2.6,2.4,-5.0,-10.9,0.0,-2.6,-5.7,65.8,57.2,20.3,36.8,33.1,3,4,34,29
286,"Bauers, Jake",641343,535,634,1169,58.9,-1.3,41.1,-10.6,-11.8,82.5,19.9,17.5,-4.7,15.3,3.4,4.1,-0.7,-1.5,-5.4,8.8,19.2,71.7,62.4,17.5,44.9,41.4,60,45,69,75
287,"Allen, Nick",669397,568,592,1160,59.2,-1.3,40.8,-10.1,-11.3,76.2,16.0,23.8,-5.3,10.7,-0.6,1.8,-2.4,-5.3,-1.1,0.5,1.1,67.8,57.3,23.8,33.5,35.3,1,5,6,58
288,"Montero, Elehuris",660707,618,547,1165,40.6,-1.2,59.4,-17.4,-18.6,77.3,14.9,22.7,-5.4,9.6,-9.1,2.3,-11.4,-24.8,-7.9,-1.2,-2.6,57.9,62.8,22.7,40.1,17.9,16,50,12,1
289,"Moniak, Mickey",666160,702,441,1143,43.6,-1.2,56.4,-17.4,-18.6,84.6,12.2,15.4,-3.2,9.0,-9.6,2.5,-12.1,-27.0,-13.4,3.7,8.3,59.4,54.9,15.4,39.5,28.2,12,1,89,1
290,"Gelof, Zack",680869,581,573,1154,53.7,-1.2,46.3,-12.3,-13.5,84.1,18.1,15.9,-3.6,14.5,1.0,3.1,-2.0,-4.5,-10.9,11.9,26.3,68.8,60.7,15.9,44.8,37.8,58,27,86,61
291,"Caballero, José",676609,485,648,1133,51.8,-1.2,48.2,-11.8,-13.0,78.4,19.9,21.6,-5.7,14.3,1.3,4.0,-2.7,-6.0,-4.0,5.3,11.9,67.0,66.9,21.6,45.3,30.1,63,90,20,55
292,"Rivera, Emmanuel",656896,529,603,1132,52.4,-1.6,47.6,-11.4,-13.0,83.6,19.6,16.4,-3.6,15.9,2.9,4.3,-1.4,-3.0,-0.5,3.4,7.7,69.0,64.5,16.4,48.1,35.9,90,72,80,69
