,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,EXP_RV+,SWTR+,SWTR_Per650+,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
14,"Acuña Jr., Ronald",660670,1286,1496,2782,56.2,-2.7,43.8,-24.6,-27.3,86.8,54.4,13.2,-7.6,46.8,19.4,18.1,1.4,1.3,6.1,13.3,12.1,72.6,64.2,13.2,51.0,43.0,98,69,97,86
15,"Santander, Anthony",623993,1355,1409,2764,46.1,-5.0,53.9,-35.2,-40.1,81.7,44.0,18.3,-9.7,34.3,-5.8,12.0,-17.8,-16.4,-9.6,3.8,3.5,64.3,64.8,18.3,46.5,27.8,76,75,56,12
16,"Freeman, Freddie",518692,1404,1349,2753,58.0,-3.1,42.0,-25.6,-28.7,86.4,46.2,13.6,-7.0,39.2,10.5,12.8,-2.4,-2.2,-17.0,27.5,25.4,71.9,58.9,13.6,45.2,44.3,62,9,96,72
17,"McMahon, Ryan",641857,1296,1442,2738,54.7,-3.5,45.3,-27.5,-31.0,83.1,45.6,16.9,-9.0,36.7,5.7,8.5,-2.8,-2.6,-3.9,9.6,8.9,69.6,62.8,16.9,45.9,37.8,69,50,76,70
18,"Lindor, Francisco",596019,1316,1425,2741,54.1,-3.9,45.9,-28.1,-32.0,83.6,47.2,16.4,-8.6,38.6,6.6,13.4,-6.8,-6.4,17.4,-10.9,-10.1,69.4,62.6,16.4,46.2,37.7,72,48,80,52
19,"Kim, Ha-Seong",673490,1053,1667,2720,59.4,-4.2,40.6,-21.8,-26.0,75.8,47.9,24.2,-16.4,31.5,5.5,7.1,-1.6,-1.5,8.1,-2.6,-2.5,69.4,66.9,24.2,42.7,35.2,39,90,4,75
20,"Betts, Mookie",605141,1033,1679,2712,61.1,-2.7,38.9,-19.2,-21.9,78.7,54.9,21.3,-14.3,40.7,18.8,13.1,5.7,5.3,-0.0,18.8,17.6,72.0,67.7,21.3,46.4,39.8,75,95,23,93
21,"Witt Jr., Bobby",677951,1363,1338,2701,51.1,-3.3,48.9,-31.3,-34.5,82.7,40.5,17.3,-8.2,32.3,-2.2,9.2,-11.4,-10.7,-8.3,6.1,5.8,66.8,61.4,17.3,44.1,33.9,53,33,71,30
22,"Steer, Spencer",668715,1176,1508,2684,57.2,-3.2,42.8,-23.7,-26.8,78.0,46.8,22.0,-12.5,34.3,7.4,9.5,-2.1,-2.0,1.6,5.8,5.5,68.9,63.6,22.0,41.6,35.2,28,60,17,73
23,"Arozarena, Randy",668227,1153,1526,2679,50.0,-3.1,50.0,-28.5,-31.7,80.8,50.5,19.2,-11.2,39.4,7.7,13.9,-6.2,-5.9,22.5,-14.8,-14.0,67.5,68.2,19.2,49.0,30.8,94,97,47,55
24,"Turner, Trea",607208,1421,1254,2675,49.3,-3.4,50.7,-33.0,-36.4,84.0,39.1,16.0,-6.8,32.3,-4.2,8.9,-13.0,-12.4,-4.0,-0.1,-0.1,65.5,60.1,16.0,44.0,33.2,52,19,84,23
25,"Hernández, Teoscar",606192,1434,1239,2673,49.1,-4.5,50.9,-34.3,-38.9,82.2,37.6,17.8,-8.1,29.5,-9.3,6.2,-15.6,-14.8,5.6,-14.9,-14.2,64.5,59.1,17.8,41.4,31.3,26,11,63,16
26,"Walker, Christian",572233,1297,1374,2671,53.6,-3.7,46.4,-26.8,-30.5,83.8,46.2,16.2,-8.3,37.9,7.4,11.0,-3.6,-3.4,26.4,-19.0,-18.1,69.2,62.4,16.2,46.2,37.4,72,45,82,67
27,"Turner, Justin",457759,1201,1469,2670,54.3,-4.0,45.7,-27.0,-31.1,78.1,44.4,21.9,-12.4,32.0,0.9,7.5,-6.6,-6.3,-13.7,14.6,13.9,67.4,63.8,21.9,41.9,32.4,31,62,17,52
28,"Stott, Bryson",681082,1185,1466,2651,53.4,-5.0,46.6,-27.0,-32.0,73.1,38.4,26.9,-13.3,25.1,-6.9,5.6,-12.5,-12.0,-13.7,6.8,6.5,64.3,62.9,26.9,35.9,26.5,3,52,0,25
29,"Torres, Gleyber",650402,1238,1409,2647,55.2,-2.9,44.8,-25.6,-28.5,82.0,46.4,18.0,-10.0,36.4,8.0,9.7,-1.8,-1.7,-5.6,13.5,13.0,69.5,62.9,18.0,44.9,37.2,60,52,60,74
30,"Bogaerts, Xander",593428,1126,1518,2644,53.1,-4.3,46.9,-24.9,-29.1,76.5,44.3,23.5,-12.9,31.4,2.2,9.4,-7.2,-6.9,-1.8,4.0,3.9,66.5,66.0,23.5,42.5,29.6,36,85,8,49
31,"Crawford, J.P.",641487,1012,1614,2626,60.3,-2.7,39.7,-19.0,-21.7,78.7,52.1,21.3,-14.1,38.0,16.4,14.1,2.2,2.2,1.6,14.8,14.3,71.6,67.6,21.3,46.3,39.0,73,94,23,88
32,"Thomas, Lane",657041,1145,1482,2627,55.8,-2.8,44.2,-24.4,-27.1,77.5,42.0,22.5,-14.1,27.9,0.8,8.4,-7.6,-7.3,-11.8,12.6,12.2,68.0,64.2,22.5,41.7,33.3,29,69,13,46
33,"Ramírez, José",608070,1217,1393,2610,51.9,-2.6,48.1,-28.1,-30.7,82.1,45.4,17.9,-7.9,37.5,6.9,17.6,-10.7,-10.4,22.7,-15.8,-15.4,68.0,64.4,17.9,46.5,34.1,76,71,61,31
34,"Adames, Willy",642715,1298,1298,2596,50.0,-3.2,50.0,-29.7,-32.9,83.4,46.1,16.6,-8.1,38.0,5.2,12.4,-7.3,-7.1,5.3,-0.2,-0.2,66.7,62.5,16.6,46.0,33.4,70,47,78,48
35,"Devers, Rafael",646240,1353,1223,2576,45.9,-2.9,54.1,-31.9,-34.7,87.4,43.2,12.6,-6.4,36.8,2.1,14.3,-12.2,-12.0,8.6,-6.5,-6.4,65.6,63.3,12.6,50.7,33.3,97,56,98,25
36,"Tucker, Kyle",663656,1205,1362,2567,59.5,-2.5,40.5,-20.5,-22.9,85.8,49.0,14.2,-7.7,41.3,18.4,11.7,6.7,6.6,16.1,2.3,2.3,73.5,62.0,14.2,47.8,45.3,87,39,94,96
37,"Alonso, Pete",624413,1121,1446,2567,49.4,-2.7,50.6,-26.9,-29.6,80.5,45.1,19.5,-11.2,34.0,4.4,12.3,-7.9,-7.8,4.7,-0.4,-0.4,66.9,67.8,19.5,48.3,29.9,91,95,44,44
38,"Albies, Ozzie",645277,1400,1163,2563,49.9,-2.5,50.1,-32.0,-34.5,85.6,38.7,14.4,-5.6,33.1,-1.4,13.1,-14.5,-14.4,10.3,-11.8,-11.7,66.1,58.8,14.4,44.4,35.6,55,9,93,16
39,"García, Adolis",666969,1245,1317,2562,50.6,-3.1,49.4,-27.6,-30.6,84.7,46.1,15.3,-8.7,37.4,6.8,12.5,-5.8,-5.7,5.5,1.2,1.2,68.1,63.9,15.3,48.7,35.3,93,64,89,56
40,"Yelich, Christian",592885,1151,1408,2559,57.3,-3.2,42.7,-22.2,-25.3,82.7,47.7,17.3,-8.4,39.3,14.0,11.4,2.6,2.6,7.7,6.3,6.2,71.2,63.9,17.3,46.5,39.9,76,64,71,89
41,"Swanson, Dansby",621020,1210,1348,2558,55.0,-2.9,45.0,-24.5,-27.5,83.9,46.3,16.1,-9.5,36.8,9.3,9.9,-0.6,-0.6,-3.7,13.1,13.0,70.2,63.0,16.1,46.9,38.9,80,53,83,79
42,"Meneses, Joey",608841,1210,1333,2543,48.8,-3.3,51.2,-28.3,-31.7,78.7,39.3,21.3,-10.7,28.6,-3.0,8.9,-11.9,-11.9,-3.4,0.4,0.4,64.5,64.0,21.3,42.7,27.5,39,66,23,25
43,"Hoerner, Nico",663538,1153,1380,2533,51.8,-2.9,48.2,-26.8,-29.6,75.2,39.2,24.8,-12.5,26.7,-2.9,8.1,-11.1,-11.1,4.7,-7.7,-7.7,64.5,63.5,24.8,38.7,27.0,7,58,2,28
44,"Springer, George",543807,1246,1282,2528,58.3,-2.8,41.7,-22.7,-25.6,85.4,43.9,14.6,-7.6,36.3,10.7,10.6,0.1,0.1,-11.3,22.0,22.1,72.1,60.1,14.6,45.5,43.8,65,19,92,81
45,"Reynolds, Bryan",668804,1196,1327,2523,53.8,-2.4,46.2,-24.3,-26.7,86.1,44.0,13.9,-8.2,35.8,9.2,13.6,-4.5,-4.5,5.8,3.4,3.4,70.8,64.0,13.9,50.1,39.9,97,66,95,61
46,"Rodríguez, Julio",677594,1352,1158,2510,46.4,-2.4,53.6,-31.1,-33.5,81.1,36.5,18.9,-10.4,26.1,-7.4,10.0,-17.4,-17.6,-1.1,-6.3,-6.3,62.4,60.0,18.9,41.0,27.5,22,18,49,9
47,"Muncy, Max",571970,976,1509,2485,57.4,-3.6,42.6,-19.6,-23.2,78.3,48.9,21.7,-12.4,36.4,13.2,12.0,1.2,1.2,2.2,11.0,11.3,70.1,67.9,21.7,46.2,35.7,72,96,19,85
48,"Marte, Ketel",606466,1128,1352,2480,53.9,-2.7,46.1,-21.4,-24.1,82.7,44.5,17.3,-8.8,35.7,11.6,11.9,-0.3,-0.4,11.8,-0.2,-0.2,69.6,64.8,17.3,47.5,36.6,85,75,71,80
49,"De La Cruz, Bryan",650559,1235,1232,2467,48.3,-2.5,51.7,-30.2,-32.7,82.5,37.0,17.5,-7.4,29.5,-3.1,8.6,-11.7,-12.1,3.4,-6.6,-6.8,65.4,63.0,17.5,45.5,30.8,65,53,69,24
50,"Santana, Carlos",467793,1115,1348,2463,56.4,-2.6,43.6,-22.4,-25.0,82.4,45.9,17.6,-9.0,36.9,11.9,12.3,-0.3,-0.4,11.8,0.1,0.1,70.6,63.9,17.6,46.3,38.8,73,64,67,80
51,"Chapman, Matt",656305,1062,1389,2451,62.9,-3.1,37.1,-18.2,-21.3,82.3,45.8,17.7,-10.6,35.2,13.9,9.2,4.7,4.9,-4.3,18.2,18.8,73.9,63.1,17.7,45.4,45.2,63,54,65,92
52,"Suzuki, Seiya",673548,1000,1445,2445,59.3,-3.2,40.7,-19.1,-22.3,78.4,43.9,21.6,-12.0,31.9,9.6,8.0,1.6,1.7,-7.2,16.8,17.5,70.6,65.6,21.6,44.1,37.7,53,82,20,87
53,"Guerrero Jr., Vladimir",665489,1234,1207,2441,51.5,-2.5,48.5,-26.4,-28.9,85.8,44.4,14.2,-6.8,37.6,8.7,13.7,-5.0,-5.2,19.3,-10.6,-11.0,68.5,62.0,14.2,47.8,37.4,87,39,94,58
54,"Melendez, MJ",669004,1167,1271,2438,55.8,-2.9,44.2,-23.5,-26.4,84.4,40.6,15.6,-8.5,32.1,5.7,7.9,-2.1,-2.2,33.2,-27.5,-28.7,70.7,62.2,15.6,46.7,40.2,78,42,87,72
55,"Carroll, Corbin",682998,1107,1317,2424,55.6,-2.6,44.4,-22.0,-24.6,80.0,39.9,20.0,-10.6,29.3,4.7,9.2,-4.5,-4.7,-3.9,8.6,9.1,68.8,63.1,20.0,43.1,35.5,43,54,39,59
56,"Bell, Josh",605137,1158,1270,2428,49.0,-2.9,51.0,-25.7,-28.6,84.5,43.5,15.5,-7.5,36.0,7.4,13.5,-6.2,-6.4,2.4,5.0,5.2,67.5,65.4,15.5,49.9,33.5,96,80,88,52
57,"Castellanos, Nick",592206,1365,1062,2427,45.9,-2.5,54.1,-32.5,-35.0,84.5,31.7,15.5,-7.7,24.1,-10.9,5.6,-16.6,-17.4,8.9,-19.9,-20.8,62.8,58.9,15.5,43.3,30.4,45,9,88,9
58,"France, Ty",664034,1290,1135,2425,51.6,-3.2,48.4,-27.5,-30.7,82.1,35.9,17.9,-7.4,28.5,-2.3,8.3,-10.6,-11.1,-7.4,5.1,5.4,65.9,58.4,17.9,40.5,33.7,18,7,61,28
59,"Contreras, William",661388,1044,1375,2419,54.0,-3.0,46.0,-22.7,-25.7,80.7,45.8,19.3,-10.6,35.2,9.5,10.5,-1.0,-1.1,-3.9,13.4,14.1,69.2,66.3,19.3,47.0,34.8,81,87,46,76
60,"Henderson, Gunnar",683002,1125,1280,2405,55.0,-3.4,45.0,-22.9,-26.4,80.4,40.1,19.6,-10.0,30.0,3.7,9.5,-5.8,-6.1,-20.3,23.9,25.3,68.5,62.4,19.6,42.8,35.4,41,45,43,54
61,"Abreu, José",547989,1203,1197,2400,46.2,-3.7,53.8,-31.3,-34.9,77.7,34.1,22.3,-9.6,24.5,-10.4,8.8,-19.2,-20.4,2.9,-13.4,-14.1,61.9,62.6,22.3,40.3,23.9,17,48,14,4
62,"Ozuna, Marcell",542303,1146,1220,2366,52.7,-2.8,47.3,-24.4,-27.3,83.4,40.6,16.6,-7.1,33.5,6.2,9.1,-2.8,-3.1,-0.3,6.5,7.0,68.6,62.8,16.6,46.2,36.1,72,50,78,69
63,"Paredes, Isaac",670623,1080,1286,2366,50.7,-2.8,49.3,-26.9,-29.7,81.7,42.3,18.3,-7.7,34.6,4.9,10.3,-5.4,-5.8,-4.3,9.2,9.9,67.6,65.7,18.3,47.5,32.5,85,83,56,56
64,"Verdugo, Alex",657077,964,1397,2361,55.4,-2.9,44.6,-20.1,-23.1,76.1,41.0,23.9,-11.8,29.2,6.2,10.2,-4.1,-4.4,3.1,3.1,3.3,67.6,66.6,23.9,42.7,31.5,39,89,5,62
65,"Díaz, Yandy",650490,1003,1353,2356,58.9,-2.6,41.1,-18.5,-21.1,82.2,45.4,17.8,-8.3,37.1,16.0,11.4,4.7,5.0,-0.3,16.3,17.5,72.3,65.3,17.8,47.5,41.1,85,79,63,93
66,"Outman, James",681546,1081,1270,2351,56.1,-2.5,43.9,-20.8,-23.2,84.0,44.0,16.0,-8.7,35.3,12.1,9.6,2.4,2.6,-12.1,24.1,26.1,71.2,63.8,16.0,47.8,40.1,87,62,84,89
67,"Benintendi, Andrew",643217,1148,1200,2348,53.1,-2.2,46.9,-24.0,-26.2,81.6,37.8,18.4,-9.0,28.8,2.7,9.6,-6.9,-7.5,-6.8,9.4,10.2,67.7,61.6,18.4,43.2,34.7,44,36,54,45
68,"Giménez, Andrés",665926,1264,1065,2329,45.0,-3.0,55.0,-31.8,-34.8,79.8,31.1,20.2,-8.0,23.1,-11.7,8.0,-19.7,-21.5,12.9,-24.7,-26.9,60.9,59.9,20.2,39.7,24.8,14,17,35,2
69,"Grisham, Trent",663757,961,1368,2329,62.3,-2.8,37.7,-17.2,-20.0,77.6,42.9,22.4,-13.5,29.4,9.4,9.0,0.3,0.4,9.6,-0.3,-0.3,71.3,63.9,22.4,41.6,40.0,28,64,13,83
70,"Raleigh, Cal",663728,1162,1176,2338,48.9,-3.3,51.1,-27.9,-31.3,83.8,40.2,16.2,-8.7,31.5,0.2,12.7,-12.4,-13.5,1.7,-1.5,-1.6,66.5,63.4,16.2,47.3,32.7,83,57,82,21
71,"Volpe, Anthony",683011,1112,1216,2328,55.3,-2.5,44.7,-22.6,-25.2,78.8,36.9,21.2,-10.5,26.4,1.2,5.8,-4.6,-5.0,3.4,-2.1,-2.3,67.6,60.9,21.2,39.7,34.1,14,28,25,59
72,"Tatis Jr., Fernando",665487,1262,1071,2333,51.5,-2.2,48.5,-26.3,-28.5,89.4,38.5,10.6,-4.2,34.4,5.9,11.8,-5.9,-6.4,-5.0,10.9,11.8,68.9,59.6,10.6,48.9,40.9,94,14,99,52
73,"Candelario, Jeimer",600869,1106,1227,2333,51.7,-2.6,48.3,-24.6,-27.2,82.5,40.3,17.5,-9.0,31.3,4.0,10.6,-6.6,-7.2,-6.2,10.2,11.1,67.9,63.9,17.5,46.4,34.2,75,64,69,46
74,"Ohtani, Shohei",660271,1110,1193,2303,48.0,-2.9,52.0,-26.4,-29.2,83.8,42.9,16.2,-8.3,34.6,5.3,15.3,-9.9,-11.0,3.7,1.6,1.8,66.6,65.2,16.2,49.1,31.8,94,78,82,29
75,"Vaughn, Andrew",683734,1100,1217,2317,49.4,-2.6,50.6,-26.6,-29.2,80.4,35.4,19.6,-8.6,26.8,-2.3,8.4,-10.7,-11.7,-6.3,3.9,4.3,65.6,64.3,19.6,44.7,29.7,57,70,43,26
76,"Soler, Jorge",624585,1022,1293,2315,50.9,-2.0,49.1,-23.2,-25.2,83.7,46.2,16.3,-9.3,37.0,11.7,14.0,-2.2,-2.4,10.8,0.9,1.0,69.2,67.5,16.3,51.2,34.6,98,93,81,71
77,"Varsho, Daulton",662139,1143,1155,2298,55.6,-3.6,44.4,-22.7,-26.4,81.5,35.7,18.5,-8.5,27.2,0.9,6.3,-5.4,-6.0,-6.8,7.6,8.4,68.6,59.7,18.5,41.2,37.0,24,15,52,55
78,"Peña, Jeremy",665161,1219,1075,2294,47.4,-2.2,52.6,-27.9,-30.1,82.5,33.5,17.5,-8.2,25.3,-4.8,8.1,-12.8,-14.2,-4.5,-0.3,-0.3,63.9,60.5,17.5,43.1,29.9,43,24,69,18
79,"Smith, Will",669257,1048,1244,2292,55.9,-3.0,44.1,-22.0,-25.0,82.3,42.8,17.7,-8.4,34.3,9.3,10.0,-0.7,-0.8,13.0,-3.7,-4.2,70.2,63.6,17.7,45.9,38.2,69,60,65,78
80,"Tovar, Ezequiel",678662,1359,923,2282,47.0,-2.7,53.0,-32.4,-35.1,85.4,27.5,14.6,-5.7,21.8,-13.3,4.5,-17.8,-19.8,-6.6,-6.7,-7.5,62.5,55.2,14.6,40.6,32.4,19,2,92,4
81,"Arenado, Nolan",571448,1108,1177,2285,47.6,-2.3,52.4,-27.8,-30.2,79.4,34.0,20.6,-9.3,24.7,-5.5,11.0,-16.4,-18.3,-1.2,-4.3,-4.8,63.9,63.9,20.6,43.3,26.9,45,64,31,7
82,"Machado, Manny",592518,1125,1159,2284,51.1,-2.6,48.9,-24.0,-26.6,83.7,37.6,16.3,-7.4,30.2,3.6,10.0,-6.3,-7.0,-7.7,11.4,12.7,67.6,62.8,16.3,46.5,34.8,76,50,81,48
83,"Suwinski, Jack",669261,887,1392,2279,55.9,-2.7,44.1,-17.3,-20.0,82.6,46.9,17.4,-10.9,36.0,16.0,12.9,3.1,3.4,1.0,15.0,16.7,72.2,69.9,17.4,52.5,38.5,99,99,70,91
84,"Correa, Carlos",621043,984,1273,2257,48.8,-2.4,51.2,-23.3,-25.7,78.6,40.3,21.4,-11.9,28.5,2.8,9.8,-7.1,-8.0,2.5,0.2,0.3,65.6,67.6,21.4,46.2,27.4,72,94,21,43
85,"LeMahieu, DJ",518934,883,1370,2253,54.2,-3.3,45.8,-19.3,-22.6,75.3,40.4,24.7,-13.4,27.1,4.5,8.5,-4.0,-4.5,-7.7,12.3,13.8,67.0,68.3,24.7,43.5,29.5,47,97,3,61
86,"Bohm, Alec",664761,1122,1130,2252,49.6,-2.5,50.4,-24.2,-26.7,80.6,33.7,19.4,-9.7,24.0,-2.6,7.7,-10.3,-11.6,6.1,-8.7,-9.8,65.1,62.1,19.4,42.7,30.2,39,40,45,26
87,"Bichette, Bo",666182,1259,966,2225,47.5,-2.5,52.5,-29.8,-32.3,85.5,29.0,14.5,-5.6,23.4,-8.9,6.7,-15.6,-17.9,-0.4,-8.6,-9.8,64.0,58.0,14.5,43.5,33.0,47,6,93,7
88,"Gurriel Jr., Lourdes",666971,1087,1128,2215,52.3,-3.4,47.7,-23.6,-27.0,79.6,33.2,20.4,-8.4,24.8,-2.2,8.6,-10.8,-12.4,-3.3,1.1,1.3,66.2,61.3,20.4,40.9,31.9,21,32,33,23
89,"Abrams, CJ",682928,1171,1029,2200,47.0,-2.2,53.0,-27.4,-29.6,80.7,30.3,19.3,-8.3,22.1,-7.5,6.0,-13.5,-15.6,-1.3,-6.3,-7.2,62.7,60.1,19.3,40.8,27.6,21,19,46,14
90,"Smith, Dominic",642086,1083,1127,2210,53.1,-2.8,46.9,-23.2,-26.0,79.9,34.5,20.1,-8.1,26.5,0.4,7.0,-6.6,-7.6,8.3,-7.9,-9.0,66.8,61.0,20.1,41.0,33.0,22,29,37,45
91,"India, Jonathan",663697,850,1354,2204,60.8,-3.4,39.2,-16.4,-19.9,77.0,39.9,23.0,-11.6,28.3,8.5,7.3,1.2,1.4,-12.6,21.1,24.3,70.8,66.9,23.0,43.9,37.9,50,90,10,87
92,"Merrifield, Whit",593160,1120,1076,2196,51.2,-2.5,48.8,-24.8,-27.3,79.1,30.7,20.9,-7.8,22.8,-4.5,4.8,-9.3,-10.7,1.0,-5.5,-6.3,64.8,59.8,20.9,38.9,30.2,9,16,27,30
93,"Robert Jr., Luis",673357,1282,918,2200,46.4,-2.9,53.6,-31.4,-34.3,85.7,28.3,14.3,-4.6,23.7,-10.6,4.8,-15.4,-17.8,-0.4,-10.2,-11.8,62.8,56.9,14.3,42.7,32.1,39,3,94,8
94,"Yoshida, Masataka",807799,952,1245,2197,56.1,-2.2,43.9,-19.9,-22.2,76.5,33.4,23.5,-10.6,22.7,0.6,7.7,-7.1,-8.2,-2.3,2.9,3.3,67.6,64.1,23.5,40.5,32.6,18,67,8,42
95,"Friedl, TJ",670770,904,1269,2173,56.6,-2.3,43.4,-18.2,-20.5,76.6,36.6,23.4,-10.9,25.7,5.2,8.4,-3.2,-3.7,4.9,0.3,0.4,68.3,65.5,23.4,42.1,33.2,34,81,9,66
96,"McNeil, Jeff",643446,1155,1031,2186,56.1,-2.6,43.9,-21.6,-24.2,85.0,34.2,15.0,-6.1,28.1,3.9,8.3,-4.4,-5.1,11.2,-7.3,-8.5,69.7,57.5,15.0,42.4,41.1,36,5,91,58
97,"Arraez, Luis",650333,1098,1059,2157,56.1,-2.5,43.9,-22.2,-24.7,77.0,28.4,23.0,-7.7,20.7,-4.1,5.7,-9.7,-11.5,-13.6,9.5,11.2,66.3,57.0,23.0,33.9,33.1,2,3,10,26
98,"Bellinger, Cody",641355,1077,1081,2158,49.9,-3.1,50.1,-25.8,-29.0,79.5,30.9,20.5,-8.6,22.3,-6.7,6.8,-13.5,-15.9,-19.6,13.0,15.3,64.7,61.5,20.5,41.0,29.3,22,35,32,13
99,"Rooker, Brent",667670,991,1161,2152,50.7,-2.7,49.3,-23.0,-25.7,79.8,36.7,20.2,-10.7,26.0,0.3,8.1,-7.8,-9.2,-5.8,6.1,7.2,66.4,64.9,20.2,44.7,30.5,57,76,35,38
100,"Vierling, Matt",663837,934,1182,2116,55.0,-3.1,45.0,-21.1,-24.2,75.6,32.5,24.4,-11.1,21.4,-2.8,4.7,-7.6,-9.1,-13.1,10.3,12.3,66.5,63.5,24.4,39.1,30.7,10,58,3,38
101,"Arcia, Orlando",606115,985,1147,2132,56.3,-3.1,43.7,-20.5,-23.6,79.9,36.3,20.1,-7.9,28.4,4.8,8.1,-3.3,-3.9,-7.8,12.6,15.0,69.0,62.3,20.1,42.1,36.2,34,43,37,64
102,"Hays, Austin",669720,986,1134,2120,48.3,-1.7,51.7,-22.0,-23.7,80.2,33.9,19.8,-9.6,24.3,0.6,8.5,-7.9,-9.5,1.9,-1.3,-1.6,65.3,65.6,19.8,45.8,28.4,68,82,42,36
103,"McKinstry, Zach",656716,985,1105,2090,56.5,-2.7,43.5,-21.2,-23.9,79.4,34.8,20.6,-8.4,26.4,2.5,7.6,-5.1,-6.2,-19.7,22.2,27.0,68.6,61.2,20.6,40.5,35.9,18,31,31,53
104,"Renfroe, Hunter",592669,1066,1026,2092,48.0,-2.3,52.0,-24.8,-27.1,82.5,33.0,17.5,-7.3,25.7,-1.4,8.4,-9.8,-11.9,3.0,-4.4,-5.3,64.9,62.3,17.5,44.8,30.5,58,43,69,25
105,"Taveras, Leody",665750,1033,1065,2098,53.4,-2.0,46.6,-21.3,-23.4,82.3,31.6,17.7,-7.6,24.1,0.7,6.5,-5.8,-7.1,6.7,-6.0,-7.3,68.1,61.4,17.7,43.7,35.8,48,33,65,48
106,"Profar, Jurickson",595777,991,1111,2102,59.4,-2.7,40.6,-19.2,-22.0,81.8,34.3,18.2,-7.5,26.8,4.8,6.3,-1.5,-1.8,-5.1,9.9,12.0,71.3,60.7,18.2,42.5,41.3,36,27,58,74
107,"Wade Jr., LaMonte",664774,820,1270,2090,61.3,-1.7,38.7,-14.3,-16.0,80.4,42.1,19.6,-11.3,30.8,14.8,10.4,4.3,5.3,-4.5,19.3,23.5,72.9,67.0,19.6,47.4,41.7,84,91,43,93
108,"Realmuto, J.T.",592663,1058,1038,2096,51.7,-2.5,48.3,-24.0,-26.5,81.1,31.1,18.9,-7.5,23.7,-2.8,6.6,-9.4,-11.4,-2.9,0.1,0.1,66.3,60.6,18.9,41.7,32.8,29,26,49,27
109,"Davis, J.D.",605204,1111,981,2092,57.7,-2.6,42.3,-19.6,-22.2,88.4,35.4,11.6,-5.1,30.3,8.1,7.0,1.0,1.3,5.0,3.0,3.7,72.1,57.5,11.6,45.9,46.1,69,5,99,86
110,"Noda, Ryan",676116,893,1194,2087,63.8,-2.1,36.2,-14.0,-16.0,81.3,42.6,18.7,-11.7,31.0,14.9,8.1,6.8,8.3,7.1,7.8,9.5,73.8,63.0,18.7,44.3,45.2,54,53,50,98
111,"Canha, Mark",592192,867,1218,2085,55.6,-2.6,44.4,-18.3,-21.0,78.0,36.7,22.0,-9.3,27.4,6.4,6.2,0.2,0.2,-4.4,10.8,13.2,68.7,66.3,22.0,44.3,33.6,54,87,17,82
112,"Nootbaar, Lars",663457,733,1337,2070,59.9,-2.1,40.1,-13.7,-15.8,76.7,43.1,23.3,-12.6,30.5,14.6,11.1,3.5,4.4,-1.3,16.0,19.6,70.7,70.0,23.3,46.7,36.6,78,99,9,91
113,"Perdomo, Geraldo",672695,785,1258,2043,62.3,-3.3,37.7,-14.1,-17.3,77.5,41.0,22.5,-11.4,29.6,12.3,8.5,3.7,4.7,-5.3,17.6,21.9,71.7,66.6,22.5,44.1,39.8,53,89,13,92
114,"Casas, Triston",671213,900,1162,2062,54.4,-2.2,45.6,-18.0,-20.1,82.4,42.2,17.6,-8.4,33.8,13.7,12.8,0.9,1.1,-3.1,16.7,20.6,70.2,66.1,17.6,48.5,36.8,92,86,67,85
115,"Perez, Salvador",521692,1240,821,2061,40.1,-2.8,59.9,-33.6,-36.4,82.3,23.0,17.7,-5.4,17.7,-18.7,5.7,-24.4,-30.1,-7.2,-11.6,-14.3,56.9,57.6,17.7,40.0,22.4,15,6,65,1
116,"Cronenworth, Jake",630105,976,1079,2055,58.8,-3.9,41.2,-18.3,-22.2,77.6,31.8,22.4,-8.8,23.0,0.8,4.6,-3.7,-4.6,-4.5,5.3,6.5,68.7,59.3,22.4,36.9,36.4,4,13,13,60
117,"Stephenson, Tyler",663886,872,1178,2050,58.1,-3.0,41.9,-16.5,-19.5,78.4,35.8,21.6,-11.2,24.5,5.0,7.9,-2.9,-3.5,0.1,5.0,6.1,69.8,64.5,21.6,42.9,36.5,42,72,20,67
118,"Burger, Jake",669394,1106,942,2048,46.5,-2.6,53.5,-26.5,-29.1,83.3,29.1,16.7,-5.9,23.2,-5.9,7.8,-13.7,-17.0,-7.4,1.5,1.9,63.4,60.4,16.7,43.8,29.8,49,24,77,10
119,"Lowe, Josh",666139,1086,950,2036,46.9,-2.8,53.1,-27.4,-30.2,84.4,29.5,15.6,-5.2,24.3,-5.9,8.2,-14.1,-17.6,-6.8,0.9,1.1,64.4,61.2,15.6,45.6,31.3,66,31,87,9
120,"Harper, Bryce",547180,1034,982,2016,46.5,-2.0,53.5,-23.7,-25.7,89.9,38.5,10.1,-4.6,33.9,8.2,14.8,-6.6,-8.3,12.4,-4.2,-5.3,67.7,64.7,10.1,54.7,36.4,100,74,99,41
121,"McCutchen, Andrew",457705,835,1172,2007,63.1,-2.6,36.9,-15.0,-17.5,82.8,41.2,17.2,-7.4,33.8,16.2,8.6,7.7,9.7,-0.1,16.4,20.7,74.6,64.8,17.2,47.7,46.0,86,75,73,99
