,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
40,"Bregman, Alex",608324,626,786,1412,58.6,1.9,41.4,-13.5,-11.6,79.8,23.7,20.2,-5.3,18.3,6.8,0.7,6.1,11.0,70.4,63.1,20.2,42.8,38.4,41,52,32,76
41,"Pasquantino, Vinnie",686469,628,779,1407,50.0,-3.6,50.0,-13.3,-16.9,80.9,24.7,19.1,-5.5,19.2,2.3,0.3,2.0,3.7,67.1,66.7,19.1,47.6,30.9,77,86,44,35
42,"Ward, Taylor",621493,593,814,1407,64.8,-1.2,35.2,-11.1,-12.3,80.2,23.6,19.8,-5.6,18.0,5.7,-3.2,8.9,16.1,73.7,63.0,19.8,43.2,45.0,43,51,36,93
43,"Bleday, JJ",668709,622,776,1398,57.7,-0.6,42.3,-7.9,-8.5,82.5,26.5,17.5,-5.7,20.8,12.3,5.2,7.2,13.0,71.5,64.1,17.5,46.5,40.2,68,63,60,84
44,"India, Jonathan",663697,516,881,1397,57.2,-4.2,42.8,-13.3,-17.5,81.5,27.5,18.5,-7.3,20.2,2.7,-6.2,8.8,16.1,72.5,70.9,18.5,52.4,38.7,97,99,52,93
45,"Tovar, Ezequiel",678662,872,514,1386,49.8,0.6,50.2,-17.8,-17.2,84.6,15.2,15.4,-3.0,12.2,-5.0,0.1,-5.1,-9.4,62.7,50.1,15.4,34.7,34.4,2,1,79,2
46,"Carroll, Corbin",682998,593,793,1386,51.1,-0.0,48.9,-14.3,-14.4,81.3,25.9,18.7,-6.9,19.0,4.7,0.2,4.4,8.1,68.4,68.0,18.7,49.4,32.4,85,93,51,60
47,"Arraez, Luis",650333,675,709,1384,54.8,3.3,45.2,-17.0,-13.6,73.6,18.9,26.4,-5.7,13.3,-0.4,1.2,-1.6,-2.9,64.5,58.5,26.4,32.1,28.4,1,12,1,14
48,"Santander, Anthony",623993,702,686,1388,46.7,5.1,53.3,-19.5,-14.5,79.4,20.2,20.6,-4.9,15.3,0.9,4.0,-3.1,-5.7,62.9,62.4,20.6,41.9,26.2,34,47,29,7
49,"Morel, Christopher",666624,627,758,1385,54.1,2.1,45.9,-11.9,-9.8,83.1,27.0,16.9,-5.8,21.2,11.4,3.9,7.5,13.7,70.0,65.0,16.9,48.1,37.2,79,72,68,86
50,"Castro, Willi",650489,685,691,1376,52.1,5.8,47.9,-15.3,-9.5,79.9,22.8,20.1,-5.2,17.6,8.0,5.9,2.2,4.0,66.1,60.7,20.1,40.6,32.0,27,26,33,37
51,"Raleigh, Cal",663728,697,677,1374,48.9,-4.7,51.1,-15.2,-19.9,83.9,23.9,16.1,-5.4,18.6,-1.4,-1.2,-0.1,-0.2,66.2,62.5,16.1,46.4,32.8,66,47,75,23
52,"Semien, Marcus",543760,696,675,1371,56.6,-0.1,43.4,-15.9,-16.0,87.9,23.5,12.1,-2.6,20.9,4.9,-2.2,7.1,13.2,72.0,60.1,12.1,47.9,44.5,78,20,96,85
53,"Verdugo, Alex",657077,609,760,1369,58.9,7.5,41.1,-12.3,-4.8,75.4,22.2,24.6,-5.6,16.6,11.8,8.0,3.8,7.1,68.1,61.5,24.6,36.9,34.3,7,34,6,55
54,"Suárez, Eugenio",553993,623,747,1370,63.1,16.4,36.9,-9.7,6.8,76.3,24.3,23.7,-6.0,18.3,25.1,20.0,5.1,9.5,70.3,59.2,23.7,35.5,39.4,4,15,10,69
55,"Donovan, Brendan",680977,562,791,1353,54.6,-2.4,45.4,-11.2,-13.6,79.0,22.6,21.0,-6.6,16.0,2.4,-1.4,3.8,7.1,68.9,67.1,21.0,46.1,33.6,63,87,26,55
56,"Turang, Brice",668930,610,740,1350,59.7,0.5,40.3,-12.1,-11.6,78.8,22.3,21.2,-6.5,15.8,4.2,-1.3,5.5,10.4,70.1,61.6,21.2,40.3,38.5,25,36,24,74
57,"Altuve, Jose",514888,708,650,1358,50.8,4.2,49.2,-13.3,-9.1,77.1,20.4,22.9,-5.4,15.0,5.9,8.0,-2.1,-4.0,63.4,58.2,22.9,35.3,27.9,4,10,13,11
58,"Marte, Ketel",606466,673,685,1358,53.3,-0.5,46.7,-16.3,-16.8,84.8,22.2,15.2,-3.1,19.2,2.3,-2.5,4.8,9.1,69.2,61.8,15.2,46.6,38.2,69,39,82,66
59,"Betts, Mookie",605141,487,822,1309,59.5,-0.6,40.5,-11.1,-11.7,78.5,26.9,21.5,-6.1,20.8,9.1,-1.3,10.4,20.3,71.4,69.0,21.5,47.5,38.0,76,96,22,98
60,"Giménez, Andrés",665926,744,597,1341,44.1,-6.7,55.9,-23.9,-30.7,85.3,16.9,14.7,-3.5,13.4,-17.3,-14.4,-2.9,-5.5,62.4,60.8,14.7,46.1,29.3,63,28,86,7
61,"Arenado, Nolan",571448,611,736,1347,53.7,1.3,46.3,-16.8,-15.5,74.7,21.5,25.3,-6.3,15.2,-0.4,1.1,-1.4,-2.7,65.2,62.6,25.3,37.4,28.4,9,48,4,15
62,"Abrams, CJ",682928,723,611,1334,43.7,-0.5,56.3,-20.7,-21.2,81.2,18.1,18.8,-4.3,13.7,-7.5,-3.4,-4.1,-7.8,60.9,61.1,18.8,42.3,24.9,37,31,48,4
63,"Winker, Jesse",608385,555,771,1326,55.5,-4.2,44.5,-10.2,-14.4,83.7,25.9,16.3,-6.7,19.2,4.8,-4.6,9.4,18.0,71.9,67.7,16.3,51.3,39.2,93,92,72,96
64,"Gurriel Jr., Lourdes",666971,672,650,1322,50.0,1.9,50.0,-15.7,-13.8,79.8,18.7,20.2,-4.7,14.0,0.2,1.0,-0.8,-1.5,64.7,60.7,20.2,40.5,29.8,26,26,32,17
65,"García, Adolis",666969,694,625,1319,51.6,1.2,48.4,-17.0,-15.8,85.3,21.0,14.7,-3.1,17.8,2.1,-0.4,2.5,4.8,67.6,59.8,14.7,45.1,36.9,54,19,86,43
66,"McCutchen, Andrew",457705,560,760,1320,60.7,-5.2,39.3,-12.2,-17.4,84.7,26.0,15.3,-4.7,21.2,3.8,-7.2,11.0,21.2,74.5,65.4,15.3,50.2,45.5,88,75,81,99
67,"Canha, Mark",592192,527,786,1313,56.9,-2.4,43.1,-13.2,-15.5,79.0,24.3,21.0,-6.0,18.3,2.8,-5.3,8.1,15.6,70.1,67.4,21.0,46.4,35.9,66,91,26,91
68,"Alvarez, Yordan",670541,622,688,1310,50.8,4.4,49.2,-11.5,-7.1,78.8,22.8,21.2,-5.4,17.4,10.3,10.1,0.1,0.2,65.5,63.2,21.2,41.9,29.6,34,53,24,25
69,"Castellanos, Nick",592206,763,547,1310,53.1,2.4,46.9,-12.8,-10.4,84.1,17.9,15.9,-4.2,13.7,3.2,2.8,0.4,0.8,66.0,53.2,15.9,37.3,37.2,8,2,77,27
70,"Albies, Ozzie",645277,736,574,1310,50.7,-5.6,49.3,-12.9,-18.5,87.8,19.2,12.2,-3.0,16.2,-2.3,-2.1,-0.1,-0.3,66.9,57.5,12.2,45.3,38.5,56,8,95,22
71,"Bell, Josh",605137,662,648,1310,53.6,6.3,46.4,-15.4,-9.2,83.8,21.7,16.2,-3.3,18.4,9.2,5.4,3.8,7.4,68.5,60.5,16.2,44.3,37.4,47,23,74,56
72,"Machado, Manny",592518,657,617,1274,45.4,-4.5,54.6,-16.2,-20.7,85.7,18.8,14.3,-4.1,14.8,-6.0,-6.2,0.2,0.5,64.9,64.0,14.3,49.7,31.1,86,62,89,26
73,"Devers, Rafael",646240,651,651,1302,48.2,-3.0,51.8,-16.8,-19.8,83.7,21.2,16.3,-4.0,17.3,-2.5,-3.0,0.5,0.9,66.0,63.4,16.3,47.2,32.0,73,55,72,28
74,"Stott, Bryson",681082,548,751,1299,51.8,-0.8,48.2,-13.4,-14.1,73.1,22.4,26.9,-7.5,14.9,0.8,-1.3,2.1,4.0,64.1,65.9,26.9,39.0,24.9,19,79,0,37
75,"Santana, Carlos",467793,567,731,1298,52.6,-2.2,47.4,-15.5,-17.7,80.7,23.0,19.3,-5.0,18.0,0.3,-3.0,3.3,6.5,68.4,66.4,19.3,47.2,33.3,73,83,41,51
76,"Winn, Masyn",691026,630,653,1283,52.9,2.0,47.1,-14.2,-12.2,78.1,18.9,21.9,-4.9,13.9,1.7,2.9,-1.1,-2.3,65.7,60.5,21.9,38.6,31.0,14,23,20,16
77,"Peña, Jeremy",665161,670,610,1280,46.4,-0.4,53.6,-16.5,-16.9,82.5,18.1,17.5,-4.2,13.9,-3.0,-2.2,-0.8,-1.6,63.6,61.8,17.5,44.3,28.9,47,39,60,17
78,"Mountcastle, Ryan",663624,711,576,1287,50.9,0.2,49.1,-18.4,-18.2,83.2,18.1,16.8,-3.3,14.7,-3.4,-2.3,-1.1,-2.2,65.3,57.0,16.8,40.1,34.1,24,6,69,16
79,"Vaughn, Andrew",683734,634,648,1282,51.9,4.0,48.1,-13.0,-9.0,77.5,18.9,22.5,-4.9,14.0,5.0,5.6,-0.6,-1.2,64.8,60.4,22.5,37.9,29.4,11,21,16,19
80,"Turner, Justin",457759,572,710,1282,51.2,-2.1,48.8,-14.9,-16.9,79.9,23.6,20.1,-5.3,18.2,1.3,-1.9,3.3,6.5,67.1,65.9,20.1,45.8,31.1,60,79,33,51
81,"Harper, Bryce",547180,656,624,1280,50.3,-0.5,49.7,-17.0,-17.5,86.7,23.5,13.3,-3.6,19.8,2.3,0.1,2.3,4.5,68.0,62.1,13.3,48.8,37.0,81,43,93,41
82,"Bohm, Alec",664761,616,659,1275,49.4,-4.8,50.6,-13.3,-18.1,85.3,19.9,14.7,-4.8,15.1,-3.0,-4.0,1.0,2.1,67.9,64.9,14.7,50.2,34.6,88,71,86,32
83,"Cruz, Oneil",665833,588,681,1269,43.7,-1.4,56.3,-15.2,-16.6,77.5,19.1,22.5,-6.8,12.3,-4.3,-1.8,-2.5,-5.0,61.9,67.3,22.5,44.8,21.2,51,90,16,9
84,"Smith, Will",669257,584,639,1223,58.6,0.5,41.4,-12.5,-12.0,79.2,20.8,20.8,-5.2,15.6,3.5,-0.9,4.5,9.3,69.3,59.7,20.8,38.9,37.7,18,18,28,68
85,"Schanuel, Nolan",694384,535,718,1253,52.3,-0.4,47.7,-15.2,-15.6,79.5,21.5,20.5,-6.6,14.9,-0.7,-5.6,4.9,9.8,67.9,67.1,20.5,46.6,31.9,69,87,31,71
86,"Perez, Salvador",521692,728,520,1248,39.4,2.9,60.6,-20.7,-17.8,85.4,17.0,14.6,-2.3,14.7,-3.1,3.4,-6.5,-13.2,58.6,60.7,14.6,46.1,24.8,63,26,87,1
87,"Westburg, Jordan",676059,647,598,1245,56.4,0.4,43.6,-12.6,-12.2,81.3,18.3,18.7,-3.6,14.8,2.5,-1.4,3.9,8.0,68.4,57.1,18.7,38.4,37.7,13,7,51,59
88,"Rooker, Brent",667670,615,630,1245,47.6,-2.3,52.4,-14.6,-16.9,84.8,21.3,15.2,-4.4,16.9,0.1,0.1,-0.1,-0.1,66.4,64.6,15.2,49.3,32.4,84,68,82,23
89,"Tatis Jr., Fernando",665487,601,611,1212,56.6,0.0,43.4,-11.7,-11.7,82.7,21.0,17.3,-3.8,17.2,5.5,1.2,4.2,8.9,69.7,59.8,17.3,42.4,39.2,38,19,62,65
90,"Varsho, Daulton",662139,559,667,1226,60.3,2.7,39.7,-8.9,-6.2,80.7,21.6,19.3,-5.1,16.5,10.3,5.7,4.6,9.6,71.4,61.5,19.3,42.1,40.9,35,34,41,70
91,"Hoerner, Nico",663538,577,655,1232,43.8,-3.5,56.2,-15.9,-19.4,79.4,16.9,20.6,-4.8,12.1,-7.4,-6.9,-0.4,-0.9,62.7,67.3,20.6,46.7,23.2,70,90,29,20
92,"Busch, Michael",683737,554,678,1232,61.9,1.7,38.1,-10.1,-8.4,83.0,24.0,17.0,-5.4,18.6,10.2,2.1,8.1,16.7,73.5,62.1,17.0,45.2,45.0,56,43,67,94
93,"Crawford, J.P.",641487,501,733,1234,63.5,-0.9,36.5,-7.7,-8.6,78.3,21.9,21.7,-6.5,15.4,6.8,-0.6,7.3,15.1,72.3,64.3,21.7,42.7,41.8,40,65,21,90
94,"Springer, George",543807,612,612,1224,54.9,-1.2,45.1,-11.8,-13.0,87.4,21.4,12.6,-2.4,19.0,6.1,-1.8,7.8,16.3,71.2,61.4,12.6,48.8,42.3,81,32,94,93
95,"Soler, Jorge",624585,576,638,1214,53.0,0.9,47.0,-13.0,-12.1,77.6,20.7,22.4,-5.5,15.2,3.1,1.2,1.9,4.0,65.9,61.9,22.4,39.5,30.5,21,40,17,37
96,"Sheets, Gavin",657757,527,692,1219,52.8,3.3,47.2,-12.8,-9.5,75.3,23.2,24.7,-5.8,17.4,7.9,6.0,1.9,4.0,65.5,65.2,24.7,40.5,28.0,26,74,5,37
97,"Garver, Mitch",641598,468,750,1218,50.6,-3.6,49.4,-14.7,-18.2,80.7,23.3,19.3,-5.5,17.9,-0.4,-8.9,8.5,17.8,69.1,71.9,19.3,52.5,31.3,98,100,41,96
98,"Doyle, Brenton",686668,610,600,1210,42.3,-6.5,57.7,-16.5,-23.0,91.5,19.0,8.5,-2.6,16.4,-6.6,-9.1,2.4,5.0,66.7,68.0,8.5,59.5,33.8,100,93,99,44
99,"Gorman, Nolan",669357,600,610,1210,51.8,1.3,48.2,-15.0,-13.7,81.5,19.5,18.5,-4.8,14.8,1.1,-0.4,1.5,3.1,66.8,61.5,18.5,43.0,33.3,42,34,52,34
100,"Swanson, Dansby",621020,585,623,1208,58.3,-2.8,41.7,-13.7,-16.4,84.4,20.0,15.6,-3.7,16.3,-0.1,-6.9,6.7,14.2,71.8,60.7,15.6,45.1,42.7,54,26,78,87
101,"Schneider, Davis",676914,504,692,1196,54.2,-2.1,45.8,-13.5,-15.6,83.8,22.2,16.2,-4.8,17.4,1.7,-5.6,7.3,15.6,71.3,68.0,16.2,51.8,38.0,96,93,74,91
102,"Arcia, Orlando",606115,603,603,1206,55.6,-0.7,44.4,-12.2,-12.9,81.4,17.3,18.6,-3.8,13.5,0.6,-0.2,0.8,1.7,68.5,59.4,18.6,40.9,37.0,29,16,51,31
103,"France, Ty",664034,571,635,1206,44.7,-4.9,55.3,-17.8,-22.7,87.9,20.5,12.1,-3.8,16.7,-6.1,-10.9,4.9,10.2,67.4,68.6,12.1,56.5,32.5,99,95,96,72
104,"Vierling, Matt",663837,524,671,1195,60.9,-0.0,39.1,-9.2,-9.2,76.9,18.1,23.1,-6.0,12.2,3.0,-0.7,3.7,7.8,69.9,61.8,23.1,38.7,37.8,16,39,12,57
105,"Naylor, Josh",647304,628,570,1198,52.9,-0.9,47.1,-7.8,-8.7,85.6,20.6,14.4,-3.1,17.4,8.7,6.8,1.9,4.0,68.4,59.5,14.4,45.1,38.5,54,17,88,37
106,"Merrill, Jackson",701538,637,522,1159,49.6,-1.3,50.4,-15.7,-17.0,81.0,15.4,19.0,-3.6,11.8,-5.2,-2.9,-2.3,-5.1,63.8,57.2,19.0,38.3,30.6,12,7,45,8
107,"Smith, Josh",669701,549,635,1184,54.6,-0.1,45.4,-15.4,-15.5,77.8,18.8,22.2,-5.7,13.1,-2.4,-6.1,3.7,8.0,67.1,62.2,22.2,40.0,32.4,23,46,19,59
108,"Riley, Austin",663586,596,592,1188,56.2,1.5,43.8,-13.4,-11.9,86.3,19.8,13.7,-2.9,16.8,4.9,-1.5,6.4,13.7,71.2,60.4,13.7,46.7,42.5,70,21,90,86
109,"Candelario, Jeimer",600869,634,553,1187,55.0,-0.1,45.0,-9.4,-9.4,81.7,16.6,18.3,-3.2,13.4,4.0,3.2,0.8,1.8,67.5,56.4,18.3,38.2,36.8,11,5,55,31
110,"Hoskins, Rhys",656555,493,682,1175,58.8,3.7,41.2,-12.7,-9.0,75.4,20.1,24.6,-5.6,14.5,5.5,2.3,3.2,7.0,68.4,63.9,24.6,39.3,34.2,20,60,6,54
111,"Bellinger, Cody",641355,594,577,1171,51.7,-1.2,48.3,-12.3,-13.5,78.9,18.2,21.1,-4.7,13.5,0.0,1.5,-1.4,-3.1,65.1,59.7,21.1,38.6,30.5,14,18,25,13
112,"Haniger, Mitch",571745,513,652,1165,57.3,-2.3,42.7,-10.8,-13.1,80.4,20.6,19.6,-4.9,15.7,2.6,-2.9,5.5,12.0,70.2,64.1,19.6,44.4,37.7,49,63,39,81
113,"Neto, Zach",687263,601,542,1143,47.4,-1.9,52.6,-14.6,-16.5,81.7,14.8,18.3,-3.7,11.1,-5.4,-3.1,-2.3,-5.2,63.7,60.9,18.3,42.6,29.2,40,29,55,8
114,"Benson, Will",666181,550,595,1145,52.7,-3.3,47.3,-11.4,-14.7,84.2,20.0,15.8,-5.1,14.9,0.2,-4.3,4.6,10.2,69.1,63.3,15.8,47.5,36.9,76,54,77,72
115,"Suzuki, Seiya",673548,456,689,1145,55.3,-4.2,44.7,-10.2,-14.4,82.3,19.1,17.7,-5.4,13.7,-0.6,-7.1,6.5,14.4,71.5,69.2,17.7,51.5,37.6,94,97,58,88
116,"Toro, Abraham",647351,549,589,1138,50.1,-3.2,49.9,-9.6,-12.8,76.6,15.1,23.4,-4.9,10.2,-2.6,-1.0,-1.6,-3.5,63.8,62.1,23.4,38.7,26.7,16,43,11,12
117,"Meneses, Joey",608841,580,562,1142,49.5,-1.7,50.5,-11.3,-13.0,80.2,17.0,19.8,-3.7,13.3,0.3,0.7,-0.4,-0.8,64.6,61.1,19.8,41.4,29.7,32,31,36,20
118,"Taveras, Leody",665750,546,588,1134,51.1,-2.2,48.9,-12.5,-14.7,83.7,19.6,16.3,-4.3,15.4,0.6,-2.0,2.6,5.8,68.0,63.8,16.3,47.5,34.8,76,59,72,47
119,"DeJong, Paul",657557,665,474,1139,47.7,-3.1,52.3,-16.9,-20.0,88.6,13.5,11.4,-1.9,11.6,-8.4,-7.1,-1.3,-2.9,64.7,57.0,11.4,45.6,36.3,59,6,98,14
120,"Frelick, Sal",686217,450,682,1132,61.3,0.8,38.7,-6.8,-6.0,75.1,20.3,24.9,-7.3,13.0,7.1,2.2,4.9,11.0,69.6,65.0,24.9,40.0,36.4,23,72,4,76
121,"Joe, Connor",656582,489,640,1129,63.4,2.3,36.6,-9.8,-7.5,80.2,19.0,19.8,-4.7,14.3,6.9,-0.5,7.4,16.7,72.9,62.3,19.8,42.5,43.6,39,46,36,94
