,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
0,"Soto, Juan",665742,596,1047,1643,64.1,-1.6,35.9,-11.1,-12.7,81.9,39.9,18.1,-6.8,33.1,20.5,2.1,18.4,28.4,75.4,69.2,18.1,51.0,45.9,91,97,57,100
1,"Volpe, Anthony",683011,772,831,1603,49.6,-6.1,50.4,-18.6,-24.6,81.2,24.6,18.8,-6.1,18.5,-6.2,-6.9,0.7,1.2,66.0,63.8,18.8,45.0,30.8,53,59,48,29
2,"Duran, Jarren",680776,740,858,1598,52.0,-4.6,48.0,-14.9,-19.5,81.8,25.4,18.2,-5.3,20.1,0.6,-3.7,4.3,6.9,68.0,64.6,18.2,46.4,33.8,66,68,56,53
3,"Walker, Christian",572233,768,818,1586,55.7,2.2,44.3,-20.7,-18.6,83.9,28.5,16.1,-4.1,24.4,5.8,-1.1,6.9,11.1,70.2,61.6,16.1,45.4,39.6,57,36,75,77
4,"Judge, Aaron",592450,681,898,1579,57.7,0.7,42.3,-13.2,-12.4,81.2,33.0,18.8,-7.4,25.5,13.1,5.6,7.5,12.1,71.1,65.0,18.8,46.2,38.9,64,72,48,82
5,"Olson, Matt",621566,786,791,1577,56.5,2.6,43.5,-11.9,-9.3,81.0,26.7,19.0,-5.2,21.5,12.2,10.1,2.1,3.5,68.8,59.1,19.0,40.1,37.5,24,14,45,34
6,"McMahon, Ryan",641857,744,826,1570,56.2,-5.4,43.8,-15.1,-20.5,82.8,25.6,17.2,-6.2,19.4,-1.1,-4.8,3.7,5.9,70.2,62.1,17.2,44.9,39.0,52,43,64,48
7,"Goldschmidt, Paul",502671,728,840,1568,52.6,0.2,47.4,-18.3,-18.2,78.8,25.1,21.2,-7.2,17.8,-0.4,-3.4,3.1,5.0,66.6,63.3,21.2,42.2,31.4,37,54,24,44
8,"Paredes, Isaac",670623,700,870,1570,57.3,4.2,42.7,-8.9,-4.7,75.1,27.9,24.9,-6.6,21.3,16.6,11.7,4.9,7.9,67.1,62.0,24.9,37.0,32.3,7,41,4,58
9,"Henderson, Gunnar",683002,679,882,1561,58.3,2.0,41.7,-10.6,-8.6,79.4,30.1,20.6,-7.8,22.4,13.8,7.8,6.0,9.8,70.2,63.9,20.6,43.2,37.7,43,60,29,71
10,"Chapman, Matt",656305,700,854,1554,58.4,-2.5,41.6,-14.4,-16.9,76.8,26.0,23.2,-8.0,18.0,1.1,-4.5,5.6,9.2,68.5,61.6,23.2,38.4,35.2,13,36,11,67
11,"Ohtani, Shohei",660271,705,819,1524,55.2,0.8,44.8,-12.2,-11.4,82.3,27.2,17.7,-5.7,21.5,10.1,6.7,3.4,5.7,69.8,63.4,17.7,45.7,37.5,59,55,58,46
12,"Greene, Riley",682985,648,868,1516,63.3,15.9,36.7,-12.5,3.4,75.6,29.7,24.4,-7.3,22.4,25.7,18.9,6.8,11.4,70.3,61.5,24.4,37.1,38.8,8,34,7,79
13,"Lindor, Francisco",596019,729,782,1511,49.1,-6.7,50.9,-16.0,-22.6,85.0,23.5,15.0,-4.5,19.0,-3.6,-5.9,2.3,3.8,67.7,65.0,15.0,50.0,34.1,87,72,83,35
14,"De La Cruz, Elly",682829,629,877,1506,51.4,-0.0,48.6,-14.6,-14.7,79.0,27.8,21.0,-7.3,20.4,5.8,3.0,2.8,4.7,67.5,68.2,21.0,47.2,30.4,73,94,26,43
15,"Freeman, Freddie",518692,719,733,1452,50.6,-6.2,49.4,-16.7,-22.9,88.4,26.5,11.6,-3.5,23.0,0.1,-4.2,4.3,7.6,69.7,64.0,11.6,52.4,39.0,97,62,97,57
16,"Adames, Willy",642715,718,791,1509,52.5,-1.6,47.5,-22.8,-24.4,82.8,27.3,17.2,-5.5,21.9,-2.5,-9.2,6.7,11.3,68.4,63.5,17.2,46.3,35.3,65,57,64,78
17,"Reynolds, Bryan",668804,731,776,1507,55.0,-0.8,45.0,-15.2,-16.0,84.9,24.5,15.1,-4.5,20.0,4.0,-1.1,5.1,8.7,70.4,62.1,15.1,47.0,39.9,71,43,83,63
18,"Torres, Gleyber",650402,704,802,1506,65.1,5.7,34.9,-11.1,-5.4,80.2,26.8,19.8,-5.6,21.2,15.8,5.4,10.4,17.5,73.1,58.4,19.8,38.6,45.2,14,11,36,95
19,"Nimmo, Brandon",607043,643,859,1502,59.6,3.1,40.4,-9.8,-6.7,80.1,29.5,19.9,-7.0,22.5,15.8,9.1,6.7,11.3,71.3,64.2,19.9,44.3,39.7,47,64,34,78
20,"Díaz, Yandy",650490,678,826,1504,57.5,-2.5,42.5,-13.1,-15.5,82.9,26.3,17.1,-5.7,20.6,5.1,-1.2,6.2,10.5,71.5,63.7,17.1,46.7,40.5,70,57,66,74
21,"Ozuna, Marcell",542303,723,778,1501,49.9,-6.6,50.1,-14.6,-21.2,89.3,29.1,10.7,-3.7,25.3,4.1,-0.8,4.9,8.3,70.4,65.8,10.7,55.1,39.3,99,78,98,61
22,"Rutschman, Adley",668939,678,819,1497,49.4,-0.2,50.6,-16.7,-17.0,74.4,23.7,25.6,-7.2,16.5,-0.4,0.3,-0.7,-1.3,63.1,64.5,25.6,38.9,23.8,18,67,3,19
23,"Schwarber, Kyle",656941,589,907,1496,60.4,7.4,39.6,-10.7,-3.3,78.1,31.8,21.9,-7.2,24.6,21.3,11.9,9.4,16.0,71.1,66.5,21.9,44.6,38.5,50,84,20,92
24,"Cronenworth, Jake",630105,667,792,1459,60.6,-1.6,39.4,-12.8,-14.4,80.8,25.0,19.2,-4.7,20.4,6.0,-1.6,7.6,13.2,71.6,61.3,19.2,42.1,41.4,35,32,43,85
25,"Arozarena, Randy",668227,621,872,1493,56.8,3.9,43.2,-15.1,-11.2,76.0,27.9,24.0,-7.2,20.7,9.6,4.6,4.9,8.4,68.1,65.3,24.0,41.3,32.9,31,74,9,62
26,"Profar, Jurickson",595777,659,796,1455,65.7,11.6,34.3,-9.7,2.0,75.6,27.4,24.4,-5.8,21.6,23.6,12.8,10.8,18.8,71.1,58.2,24.4,33.8,41.3,2,10,7,97
27,"Rodríguez, Julio",677594,810,679,1489,42.8,-4.0,57.2,-23.1,-27.1,86.6,21.4,13.4,-3.8,17.7,-9.4,-4.8,-4.6,-7.9,62.8,62.9,13.4,49.5,29.4,86,49,92,3
28,"Happ, Ian",664023,668,816,1484,52.4,-5.7,47.6,-15.0,-20.7,83.3,27.8,16.7,-5.9,21.9,1.2,-5.7,6.9,11.8,69.4,66.0,16.7,49.4,35.7,85,80,70,80
29,"Guerrero Jr., Vladimir",665489,689,787,1476,54.3,-0.3,45.7,-16.3,-16.6,80.9,25.9,19.1,-5.4,20.5,3.9,-1.3,5.2,8.9,68.5,63.0,19.1,43.9,35.2,46,51,44,65
30,"Alonso, Pete",624413,655,825,1480,50.8,0.6,49.2,-18.0,-17.4,80.6,25.7,19.4,-6.1,19.6,2.1,-0.5,2.6,4.4,67.4,66.6,19.4,47.2,31.4,73,85,40,40
31,"Contreras, William",661388,710,765,1475,54.4,-2.0,45.6,-14.4,-16.4,85.5,26.2,14.5,-4.4,21.8,5.4,-0.0,5.4,9.4,70.5,62.9,14.5,48.4,39.9,80,49,87,69
32,"Kim, Ha-Seong",673490,530,898,1428,58.9,-5.9,41.1,-12.3,-18.2,78.4,26.0,21.6,-7.6,18.4,0.2,-7.9,8.1,14.5,71.1,69.3,21.6,47.7,37.3,78,98,22,89
33,"Witt Jr., Bobby",677951,736,730,1466,54.5,7.7,45.5,-15.7,-8.0,80.3,23.8,19.7,-4.8,19.1,11.0,9.7,1.3,2.3,67.3,59.4,19.7,39.6,34.8,22,16,38,32
34,"Garcia, Maikel",672580,654,811,1465,57.6,0.2,42.4,-12.7,-12.4,75.7,24.1,24.3,-7.1,17.0,4.6,-0.2,4.7,8.2,67.6,62.0,24.3,37.7,33.4,10,41,8,60
35,"Ramírez, José",608070,724,735,1459,48.2,-0.2,51.8,-16.8,-17.1,82.6,22.4,17.4,-4.1,18.2,1.2,3.7,-2.6,-4.5,65.5,63.5,17.4,46.1,30.8,63,57,61,10
36,"Hernández, Teoscar",606192,745,667,1412,58.4,5.3,41.6,-10.4,-5.1,80.8,21.4,19.2,-3.8,17.6,12.4,8.6,3.8,6.9,69.0,55.3,19.2,36.1,39.2,5,4,43,53
37,"De La Cruz, Bryan",650559,774,674,1448,54.1,3.7,45.9,-19.5,-15.8,84.7,20.2,15.3,-3.4,16.8,1.0,1.4,-0.4,-0.7,68.4,57.7,15.3,42.4,38.9,38,9,81,21
38,"Chisholm Jr., Jazz",665862,677,747,1424,49.5,0.8,50.5,-14.2,-13.5,81.1,24.0,18.9,-5.5,18.5,5.0,4.3,0.7,1.3,66.1,64.4,18.9,45.5,30.6,58,66,46,30
39,"Steer, Spencer",668715,644,791,1435,54.3,1.6,45.7,-13.7,-12.1,78.8,24.5,21.2,-6.0,18.5,6.5,1.3,5.2,9.2,67.8,64.0,21.2,42.8,33.1,41,62,24,67
