,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
70,"Andrus, Elvis",462101,1024,1226,2250,47.9,-7.9,52.1,-19.9,-27.9,82.0,34.8,18.0,-8.7,26.1,-1.8,-4.2,2.4,2.7,66.4,67.2,18.0,49.2,29.8,76,83,50,49
71,"Voit, Luke",572228,1169,1079,2248,54.9,9.9,45.1,-27.8,-17.8,86.5,39.7,13.5,-6.5,33.2,15.4,4.7,10.7,12.1,70.1,59.2,13.5,45.7,41.4,52,13,89,85
72,"Drury, Brandon",592273,1030,1212,2242,47.3,-6.1,52.7,-28.2,-34.4,79.7,34.9,20.3,-10.4,24.4,-9.9,-7.2,-2.7,-3.1,64.8,66.5,20.3,46.2,27.0,56,78,27,24
73,"Wisdom, Patrick",621550,1061,1141,2202,52.9,-6.2,47.1,-24.3,-30.5,85.0,36.5,15.0,-8.2,28.3,-2.3,-12.7,10.4,12.0,69.5,63.4,15.0,48.4,37.9,71,45,79,85
74,"Devers, Rafael",646240,1216,1013,2229,46.6,0.0,53.4,-28.9,-28.9,84.4,33.3,15.6,-5.7,27.6,-1.3,2.1,-3.4,-3.9,63.8,60.1,15.6,44.5,31.0,42,17,72,22
75,"Winker, Jesse",608385,964,1263,2227,55.1,-5.8,44.9,-21.5,-27.3,85.6,46.6,14.4,-7.9,38.7,11.3,-6.0,17.3,19.8,72.4,67.1,14.4,52.6,40.7,91,83,83,99
76,"Hayes, Ke'Bryan",663647,964,1263,2227,55.8,2.9,44.2,-19.3,-16.4,76.3,37.3,23.7,-11.5,25.8,9.4,5.6,3.9,4.4,67.4,64.2,23.7,40.5,32.1,14,54,5,54
77,"Torres, Gleyber",650402,1100,1123,2223,56.5,-1.2,43.5,-24.2,-25.4,82.6,35.2,17.4,-7.8,27.4,2.0,-4.2,6.2,7.1,69.7,59.9,17.4,42.5,39.1,29,15,55,65
78,"Grisham, Trent",663757,841,1360,2201,57.4,-1.0,42.6,-20.2,-21.2,77.7,40.6,22.3,-12.1,28.5,7.3,-4.4,11.7,13.6,70.0,68.6,22.3,46.4,35.2,57,91,12,90
79,"Canha, Mark",592192,950,1267,2217,60.8,7.1,39.2,-16.6,-9.5,76.1,38.6,23.9,-10.4,28.2,18.7,10.5,8.3,9.5,69.6,62.5,23.9,38.6,36.9,8,38,4,74
80,"France, Ty",664034,1160,1051,2211,48.0,-2.5,52.0,-27.8,-30.3,87.2,33.8,12.8,-5.3,28.5,-1.8,-1.8,-0.0,-0.0,66.6,62.2,12.8,49.3,35.2,77,34,94,37
81,"Thomas, Lane",657041,973,1231,2204,54.3,-1.4,45.7,-23.7,-25.1,77.1,34.2,22.9,-10.6,23.5,-1.5,-6.7,5.2,6.0,67.0,64.3,22.9,41.3,31.4,19,56,7,62
82,"Kirk, Alejandro",672386,901,1299,2200,54.8,-8.0,45.2,-18.2,-26.2,82.2,40.5,17.8,-8.5,32.0,5.8,-7.4,13.2,15.2,71.0,68.4,17.8,50.6,37.0,82,89,51,94
83,"Brown, Seth",664913,1058,1136,2194,52.5,-2.7,47.5,-22.9,-25.6,81.7,37.1,18.3,-8.1,29.0,3.4,0.8,2.5,2.9,67.6,62.6,18.3,44.3,34.1,41,39,46,50
84,"Melendez, MJ",669004,979,1217,2196,58.9,1.0,41.1,-20.8,-19.8,79.6,42.6,20.4,-8.9,33.7,13.9,2.5,11.3,13.1,70.4,62.7,20.4,42.3,38.6,27,40,26,88
85,"Alvarez, Yordan",670541,936,1258,2194,52.9,-0.9,47.1,-26.9,-27.8,82.9,43.6,17.1,-8.3,35.3,7.4,0.6,6.8,7.9,70.1,67.8,17.1,50.7,35.8,83,86,58,68
86,"Realmuto, J.T.",592663,1075,1118,2193,51.3,6.6,48.7,-25.3,-18.7,80.1,34.6,19.9,-7.4,27.2,8.5,8.3,0.3,0.3,66.0,61.9,19.9,41.9,31.4,25,32,30,38
87,"Frazier, Adam",624428,1063,1123,2186,54.8,1.7,45.2,-21.9,-20.2,79.9,34.4,20.1,-7.8,26.6,6.4,1.9,4.5,5.2,67.7,60.6,20.1,40.5,34.7,14,19,29,58
88,"Donaldson, Josh",518626,1027,1145,2172,50.2,-4.9,49.8,-22.2,-27.1,82.6,37.3,17.4,-8.8,28.5,1.4,-3.6,5.0,5.9,67.3,64.7,17.4,47.3,32.9,66,61,55,61
89,"Springer, George",543807,1108,1067,2175,58.0,-0.3,42.0,-21.4,-21.6,86.7,39.8,13.3,-5.4,34.5,12.8,2.6,10.2,11.9,72.1,59.0,13.3,45.7,44.7,52,12,91,85
90,"Acuña Jr., Ronald",660670,1035,1127,2162,59.3,5.8,40.7,-15.2,-9.3,84.4,39.8,15.6,-6.8,33.0,23.6,13.8,9.9,11.6,72.4,60.8,15.6,45.2,43.7,47,22,72,84
91,"Marte, Ketel",606466,992,1164,2156,45.3,-5.8,54.7,-26.8,-32.6,83.8,37.2,16.2,-7.0,30.2,-2.3,-5.8,3.4,4.0,66.1,68.5,16.2,52.3,29.1,91,90,68,53
92,"Díaz, Yandy",650490,891,1266,2157,62.1,2.2,37.9,-16.3,-14.1,80.5,44.4,19.5,-8.4,36.0,21.9,7.3,14.6,17.2,72.9,64.8,19.5,45.3,42.6,48,62,33,96
93,"LeMahieu, DJ",518934,845,1302,2147,55.9,-2.5,44.1,-15.2,-17.7,73.3,40.3,26.7,-12.9,27.4,9.6,1.0,8.6,10.2,66.5,66.9,26.7,40.3,29.2,13,81,0,76
94,"Farmer, Kyle",571657,1065,1060,2125,43.5,-1.4,56.5,-26.8,-28.2,78.7,29.2,21.3,-7.6,21.7,-6.5,-0.8,-5.7,-6.8,61.0,64.3,21.3,43.0,22.2,32,56,20,11
95,"Turner, Justin",457759,1034,1110,2144,54.7,1.8,45.3,-23.7,-21.9,82.1,37.9,17.9,-6.7,31.3,9.3,3.1,6.3,7.5,68.9,61.7,17.9,43.8,36.8,38,30,51,67
96,"Gurriel, Yuli",493329,1027,1089,2116,49.3,9.1,50.7,-26.9,-17.8,75.6,31.2,24.4,-7.4,23.7,6.0,8.1,-2.1,-2.6,62.8,61.9,24.4,37.5,24.8,4,32,3,26
97,"Rodgers, Brendan",663898,1044,1068,2112,53.5,-6.3,46.5,-28.2,-34.4,85.8,34.8,14.2,-5.6,29.3,-5.2,-11.7,6.5,7.8,69.8,62.1,14.2,47.9,39.3,69,34,85,68
98,"Rizzo, Anthony",519203,969,1137,2106,39.6,-10.1,60.4,-32.1,-42.2,87.1,34.9,12.9,-6.4,28.5,-13.7,-13.7,0.0,0.0,65.2,72.1,12.9,59.1,26.7,100,99,93,37
99,"Trout, Mike",545361,914,1191,2105,53.8,-1.3,46.2,-24.8,-26.2,83.6,39.5,16.4,-7.8,31.7,5.6,-2.2,7.7,9.3,70.7,66.9,16.4,50.6,37.5,82,81,67,73
100,"Vogelbach, Daniel",596129,676,1426,2102,52.8,-5.0,47.2,-21.3,-26.3,74.6,44.3,25.4,-15.9,28.3,2.0,-4.4,6.4,7.8,67.6,74.9,25.4,49.5,27.4,79,100,1,68
101,"Báez, Javier",595879,1168,924,2092,34.1,-2.3,65.9,-38.9,-41.2,83.3,24.5,16.7,-6.8,17.7,-23.5,-2.8,-20.7,-25.2,55.8,65.9,16.7,49.3,17.4,77,72,64,1
102,"Escobar, Eduardo",500871,1095,994,2089,53.1,0.3,46.9,-23.2,-22.9,80.5,30.1,19.5,-7.1,23.1,0.1,1.2,-1.1,-1.3,66.1,57.9,19.5,38.4,33.5,7,8,33,30
103,"Vaughn, Andrew",683734,980,1105,2085,38.3,-7.4,61.7,-35.1,-42.5,84.7,28.3,15.3,-7.0,21.3,-21.2,-16.6,-4.6,-5.6,62.9,71.4,15.3,56.1,23.0,96,97,76,16
104,"Blackmon, Charlie",453568,1071,1009,2080,52.6,1.5,47.4,-22.0,-20.5,79.5,29.1,20.5,-6.8,22.3,1.8,2.8,-1.0,-1.2,65.6,58.8,20.5,38.2,32.1,6,11,25,31
105,"Rodríguez, Julio",677594,1046,1038,2084,47.6,-1.2,52.4,-16.6,-17.8,82.8,32.8,17.2,-6.8,26.0,8.3,8.4,-0.2,-0.2,65.1,63.3,17.2,46.1,30.4,55,44,56,36
106,"Hernández, Teoscar",606192,1017,1065,2082,49.7,-1.9,50.3,-25.7,-27.7,83.1,33.3,16.9,-6.8,26.5,-1.1,-1.0,-0.1,-0.1,66.8,63.7,16.9,46.8,32.8,61,48,62,36
107,"Aguilar, Jesús",542583,1028,1050,2078,41.2,-1.9,58.8,-39.7,-41.6,79.8,29.3,20.2,-6.8,22.6,-19.0,-9.5,-9.5,-11.6,60.7,66.4,20.2,46.2,21.1,56,77,28,4
108,"Santana, Carlos",467793,880,1185,2065,56.1,2.3,43.9,-22.0,-19.6,84.1,40.7,15.9,-7.2,33.5,13.9,3.1,10.8,13.2,72.2,66.9,15.9,51.0,40.3,84,81,70,89
109,"Castellanos, Nick",592206,1177,889,2066,48.8,0.2,51.2,-20.3,-20.1,82.9,27.8,17.1,-5.7,22.1,2.0,3.2,-1.2,-1.4,63.5,56.2,17.1,39.1,31.7,8,4,58,29
