,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,EXP_RV+,SWTR+,SWTR_Per650+,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
10,"Chapman, Matt",656305,700,854,1554,56.4,-2.4,43.6,-14.3,-16.7,79.7,25.8,20.3,-7.8,18.0,1.3,3.6,-2.3,-3.7,-4.5,5.8,9.5,69.2,63.3,20.3,43.0,36.2,33,57,28,61
11,"Ohtani, Shohei",660271,705,819,1524,51.2,-2.0,48.8,-15.1,-17.2,83.5,27.1,16.5,-5.6,21.5,4.3,7.7,-3.4,-5.7,6.7,-2.3,-3.9,68.6,65.5,16.5,49.0,34.7,96,77,74,46
12,"Greene, Riley",682985,648,868,1516,56.3,-2.1,43.7,-13.4,-15.5,81.1,29.5,18.9,-7.1,22.4,6.9,6.9,-0.1,-0.1,18.9,-12.0,-20.2,70.5,65.9,18.9,47.0,37.4,77,83,46,80
13,"Lindor, Francisco",596019,729,782,1511,55.4,-2.1,44.6,-15.5,-17.6,80.7,24.1,19.3,-5.1,19.0,1.4,5.7,-4.3,-7.3,-5.9,7.3,12.3,68.5,61.0,19.3,41.7,36.1,19,25,43,40
14,"De La Cruz, Elly",682829,629,877,1506,49.1,-1.7,50.9,-14.3,-16.0,79.4,27.8,20.6,-7.4,20.4,4.4,8.6,-4.1,-7.0,3.0,1.5,2.5,66.7,69.3,20.6,48.6,28.5,93,99,24,43
15,"Freeman, Freddie",518692,719,733,1452,53.5,-1.8,46.5,-14.9,-16.7,85.9,26.8,14.1,-3.8,23.0,6.4,8.2,-1.8,-3.2,-4.2,10.6,18.5,69.9,62.1,14.1,48.0,39.5,89,38,92,64
16,"Adames, Willy",642715,718,791,1509,57.0,-1.6,43.0,-13.6,-15.3,81.8,27.6,18.2,-5.7,21.9,6.6,7.1,-0.4,-0.8,-9.2,15.8,26.7,70.0,61.3,18.2,43.1,38.8,35,29,53,77
17,"Reynolds, Bryan",668804,731,776,1507,55.1,-1.7,44.9,-14.8,-16.5,85.2,24.4,14.8,-4.4,20.0,3.6,5.7,-2.2,-3.7,-1.1,4.7,7.9,70.6,62.1,14.8,47.3,40.3,81,38,88,61
18,"Torres, Gleyber",650402,704,802,1506,63.1,-2.9,36.9,-12.2,-15.1,83.3,26.6,16.7,-5.4,21.2,6.1,3.5,2.6,4.3,5.4,0.7,1.1,73.8,60.1,16.7,43.4,46.4,38,16,71,95
19,"Nimmo, Brandon",607043,643,859,1502,55.1,-1.2,44.9,-13.5,-14.7,82.1,29.3,17.9,-6.8,22.5,7.8,7.6,0.2,0.3,9.1,-1.3,-2.3,70.5,66.6,17.9,48.6,37.1,93,90,57,82
20,"Díaz, Yandy",650490,678,826,1504,57.7,-1.6,42.3,-13.8,-15.4,81.7,26.5,18.3,-5.9,20.6,5.2,6.2,-0.9,-1.5,-1.2,6.4,10.8,70.9,63.3,18.3,45.0,39.4,54,57,52,74
21,"Ozuna, Marcell",542303,723,778,1501,53.7,-1.6,46.3,-15.3,-16.9,87.7,29.3,12.3,-4.0,25.3,8.5,8.4,0.1,0.2,-0.8,9.3,15.7,71.3,63.7,12.3,51.4,41.3,100,62,99,81
22,"Rutschman, Adley",668939,678,819,1497,49.1,-2.2,50.9,-16.9,-19.1,75.9,23.6,24.1,-7.0,16.5,-2.6,5.2,-7.8,-13.2,0.3,-2.8,-4.8,63.8,65.1,24.1,41.1,25.1,15,74,2,17
23,"Schwarber, Kyle",656941,589,907,1496,57.6,-1.3,42.4,-11.8,-13.1,79.8,31.9,20.2,-7.3,24.6,11.5,8.9,2.6,4.4,11.9,-0.4,-0.8,71.1,68.1,20.2,47.9,37.4,88,96,30,96
24,"Cronenworth, Jake",630105,667,792,1459,59.8,-2.0,40.2,-11.9,-13.9,81.9,25.1,18.1,-4.7,20.4,6.4,5.9,0.5,0.8,-1.6,8.0,14.0,71.8,61.9,18.1,43.9,41.8,47,36,54,83
25,"Arozarena, Randy",668227,621,872,1493,52.8,-1.9,47.2,-14.5,-16.3,79.9,27.7,20.1,-6.9,20.7,4.4,6.2,-1.8,-3.0,4.6,-0.2,-0.4,68.7,68.0,20.1,47.9,32.7,88,96,32,65
26,"Profar, Jurickson",595777,659,796,1455,58.6,-1.8,41.4,-12.1,-13.9,82.5,27.1,17.5,-5.5,21.6,7.7,5.6,2.0,3.6,12.8,-5.1,-8.9,71.7,63.0,17.5,45.5,41.1,64,50,62,92
27,"Rodríguez, Julio",677594,810,679,1489,45.3,-2.3,54.7,-19.8,-22.1,86.3,21.6,13.7,-3.9,17.7,-4.5,6.1,-10.5,-18.0,-4.8,0.4,0.6,64.0,61.5,13.7,47.8,31.6,86,33,94,5
28,"Happ, Ian",664023,668,816,1484,56.7,-2.3,43.3,-13.5,-15.8,81.6,28.2,18.4,-6.3,21.9,6.1,6.1,0.0,0.0,-5.7,11.8,20.2,70.4,63.7,18.4,45.3,38.4,58,62,51,81
29,"Guerrero Jr., Vladimir",665489,689,787,1476,54.0,-1.8,46.0,-14.1,-15.9,81.2,26.0,18.8,-5.4,20.5,4.7,6.1,-1.5,-2.5,-1.3,5.9,10.2,68.5,63.2,18.8,44.4,35.2,50,54,48,68
30,"Alonso, Pete",624413,655,825,1480,51.9,-2.4,48.1,-14.9,-17.3,79.5,26.1,20.5,-6.5,19.6,2.3,6.7,-4.5,-7.7,-0.5,2.7,4.7,67.3,65.9,20.5,45.4,31.4,61,83,25,38
31,"Contreras, William",661388,710,765,1475,55.2,-1.6,44.8,-14.2,-15.8,85.2,26.3,14.8,-4.5,21.8,6.0,6.6,-0.6,-1.1,-0.0,6.0,10.3,70.8,62.5,14.8,47.7,40.4,85,43,88,75
32,"Kim, Ha-Seong",673490,530,898,1428,61.3,-1.9,38.7,-10.5,-12.4,77.1,26.5,22.9,-8.1,18.4,6.0,5.1,0.9,1.6,-7.9,13.9,24.8,71.2,68.0,22.9,45.1,38.4,55,96,7,86
33,"Witt Jr., Bobby",677951,736,730,1466,48.9,-1.6,51.1,-17.2,-18.8,82.2,23.7,17.8,-4.7,19.1,0.2,7.1,-6.9,-12.0,9.7,-9.5,-16.5,65.5,62.5,17.8,44.7,31.1,51,43,58,25
34,"Garcia, Maikel",672580,654,811,1465,56.3,-1.7,43.7,-12.6,-14.3,77.9,24.1,22.1,-7.1,17.0,2.7,4.1,-1.4,-2.4,-0.2,2.9,5.0,68.3,63.2,22.1,41.1,34.2,15,54,9,68
35,"Ramírez, José",608070,724,735,1459,46.8,-1.4,53.2,-18.4,-19.8,83.5,22.2,16.5,-4.0,18.2,-1.5,8.0,-9.5,-16.6,3.7,-5.3,-9.2,65.3,64.4,16.5,48.0,30.4,89,69,74,7
36,"Hernández, Teoscar",606192,745,667,1412,53.7,-2.1,46.3,-15.6,-17.6,84.3,21.3,15.7,-3.7,17.6,-0.0,3.8,-3.8,-6.9,8.6,-8.6,-15.6,68.1,58.4,15.7,42.7,37.9,31,10,81,44
37,"De La Cruz, Bryan",650559,774,674,1448,53.7,-1.7,46.3,-17.2,-18.9,84.0,20.4,16.0,-3.6,16.8,-2.1,5.1,-7.2,-12.6,1.4,-3.5,-6.1,67.8,57.6,16.0,41.6,37.7,17,7,77,21
38,"Chisholm Jr., Jazz",665862,677,747,1424,47.4,-0.9,52.6,-16.9,-17.9,82.3,23.9,17.7,-5.4,18.5,0.6,7.1,-6.4,-11.5,4.3,-3.6,-6.5,65.7,65.7,17.7,48.0,29.7,89,79,60,26
39,"Steer, Spencer",668715,644,791,1435,53.6,-1.5,46.4,-14.1,-15.6,79.4,24.5,20.6,-6.0,18.5,2.9,4.8,-1.9,-3.3,1.3,1.6,2.9,67.8,64.5,20.6,43.9,33.0,47,70,24,63
40,"Bregman, Alex",608324,626,786,1412,57.2,-2.0,42.8,-13.3,-15.3,80.2,23.9,19.8,-5.6,18.3,3.0,4.2,-1.2,-2.1,0.7,2.4,4.3,70.0,63.8,19.8,43.9,37.3,47,63,36,71
41,"Pasquantino, Vinnie",686469,628,779,1407,49.0,-1.6,51.0,-14.6,-16.2,81.0,24.8,19.0,-5.5,19.2,3.1,7.3,-4.2,-7.7,0.3,2.8,5.1,66.7,67.2,19.0,48.2,30.0,90,93,45,38
42,"Ward, Taylor",621493,593,814,1407,64.4,-1.7,35.6,-10.4,-12.0,80.3,23.7,19.7,-5.8,18.0,5.9,3.7,2.2,4.0,-3.2,9.1,16.5,73.6,63.1,19.7,43.5,44.8,40,52,38,93
43,"Bleday, JJ",668709,622,776,1398,57.6,-1.9,42.4,-11.0,-12.8,83.0,26.5,17.0,-5.7,20.8,8.0,7.0,1.0,1.8,5.2,2.8,5.1,71.7,64.3,17.0,47.3,40.5,81,68,67,87
44,"India, Jonathan",663697,516,881,1397,63.2,-1.7,36.8,-10.0,-11.7,77.5,28.2,22.5,-8.1,20.2,8.5,7.2,1.3,2.4,-6.2,14.6,26.7,72.2,67.7,22.5,45.2,40.7,57,95,8,89
45,"Tovar, Ezequiel",678662,872,514,1386,47.8,-1.6,52.2,-21.1,-22.8,85.4,15.1,14.6,-2.9,12.2,-10.6,2.2,-12.8,-23.4,0.1,-10.7,-19.6,61.8,51.3,14.6,36.7,33.2,1,1,90,1
46,"Carroll, Corbin",682998,593,793,1386,52.6,-0.9,47.4,-12.1,-13.1,79.4,26.3,20.6,-7.3,19.0,5.9,8.0,-2.0,-3.8,0.2,5.7,10.5,68.0,66.9,20.6,46.3,32.1,72,91,24,60
47,"Arraez, Luis",650333,675,709,1384,51.7,-1.9,48.3,-15.1,-17.0,76.2,18.7,23.8,-5.5,13.3,-3.7,3.4,-7.1,-13.1,1.2,-4.9,-9.1,64.2,60.7,23.8,36.9,27.9,2,22,4,18
48,"Santander, Anthony",623993,702,686,1388,46.4,-1.8,53.6,-17.6,-19.5,80.6,20.5,19.4,-5.2,15.3,-4.1,6.0,-10.2,-18.6,4.0,-8.1,-14.8,63.3,62.9,19.4,43.5,27.1,40,49,41,4
49,"Morel, Christopher",666624,627,758,1385,52.2,-1.4,47.8,-11.9,-13.4,84.2,27.1,15.8,-5.9,21.2,7.8,7.3,0.6,1.1,3.9,3.9,7.2,69.7,66.1,15.8,50.3,36.3,99,85,80,84
50,"Castro, Willi",650489,685,691,1376,48.6,-1.6,51.4,-15.3,-16.9,83.2,22.7,16.8,-5.1,17.6,0.7,5.7,-5.1,-9.4,5.9,-5.2,-9.6,66.0,63.3,16.8,46.5,31.8,74,57,69,34
51,"Raleigh, Cal",663728,697,677,1374,49.5,-2.0,50.5,-16.8,-18.8,83.2,24.2,16.8,-5.6,18.6,-0.2,6.4,-6.6,-12.3,-1.2,1.0,1.9,66.1,62.0,16.8,45.2,32.7,57,37,69,23
52,"Semien, Marcus",543760,696,675,1371,60.1,-1.7,39.9,-12.4,-14.1,87.0,23.7,13.0,-2.8,20.9,6.8,5.8,1.1,2.0,-2.2,9.0,16.8,73.3,58.4,13.0,45.4,47.0,61,10,96,88
53,"Verdugo, Alex",657077,609,760,1369,54.2,-1.8,45.8,-12.7,-14.5,78.0,22.1,22.0,-5.5,16.6,2.1,4.9,-2.8,-5.2,8.0,-5.8,-10.8,67.4,64.2,22.0,42.3,32.2,25,66,10,48
54,"Suárez, Eugenio",553993,623,747,1370,55.2,-1.8,44.8,-13.4,-15.2,81.8,24.1,18.2,-5.7,18.3,3.2,5.5,-2.3,-4.2,20.0,-16.8,-31.2,69.7,64.0,18.2,45.8,37.0,67,65,53,54
55,"Donovan, Brendan",680977,562,791,1353,56.0,-1.2,44.0,-11.1,-12.4,76.0,23.0,24.0,-7.0,16.0,3.6,5.9,-2.3,-4.3,-1.4,5.0,9.5,67.7,65.6,24.0,41.6,32.0,17,78,3,53
56,"Turang, Brice",668930,610,740,1350,61.0,-1.9,39.0,-10.9,-12.7,78.2,22.4,21.8,-6.6,15.8,3.1,4.1,-1.1,-2.1,-1.3,4.3,8.2,70.4,60.9,21.8,39.1,39.2,6,24,12,71
57,"Altuve, Jose",514888,708,650,1358,46.9,-1.4,53.1,-17.5,-18.8,80.6,20.3,19.4,-5.3,15.0,-3.9,5.6,-9.5,-17.7,8.0,-11.9,-22.2,63.0,61.2,19.4,41.8,27.5,21,28,41,6
58,"Marte, Ketel",606466,673,685,1358,53.5,-1.2,46.5,-13.1,-14.3,84.8,22.3,15.2,-3.2,19.2,4.8,6.2,-1.4,-2.7,-2.5,7.3,13.7,69.3,61.7,15.2,46.6,38.3,75,34,84,67
59,"Betts, Mookie",605141,487,822,1309,57.9,-1.3,42.1,-9.7,-11.0,80.2,27.3,19.8,-6.4,20.8,9.9,6.5,3.4,6.5,-1.3,11.2,21.7,71.9,70.0,19.8,50.2,38.1,98,100,36,97
60,"Giménez, Andrés",665926,744,597,1341,49.9,-2.0,50.1,-16.4,-18.4,81.7,17.3,18.3,-3.9,13.4,-5.0,1.9,-6.9,-13.1,-14.4,9.4,17.8,64.1,56.8,18.3,38.6,31.6,4,6,52,18
61,"Arenado, Nolan",571448,611,736,1347,49.4,-1.4,50.6,-15.5,-16.9,78.0,21.1,22.0,-6.0,15.2,-1.7,5.2,-6.9,-13.1,1.1,-2.8,-5.3,65.0,65.5,22.0,43.5,27.4,40,77,10,18
62,"Abrams, CJ",682928,723,611,1334,44.7,-1.6,55.3,-18.0,-19.6,79.9,18.2,20.1,-4.5,13.7,-5.9,4.0,-9.8,-18.7,-3.4,-2.5,-4.7,60.8,60.2,20.1,40.0,24.5,9,17,32,4
63,"Winker, Jesse",608385,555,771,1326,60.7,-1.6,39.3,-9.2,-10.8,80.2,26.3,19.8,-7.2,19.2,8.4,5.0,3.4,6.6,-4.6,13.0,24.9,72.0,64.7,19.8,44.9,40.9,53,72,36,98
64,"Gurriel Jr., Lourdes",666971,672,650,1322,49.0,-2.0,51.0,-15.8,-17.8,79.2,18.9,20.8,-4.9,14.0,-3.8,3.4,-7.2,-13.8,1.0,-4.8,-9.2,63.8,61.0,20.8,40.2,28.2,10,25,21,15
65,"García, Adolis",666969,694,625,1319,50.4,-1.5,49.6,-15.1,-16.6,86.6,20.9,13.4,-3.1,17.8,1.2,4.9,-3.7,-7.2,-0.4,1.6,3.1,67.6,60.7,13.4,47.3,37.0,81,22,96,41
66,"McCutchen, Andrew",457705,560,760,1320,63.2,-2.0,36.8,-10.2,-12.1,83.0,26.3,17.0,-5.1,21.2,9.1,4.9,4.2,8.2,-7.2,16.3,31.4,74.6,64.1,17.0,47.1,46.2,79,66,67,99
67,"Canha, Mark",592192,527,786,1313,56.9,-1.8,43.1,-10.7,-12.5,78.2,24.4,21.8,-6.1,18.3,5.8,4.3,1.5,2.9,-5.3,11.1,21.5,69.7,67.2,21.8,45.5,35.2,64,93,12,91
68,"Alvarez, Yordan",670541,622,688,1310,46.0,-1.6,54.0,-14.5,-16.1,81.4,22.7,18.6,-5.3,17.4,1.3,7.8,-6.5,-12.7,10.1,-8.8,-17.2,64.6,66.2,18.6,47.6,27.4,84,87,49,20
69,"Castellanos, Nick",592206,763,547,1310,48.4,-1.8,51.6,-16.4,-18.2,85.2,17.9,14.8,-4.3,13.7,-4.5,3.2,-7.7,-15.0,2.8,-7.3,-14.2,63.7,55.8,14.8,41.0,33.6,14,3,88,12
70,"Albies, Ozzie",645277,736,574,1310,53.1,-1.4,46.9,-15.6,-17.0,87.5,19.2,12.5,-3.0,16.2,-0.8,4.3,-5.0,-9.8,-2.1,1.4,2.6,68.2,56.2,12.5,43.7,40.6,43,4,98,32
71,"Bell, Josh",605137,662,648,1310,47.7,-1.2,52.3,-14.5,-15.7,85.3,21.7,14.7,-3.3,18.4,2.7,6.9,-4.2,-8.1,5.4,-2.7,-5.2,66.3,63.6,14.7,49.0,33.1,96,61,89,37
72,"Machado, Manny",592518,657,617,1274,50.7,-2.1,49.3,-14.4,-16.5,84.1,19.0,15.9,-4.3,14.8,-1.8,3.2,-5.0,-9.9,-6.2,4.5,8.9,66.9,60.9,15.9,45.0,34.8,54,24,78,31
73,"Devers, Rafael",646240,651,651,1302,49.3,-1.5,50.7,-14.8,-16.3,82.6,21.4,17.4,-4.1,17.3,0.9,5.9,-5.0,-9.8,-3.0,3.9,7.7,66.0,62.6,17.4,45.3,32.0,58,46,63,32
74,"Stott, Bryson",681082,548,751,1299,52.6,-1.6,47.4,-12.6,-14.2,74.3,22.5,25.7,-7.6,14.9,0.7,4.6,-3.8,-7.5,-1.3,2.0,3.9,65.1,66.0,25.7,40.3,26.9,11,84,0,40
75,"Santana, Carlos",467793,567,731,1298,54.3,-1.2,45.7,-12.3,-13.5,80.2,23.1,19.8,-5.1,18.0,4.5,6.6,-2.1,-4.2,-3.0,7.5,14.7,68.9,65.5,19.8,45.7,34.5,66,77,36,54
76,"Winn, Masyn",691026,630,653,1283,50.8,-1.8,49.2,-15.7,-17.5,81.3,18.7,18.7,-4.7,13.9,-3.6,4.3,-7.9,-15.7,2.9,-6.5,-12.9,66.3,62.4,18.7,43.7,32.1,43,42,49,10
77,"Peña, Jeremy",665161,670,610,1280,45.2,-1.4,54.8,-15.9,-17.3,83.0,18.0,17.0,-4.1,13.9,-3.4,3.4,-6.9,-13.6,-2.2,-1.2,-2.4,63.2,62.5,17.0,45.5,28.2,64,43,67,16
78,"Mountcastle, Ryan",663624,711,576,1287,50.2,-1.8,49.8,-15.7,-17.5,84.7,18.0,15.3,-3.2,14.7,-2.7,4.2,-7.0,-13.8,-2.3,-0.4,-0.7,65.7,57.8,15.3,42.5,34.9,27,8,83,15
79,"Vaughn, Andrew",683734,634,648,1282,49.8,-2.1,50.2,-15.4,-17.5,79.0,18.9,21.0,-4.9,14.0,-3.5,4.0,-7.4,-14.7,5.6,-9.1,-18.0,64.6,61.8,21.0,40.8,28.9,13,35,19,13
80,"Turner, Justin",457759,572,710,1282,52.6,-2.2,47.4,-13.7,-15.9,78.7,23.7,21.3,-5.5,18.2,2.3,5.6,-3.3,-6.5,-1.9,4.2,8.4,67.1,65.0,21.3,43.7,31.4,43,74,16,45
81,"Harper, Bryce",547180,656,624,1280,49.7,-1.3,50.3,-14.6,-15.9,86.1,23.7,13.9,-3.8,19.8,3.9,7.6,-3.6,-7.2,0.1,3.9,7.7,67.4,62.2,13.9,48.3,35.8,91,40,93,41
82,"Bohm, Alec",664761,616,659,1275,52.9,-1.1,47.1,-12.1,-13.2,82.7,20.3,17.3,-5.2,15.1,1.9,6.1,-4.2,-8.4,-4.0,6.0,11.9,68.3,62.6,17.3,45.3,35.6,58,46,65,36
83,"Cruz, Oneil",665833,588,681,1269,45.1,-1.8,54.9,-14.7,-16.4,76.7,19.4,23.3,-7.1,12.3,-4.1,4.2,-8.3,-16.6,-1.8,-2.3,-4.7,62.0,66.3,23.3,43.0,21.7,33,88,7,7
84,"Smith, Will",669257,584,639,1223,55.7,-1.4,44.3,-12.0,-13.4,80.0,20.8,20.0,-5.2,15.6,2.2,4.0,-1.8,-3.8,-0.9,3.2,6.6,68.4,61.1,20.0,41.1,35.6,15,27,33,60
85,"Schanuel, Nolan",694384,535,718,1253,52.3,-1.1,47.7,-11.2,-12.3,78.8,21.7,21.2,-6.8,14.9,2.6,4.7,-2.2,-4.4,-5.6,8.1,16.5,67.5,66.9,21.2,45.7,31.2,66,91,18,52
86,"Perez, Salvador",521692,728,520,1248,38.6,-1.6,61.4,-20.7,-22.4,85.8,17.2,14.2,-2.4,14.7,-7.7,5.2,-12.8,-26.1,3.4,-11.1,-22.6,58.3,61.3,14.2,47.1,24.4,79,29,91,1
87,"Westburg, Jordan",676059,647,598,1245,55.5,-1.8,44.5,-12.3,-14.1,83.1,18.3,16.9,-3.5,14.8,0.7,3.0,-2.3,-4.7,-1.4,2.0,4.2,68.8,58.1,16.9,41.2,38.6,16,10,68,50
88,"Rooker, Brent",667670,615,630,1245,51.2,-1.2,48.8,-14.3,-15.6,83.3,21.5,16.7,-4.6,16.9,1.4,6.1,-4.8,-9.8,0.1,1.2,2.5,67.5,62.5,16.7,45.8,34.6,67,43,71,32
89,"Tatis Jr., Fernando",665487,601,611,1212,55.6,-1.4,44.4,-11.5,-12.9,85.1,20.8,14.9,-3.7,17.2,4.3,6.1,-1.8,-3.7,1.2,3.1,6.4,70.5,60.9,14.9,46.0,40.7,70,24,87,61
90,"Varsho, Daulton",662139,559,667,1226,56.9,-1.7,43.1,-11.8,-13.5,82.6,21.5,17.4,-5.0,16.5,2.9,5.0,-2.1,-4.3,5.7,-2.7,-5.6,70.9,63.4,17.4,46.0,39.5,70,59,63,53
91,"Hoerner, Nico",663538,577,655,1232,49.6,-1.9,50.4,-13.7,-15.5,74.7,17.6,25.3,-5.5,12.1,-3.4,2.7,-6.1,-12.7,-6.9,3.5,7.2,62.9,63.1,25.3,37.8,24.2,3,52,1,20
92,"Busch, Michael",683737,554,678,1232,56.7,-1.0,43.3,-10.6,-11.5,83.3,24.1,16.7,-5.5,18.6,7.0,6.2,0.8,1.6,2.1,4.9,10.2,71.3,64.3,16.7,47.6,40.0,84,68,71,86
93,"Crawford, J.P.",641487,501,733,1234,63.3,-1.5,36.7,-9.1,-10.6,79.3,22.0,20.7,-6.5,15.4,4.8,3.0,1.8,3.7,-0.6,5.4,11.1,72.8,64.7,20.7,44.0,42.5,49,72,23,93
94,"Springer, George",543807,612,612,1224,58.3,-1.7,41.7,-10.9,-12.6,87.1,21.5,12.9,-2.5,19.0,6.4,4.4,2.0,4.2,-1.8,8.2,17.0,72.7,59.9,12.9,47.0,45.4,77,14,97,94
95,"Soler, Jorge",624585,576,638,1214,50.9,-1.7,49.1,-12.6,-14.3,78.8,20.6,21.2,-5.4,15.2,0.9,4.9,-4.0,-8.4,1.2,-0.3,-0.6,65.6,63.2,21.2,42.0,29.7,23,54,18,36
96,"Sheets, Gavin",657757,527,692,1219,47.8,-1.8,52.2,-12.9,-14.6,78.2,23.2,21.8,-5.7,17.4,2.8,6.4,-3.6,-7.6,6.0,-3.3,-6.8,65.1,68.2,21.8,46.4,26.0,73,97,12,39
97,"Garver, Mitch",641598,468,750,1218,55.8,-2.0,44.2,-10.2,-12.2,78.5,23.8,21.5,-5.9,17.9,5.7,4.0,1.7,3.5,-8.9,14.5,30.3,69.8,69.3,21.5,47.8,34.3,86,99,14,92
98,"Doyle, Brenton",686668,610,600,1210,54.1,-1.4,45.9,-11.6,-13.0,84.7,20.0,15.3,-3.6,16.4,3.3,4.2,-0.8,-1.7,-9.1,12.4,26.1,69.3,60.6,15.3,45.3,38.8,58,20,83,74
99,"Gorman, Nolan",669357,600,610,1210,51.5,-1.2,48.5,-13.3,-14.5,82.0,19.7,18.0,-4.9,14.8,0.3,4.7,-4.4,-9.2,-0.4,0.7,1.4,66.9,61.8,18.0,43.8,33.5,45,35,56,34
100,"Swanson, Dansby",621020,585,623,1208,58.3,-1.2,41.7,-10.8,-12.0,84.1,20.1,15.9,-3.8,16.3,4.3,3.6,0.7,1.5,-6.9,11.2,23.5,71.6,60.6,15.9,44.7,42.4,51,20,78,85
101,"Schneider, Davis",676914,504,692,1196,58.9,-1.3,41.1,-10.4,-11.7,81.4,22.6,18.6,-5.3,17.4,5.7,4.4,1.2,2.6,-5.6,11.3,24.0,71.9,65.5,18.6,46.8,40.3,75,77,49,90
102,"Arcia, Orlando",606115,603,603,1206,53.7,-2.0,46.3,-12.4,-14.4,82.3,17.3,17.7,-3.9,13.5,-0.9,3.8,-4.7,-10.0,-0.2,-0.7,-1.6,68.0,60.5,17.7,42.7,36.0,31,19,60,30
103,"France, Ty",664034,571,635,1206,55.9,-1.6,44.1,-11.3,-12.8,83.5,21.1,16.5,-4.5,16.7,3.8,4.1,-0.3,-0.6,-10.9,14.8,31.1,70.4,62.4,16.5,45.9,39.3,68,42,74,77
104,"Vierling, Matt",663837,524,671,1195,58.6,-1.7,41.4,-9.5,-11.2,78.7,18.1,21.3,-5.9,12.2,0.9,2.8,-1.9,-4.0,-0.7,1.6,3.4,69.9,63.2,21.3,41.9,37.3,22,54,16,58
105,"Naylor, Josh",647304,628,570,1198,47.6,-1.3,52.4,-14.0,-15.3,86.3,20.6,13.7,-3.1,17.4,2.2,6.2,-4.1,-8.6,6.8,-4.6,-9.8,66.0,62.2,13.7,48.5,33.9,92,40,94,35
106,"Merrill, Jackson",701538,637,522,1159,49.9,-1.6,50.1,-14.8,-16.3,81.8,15.4,18.2,-3.5,11.8,-4.5,2.4,-6.9,-15.2,-2.9,-1.6,-3.6,64.3,57.3,18.2,39.1,31.7,6,7,53,11
107,"Smith, Josh",669701,549,635,1184,56.6,-1.3,43.4,-11.0,-12.2,78.0,18.9,22.0,-5.7,13.1,0.9,2.8,-1.9,-4.0,-6.1,7.0,15.0,68.1,61.4,22.0,39.4,34.6,7,31,10,58
