,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,EXP_RV+,SWTR+,SWTR_Per650+,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
0,"Soto, Juan",665742,596,1047,1643,64.9,-2.1,35.1,-10.0,-12.1,82.3,40.0,17.7,-6.8,33.1,21.0,10.8,10.2,15.7,2.1,18.9,29.3,76.0,69.0,17.7,51.3,47.3,99,98,60,100
1,"Volpe, Anthony",683011,772,831,1603,52.3,-2.0,47.7,-17.5,-19.5,79.7,24.9,20.3,-6.5,18.5,-1.0,5.4,-6.4,-10.2,-6.9,5.9,9.3,66.5,62.1,20.3,41.8,32.0,21,38,28,29
2,"Duran, Jarren",680776,740,858,1598,55.1,-2.3,44.9,-14.9,-17.2,79.8,25.7,20.2,-5.6,20.1,2.9,5.8,-2.9,-4.5,-3.7,6.6,10.5,68.4,62.7,20.2,42.5,35.0,27,47,30,51
3,"Walker, Christian",572233,768,818,1586,56.0,-2.6,44.0,-15.9,-18.5,84.4,28.6,15.6,-4.2,24.4,5.9,7.1,-1.2,-1.9,-1.1,7.0,11.2,70.6,61.6,15.6,46.0,40.3,70,34,82,73
4,"Judge, Aaron",592450,681,898,1579,57.4,-1.7,42.6,-13.1,-14.7,82.1,33.0,17.9,-7.5,25.5,10.8,9.0,1.8,2.9,5.6,5.2,8.3,71.4,65.3,17.9,47.4,39.5,82,75,57,91
5,"Olson, Matt",621566,786,791,1577,51.1,-2.8,48.9,-18.2,-20.9,86.0,26.5,14.0,-5.0,21.5,0.5,6.6,-6.1,-9.8,10.1,-9.5,-15.3,68.6,62.8,14.0,48.8,37.1,95,49,92,32
6,"McMahon, Ryan",641857,744,826,1570,59.4,-2.6,40.6,-14.6,-17.2,82.0,25.8,18.0,-6.3,19.4,2.3,4.8,-2.6,-4.1,-4.8,7.0,11.4,71.3,60.5,18.0,42.5,41.4,27,19,56,56
7,"Goldschmidt, Paul",502671,728,840,1568,51.8,-2.2,48.2,-16.6,-18.8,79.2,25.2,20.8,-7.3,17.8,-1.0,4.0,-5.0,-8.1,-3.4,2.5,4.0,66.5,63.8,20.8,43.0,31.0,33,63,21,37
8,"Paredes, Isaac",670623,700,870,1570,51.6,-2.7,48.4,-16.9,-19.6,79.7,27.8,20.3,-6.5,21.3,1.7,4.6,-2.9,-4.6,11.7,-10.0,-16.3,67.1,65.7,20.3,45.4,31.2,61,79,28,51
9,"Henderson, Gunnar",683002,679,882,1561,56.8,-1.3,43.2,-12.4,-13.7,80.6,29.9,19.4,-7.6,22.4,8.6,8.9,-0.3,-0.5,7.8,0.9,1.4,70.3,64.8,19.4,45.4,37.5,61,73,41,78
