"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
482,605141,"Betts, Mookie",482,100,0.347,0.265,0.359,0.612,0.463,0.425,0.326,34,98,92.3,22,2197,89.1,89.32,25,170,312,0.20000000000000284,6.45,110,153,122,147,304,322,298,"-17.6","17.6"
477,572233,"Walker, Christian",477,100,0.258,0.151,0.323,0.409,0.362,0.359,0.244,24,93,89.7,13.9,2242,88.8,89.27,53,215,261,0.5,6.53,110,151,124,147,304,328,298,"-4.5","4.5"
466,545361,"Trout, Mike",466,100,0.237,0.344,0.213,0.581,0.387,0.401,0.269,22,93,88.3,26.7,2318,89.8,89.95,43,205,261,0.10000000000000853,6.5,105,150,121,143,306,327,298,"-1.6","1.6"
466,650490,"Díaz, Yandy",466,100,0.225,0.069,0.259,0.294,0.258,0.267,0.236,23,102,90.1,3.8,2246,90.1,90.12,28,216,250,0,6.41,109,151,123,149,309,329,292,"1.2","-1.2"
461,592450,"Judge, Aaron",461,100,0.18,0.169,0.232,0.348,0.302,0.333,0.214,16,89,93.5,19.6,2329,88.4,88.54,61,189,272,0.09999999999999432,6.51,104,152,123,146,302,327,294,"0.9","-0.9"
458,665742,"Soto, Juan",458,100,0.319,0.22,0.338,0.538,0.427,0.433,0.304,29,91,94.5,10.7,2270,88.8,88.91,35,168,290,0.10000000000000853,6.46,115,147,124,151,292,322,300,"-13.3","13.3"
458,660271,"Ohtani, Shohei",458,100,0.364,0.313,0.4,0.677,0.471,0.5,0.373,36,99,95.1,14,2158,88.9,89.33,50,217,241,0.3999999999999915,6.48,115,146,126,152,302,325,307,"-8.2","8.2"
457,668804,"Reynolds, Bryan",457,100,0.261,0.12,0.31,0.38,0.347,0.375,0.265,24,92,86.2,8.9,2133,89.1,89.29,64,194,263,0.20000000000000284,6.46,111,148,118,149,296,319,295,"-4.1","4.1"
455,518692,"Freeman, Freddie",455,100,0.297,0.11,0.366,0.407,0.369,0.379,0.281,27,91,88.9,14.3,2208,88.5,88.48,46,223,232,0,6.37,119,145,124,150,295,319,303,"-5.3","5.3"
448,673490,"Kim, Ha-Seong",448,100,0.228,0.174,0.243,0.402,0.319,0.32,0.253,21,92,85.2,17.2,2180,89.4,89.69,22,157,291,0.29999999999999716,6.55,109,151,115,146,299,319,289,"-0.4","0.4"
448,641857,"McMahon, Ryan",448,100,0.311,0.122,0.426,0.433,0.365,0.324,0.245,28,90,93.8,6.8,2210,89.6,90.05,67,211,237,0.4000000000000057,6.44,114,146,116,151,291,327,301,"-5.9","5.9"
448,607043,"Nimmo, Brandon",448,100,0.195,0.134,0.237,0.329,0.326,0.408,0.287,16,82,92.4,15.6,2245,89.5,88.98,40,176,272,-0.5,6.59,119,146,113,151,287,320,303,"-6.3","6.3"
445,650402,"Torres, Gleyber",445,100,0.186,0.023,0.262,0.209,0.244,0.275,0.191,16,86,88.1,18.7,2295,87.8,87.88,60,199,246,0.10000000000000853,6.47,109,152,120,146,299,317,284,"7.1","-7.1"
443,682985,"Greene, Riley",443,100,0.247,0.259,0.294,0.506,0.399,0.401,0.242,20,81,90.8,8.8,2212,88.5,87.47,51,175,268,-1,6.49,117,147,122,152,293,326,298,"-8.4","8.4"
439,621566,"Olson, Matt",439,100,0.212,0.212,0.263,0.424,0.327,0.358,0.244,18,85,94.4,15.3,2244,89.5,89.79,54,199,240,0.29999999999999716,6.54,118,146,126,151,300,325,301,"1.3","-1.3"
438,677951,"Witt Jr., Bobby",438,100,0.316,0.265,0.375,0.582,0.409,0.44,0.32,31,98,95.2,13.4,2306,89.2,89.75,62,224,214,0.5,6.61,112,151,120,147,310,327,299,"-4.5","4.5"
437,680776,"Duran, Jarren",437,100,0.27,0.12,0.342,0.39,0.327,0.341,0.29,27,100,89.7,6.6,2206,88.5,88.67,51,218,219,0.20000000000000284,6.41,117,146,107,151,285,320,306,"-1.4","1.4"
437,593428,"Bogaerts, Xander",437,100,0.2,0.08,0.222,0.28,0.26,0.334,0.282,20,100,85.3,14.1,2173,89.1,89.25,24,176,261,0.20000000000000284,6.49,111,151,122,147,301,321,290,"0.7","-0.7"
436,665489,"Guerrero Jr., Vladimir",436,100,0.217,0.13,0.25,0.348,0.315,0.376,0.275,20,92,92.1,8.1,2242,89.7,89.66,52,200,236,0,6.4,107,151,123,147,303,329,293,"3.1","-3.1"
434,514888,"Altuve, Jose",434,100,0.357,0.235,0.395,0.592,0.444,0.364,0.288,35,98,88.4,18.2,2241,88.5,88.73,31,198,236,0.20000000000000284,6.58,110,152,112,147,291,326,291,"-3.5","3.5"
432,668227,"Arozarena, Randy",432,100,0.154,0.077,0.194,0.231,0.212,0.289,0.221,14,91,90.8,12,2264,89.3,89.27,61,184,248,0,6.4,109,151,121,147,305,329,292,"9.2","-9.2"
431,683011,"Volpe, Anthony",431,100,0.287,0.115,0.354,0.402,0.349,0.315,0.257,25,87,87.8,6.4,2304,88.3,88.34,31,184,247,0,6.45,106,151,112,146,296,317,283,"-2.9","2.9"
430,593871,"Polanco, Jorge",430,100,0.169,0.117,0.222,0.286,0.29,0.309,0.189,13,77,87.2,16.5,2173,88,88.29,51,176,254,0.29999999999999716,6.44,113,147,115,150,295,322,291,"-0.8","0.8"
430,630105,"Cronenworth, Jake",430,100,0.264,0.165,0.292,0.429,0.349,0.41,0.326,24,91,90.9,12.7,2175,90.3,90.46,29,192,238,0.20000000000000284,6.5,117,146,114,151,282,318,305,"-4.1","4.1"
428,553993,"Suárez, Eugenio",428,100,0.244,0.122,0.323,0.367,0.31,0.313,0.257,22,90,88.4,17.7,2269,88.6,89.06,51,179,249,0.5,6.54,108,152,124,147,303,327,298,"-4.3","4.3"
427,656941,"Schwarber, Kyle",427,100,0.2,0.2,0.235,0.4,0.321,0.354,0.229,18,90,93.4,17.1,2224,88.7,88.92,65,181,246,0.20000000000000284,6.46,120,146,123,151,295,325,299,"2.5","-2.5"
423,666134,"Jones, Nolan",423,100,0.148,0.102,0.235,0.25,0.211,0.221,0.163,13,88,88.8,9.6,2265,89.1,89.61,47,167,256,0.5,6.46,116,146,113,151,294,328,303,"5.2","-5.2"
423,664023,"Happ, Ian",423,100,0.244,0.128,0.316,0.372,0.335,0.315,0.222,19,78,91.7,14,2205,89.4,89.48,43,190,233,0.09999999999999432,6.42,119,148,120,151,295,322,301,"-4.9","4.9"
422,670623,"Paredes, Isaac",422,100,0.274,0.238,0.288,0.512,0.38,0.304,0.225,23,84,87.4,23.8,2256,88.7,88.59,42,204,218,-0.10000000000000853,6.37,109,152,122,146,299,329,295,"-4","4"
420,607208,"Turner, Trea",420,100,0.327,0.143,0.4,0.469,0.376,0.337,0.273,32,98,90.7,11.1,2290,88.6,88.91,46,210,210,0.30000000000001137,6.51,106,151,116,146,301,321,290,"-6.6","6.6"
420,680977,"Donovan, Brendan",420,100,0.205,0.136,0.225,0.341,0.301,0.34,0.251,18,88,89.2,15.5,2227,88.7,89.02,21,152,268,0.29999999999999716,6.59,119,147,106,150,290,318,300,"1.2","-1.2"
419,650333,"Arraez, Luis",419,100,0.284,0.069,0.319,0.353,0.316,0.318,0.287,29,102,85,10.4,2225,89,88.49,22,204,215,-0.5,6.36,119,148,105,151,282,315,299,"0.1","-0.1"
418,666971,"Gurriel Jr., Lourdes",418,100,0.3,0.2,0.321,0.5,0.376,0.359,0.294,30,100,89.4,16.6,2252,89,89.35,39,203,215,0.4000000000000057,6.5,108,150,123,147,306,327,297,"-6.4","6.4"
418,571970,"Muncy, Max",418,100,0.225,0.212,0.304,0.438,0.334,0.315,0.212,18,80,88.3,30,2257,88.3,88.41,60,173,245,0.10000000000000853,6.38,116,144,121,151,297,322,300,"2.9","-2.9"
415,502671,"Goldschmidt, Paul",415,100,0.186,0.07,0.259,0.256,0.253,0.288,0.221,16,86,87.3,15.1,2268,89.2,89.57,55,184,231,0.3999999999999915,6.55,106,149,122,145,305,323,295,"5.1","-5.1"
415,660670,"Acuña Jr., Ronald",415,100,0.291,0.093,0.387,0.384,0.365,0.356,0.277,25,86,89.9,7.3,2266,89.9,89.88,61,202,213,0,6.58,109,152,121,147,304,325,294,"-6.3","6.3"
414,595777,"Profar, Jurickson",414,100,0.275,0.15,0.333,0.425,0.365,0.336,0.257,22,80,89.7,12.9,2178,89,89.26,39,185,229,0.29999999999999716,6.5,115,148,114,151,292,319,296,"-6.5","6.5"
412,665487,"Tatis Jr., Fernando",412,100,0.27,0.22,0.276,0.49,0.373,0.412,0.313,27,100,91.1,10.3,2160,89.2,89.38,47,206,206,0.20000000000000284,6.51,110,151,122,147,303,325,296,"-6.1","6.1"
409,650559,"De La Cruz, Bryan",409,100,0.262,0.184,0.324,0.447,0.317,0.337,0.271,27,103,87.4,14,2278,88.4,88.38,81,226,183,0,6.37,109,151,121,147,303,322,293,"-2.5","2.5"
409,694671,"Langford, Wyatt",409,100,0.235,0.047,0.308,0.282,0.272,0.282,0.22,20,85,86.7,16,2253,88.8,88.98,34,167,242,0.20000000000000284,6.51,106,151,120,145,304,325,293,"4.4","-4.4"
409,665862,"Chisholm Jr., Jazz",409,100,0.247,0.124,0.333,0.371,0.315,0.314,0.23,22,89,88.4,11.4,2255,89.1,89.16,43,174,235,0.10000000000000853,6.44,114,147,110,152,294,321,301,"-0.1","0.1"
408,606466,"Marte, Ketel",408,100,0.324,0.225,0.333,0.549,0.392,0.393,0.318,33,102,93.3,6.3,2179,89.2,89.32,45,218,190,0.09999999999999432,6.47,114,149,113,149,299,327,301,"-9.1","9.1"
407,672580,"Garcia, Maikel",407,100,0.194,0.183,0.2,0.376,0.273,0.344,0.269,18,93,91.3,8.7,2323,89.5,90.06,33,178,229,0.5999999999999943,6.63,110,151,114,148,309,323,295,"2","-2"
406,606192,"Hernández, Teoscar",406,100,0.258,0.204,0.365,0.462,0.355,0.288,0.207,24,93,90.9,7.1,2231,88.6,88.9,65,200,206,0.30000000000001137,6.5,108,151,121,147,303,321,298,"-1.8","1.8"
405,665833,"Cruz, Oneil",405,100,0.239,0.12,0.358,0.359,0.285,0.275,0.231,22,92,91.6,6.5,2176,88.8,88.72,55,182,223,-0.09999999999999432,6.49,120,147,122,151,294,322,302,"8.2","-8.2"
405,668939,"Rutschman, Adley",405,100,0.323,0.097,0.364,0.419,0.352,0.385,0.33,30,93,90.6,20.1,2183,88.9,88.89,35,195,210,0,6.5,112,147,125,149,300,324,299,"-3.9","3.9"
405,682998,"Carroll, Corbin",405,100,0.215,0.054,0.247,0.269,0.283,0.314,0.237,20,93,83.6,7.6,2196,89.7,90.03,31,180,225,0.29999999999999716,6.47,115,145,108,151,299,328,305,"0","0"
405,679529,"Torkelson, Spencer",405,100,0.231,0.088,0.292,0.319,0.289,0.265,0.203,21,91,87.3,21.3,2246,88.8,87.98,48,184,221,-0.7999999999999972,6.57,107,151,120,146,298,326,292,"1.2","-1.2"
403,683002,"Henderson, Gunnar",403,100,0.287,0.309,0.317,0.596,0.401,0.401,0.303,27,94,96.3,12.9,2195,89.1,89.27,48,192,211,0.20000000000000284,6.44,119,146,124,152,297,326,303,"-3.5","3.5"
403,656305,"Chapman, Matt",403,100,0.227,0.196,0.257,0.423,0.306,0.33,0.263,22,97,92.6,17.5,2276,89.3,89.41,45,200,203,0.10000000000000853,6.47,107,152,122,147,303,323,297,"0.5","-0.5"
403,663656,"Tucker, Kyle",403,100,0.286,0.242,0.309,0.527,0.405,0.45,0.344,26,91,91.7,21.3,2260,89.2,89.3,34,177,226,0.09999999999999432,6.47,117,145,126,151,291,329,300,"-10.3","10.3"
402,668715,"Steer, Spencer",402,100,0.277,0.205,0.317,0.482,0.387,0.394,0.291,23,83,90.1,13.1,2186,89.9,90.11,35,171,231,0.19999999999998863,6.48,105,150,119,146,297,323,289,"-8.5","8.5"
401,641487,"Crawford, J.P.",401,100,0.198,0.105,0.227,0.302,0.278,0.303,0.229,17,86,85.7,5.4,2196,89.1,89.47,25,163,238,0.4000000000000057,6.44,117,147,109,151,291,320,295,"0.8","-0.8"
400,657041,"Thomas, Lane",400,100,0.184,0.069,0.212,0.253,0.234,0.28,0.228,16,87,88.2,21,2208,88.9,89.38,31,170,230,0.5,6.57,106,150,121,146,298,314,288,"5.3","-5.3"
399,624413,"Alonso, Pete",399,100,0.264,0.264,0.262,0.527,0.379,0.328,0.246,24,91,88.1,17.8,2269,89.7,89.86,37,181,218,0.20000000000000284,6.61,107,151,122,146,302,322,290,"-3.7","3.7"
398,624585,"Soler, Jorge",398,100,0.239,0.182,0.283,0.42,0.337,0.313,0.212,21,88,88.7,20.5,2243,88.7,88.9,58,190,208,0.20000000000000284,6.5,105,151,123,145,303,324,301,"2.8","-2.8"
398,605137,"Bell, Josh",398,100,0.187,0.132,0.203,0.319,0.281,0.289,0.204,17,91,90.1,11.7,2170,88.8,88.83,50,187,211,0,6.41,111,148,123,149,299,322,296,"1.7","-1.7"
395,663697,"India, Jonathan",395,100,0.174,0.058,0.226,0.232,0.274,0.359,0.274,12,69,86.1,7.2,2214,89.9,90.23,17,127,268,0.29999999999999716,6.56,108,151,119,147,296,321,289,"-2.3","2.3"
393,542303,"Ozuna, Marcell",393,100,0.326,0.349,0.311,0.674,0.463,0.502,0.374,28,86,92,12.9,2287,88.8,89.08,55,186,207,0.29999999999999716,6.54,109,151,122,147,303,324,295,"-15.3","15.3"
391,657077,"Verdugo, Alex",391,100,0.247,0.148,0.254,0.395,0.335,0.326,0.259,20,81,85.1,7.9,2264,88.4,88.51,20,151,240,0.09999999999999432,6.46,113,146,117,150,283,316,297,"-0.5","0.5"
390,592192,"Canha, Mark",390,100,0.26,0.273,0.273,0.532,0.409,0.355,0.245,20,77,89.6,11.7,2296,88.7,87.29,24,144,246,-1.4000000000000057,6.52,107,151,120,146,298,324,288,"-5.2","5.2"
390,608385,"Winker, Jesse",390,100,0.31,0.169,0.377,0.479,0.404,0.372,0.279,22,71,87.7,12.8,2203,88.9,89.28,38,160,230,0.3999999999999915,6.48,119,147,123,151,288,314,298,"-3.3","3.3"
388,686469,"Pasquantino, Vinnie",388,100,0.253,0.215,0.242,0.468,0.364,0.357,0.264,20,79,90.9,9.2,2209,89.2,89.63,20,160,228,0.3999999999999915,6.52,118,145,125,150,300,327,308,"-1.3","1.3"
388,656555,"Hoskins, Rhys",388,100,0.213,0.24,0.208,0.453,0.337,0.389,0.26,16,75,88,19,2346,90.3,90.65,37,149,239,0.4000000000000057,6.55,107,151,122,146,305,325,293,"2.5","-2.5"
386,596019,"Lindor, Francisco",386,100,0.174,0.098,0.187,0.272,0.252,0.32,0.254,16,92,88.6,16.5,2234,88.9,87.82,42,182,204,-1.1000000000000085,6.57,114,146,118,150,290,322,301,"6.5","-6.5"
