XLOC,ZLOC,RV_00,RV_10,RV_20,RV_30,RV_01,RV_11,RV_21,RV_31,RV_02,RV_12,RV_22,RV_32,CS,CONTACT,xWOBACON,CRV,FOUL,SWING_00,TAKE_00,DELTA_00,SWING_01,TAKE_01,DELTA_01,SWING_02,TAKE_02,DELTA_02,SWING_10,TAKE_10,DELTA_10,SWING_11,TAKE_11,DELTA_11,SWING_12,TAKE_12,DELTA_12,SWING_20,TAKE_20,DELTA_20,SWING_21,TAKE_21,DELTA_21,SWING_22,TAKE_22,DELTA_22,SWING_30,TAKE_30,DELTA_30,SWING_31,TAKE_31,DELTA_31,SWING_32,TAKE_32,DELTA_32
-1.45,0.55,0.031,0.048,0,0,0.032,0.031,0,0.149,0.007,0.041,0.011,0.26,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.65,0.034,0.078,0.272,0,0.022,0.037,0.038,0,0.02,0.048,0.012,0.348,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.75,0.028,0.061,0.095,0,0.009,0.004,0.119,0,-0.019,-0.004,-0.045,0.058,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.85,0.037,0.056,0,0.152,0.03,0.032,0.093,0.138,-0.008,-0.04,0.042,0,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.95,0.025,0.055,0,0,0.023,0.009,0.07,0.149,-0.058,-0.031,-0.05,0.245,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,1.05,0.031,0.05,0.114,0.144,0.016,0.028,0.05,0.149,-0.034,0.041,-0.015,0.207,0.0,0,0,0,0.0156,-0.0375772,0.032,-0.0695772,-0.0517956,0.024,-0.07579559999999999,-0.15,0.021,-0.17099999999999999,-0.03554600000000001,0.088,-0.123546,-0.0548424,0.048,-0.1028424,-0.171,0.038,-0.20900000000000002,-0.0629672,0.143,-0.2059672,-0.07007640000000001,0.064,-0.1340764,-0.209,0.085,-0.294,-0.11882520000000002,0.051,-0.1698252,-0.06702960000000001,0.168,-0.2350296,-0.294,0.234,-0.528
-1.45,1.15,0.034,0.098,0.106,0,0.017,0.017,0.125,0.066,0.027,0.02,-0.104,0.113,0.0,0.056,0.919,0.347,0.0227,-0.0163359,0.032,-0.0483359,-0.0298697,0.024,-0.0538697,-0.12216799999999997,0.021,-0.14316799999999996,-0.014402500000000006,0.088,-0.10240250000000001,-0.0327698,0.048,-0.0807698,-0.141992,0.038,-0.179992,-0.0405034,0.143,-0.18350339999999998,-0.04727030000000001,0.064,-0.11127030000000002,-0.17786399999999997,0.085,-0.262864,-0.0936719,0.051,-0.1446719,-0.044370200000000005,0.168,-0.2123702,-0.25810399999999994,0.234,-0.492104
-1.45,1.25,0.021,0.045,0.308,0.046,0.016,0.022,0.083,0.158,-0.016,0.045,0.036,0.272,0.0,0.048,0.871,0.472,0.0382,-0.013981399999999995,0.032,-0.04598139999999999,-0.027844199999999996,0.024,-0.05184419999999999,-0.12014399999999999,0.021,-0.141144,-0.012001000000000001,0.088,-0.10000099999999999,-0.0308148,0.048,-0.0788148,-0.14013599999999998,0.038,-0.178136,-0.038736400000000004,0.143,-0.1817364,-0.04566780000000001,0.064,-0.10966780000000001,-0.17631199999999997,0.085,-0.261312,-0.09319740000000001,0.051,-0.1441974,-0.042697200000000005,0.168,-0.21069720000000003,-0.25723199999999996,0.234,-0.491232
-1.45,1.35,0.033,0.071,0.123,0.171,0.025,0.036,0.04,-0.032,-0.06,-0.021,0.117,0.287,0.0,0.08,0.093,-0.233,0.0118,-0.0531166,0.032,-0.0851166,-0.0661618,0.024,-0.09016180000000001,-0.15664,0.021,-0.17764,-0.05125300000000001,0.088,-0.13925300000000002,-0.06895720000000001,0.048,-0.11695720000000001,-0.17596,0.038,-0.21396,-0.07641160000000001,0.143,-0.21941159999999998,-0.08293420000000001,0.064,-0.14693420000000001,-0.21092,0.085,-0.29592,-0.1276606,0.051,-0.1786606,-0.08013880000000001,0.168,-0.24813880000000002,-0.28912,0.234,-0.52312
-1.45,1.45,0.036,0.039,0.141,0.121,0.021,0.043,0.093,0.108,-0.001,-0.049,-0.004,0.195,0.0,0.083,0.289,-0.036,0.0172,-0.037553399999999994,0.032,-0.06955339999999999,-0.050632199999999995,0.024,-0.0746322,-0.140538,0.021,-0.161538,-0.035685,0.088,-0.12368499999999999,-0.0534348,0.048,-0.10143479999999999,-0.15979500000000002,0.038,-0.19779500000000003,-0.0609084,0.143,-0.2039084,-0.06744780000000002,0.064,-0.1314478,-0.19464099999999998,0.085,-0.279641,-0.11228940000000001,0.051,-0.1632894,-0.0646452,0.168,-0.2326452,-0.272586,0.234,-0.506586
