XLOC,ZLOC,RV_00,RV_10,RV_20,RV_30,RV_01,RV_11,RV_21,RV_31,RV_02,RV_12,RV_22,RV_32,CS,CONTACT,xWOBACON,CRV,FOUL,SWING_00,TAKE_00,DELTA_00,SWING_01,TAKE_01,DELTA_01,SWING_02,TAKE_02,DELTA_02,SWING_10,TAKE_10,DELTA_10,SWING_11,TAKE_11,DELTA_11,SWING_12,TAKE_12,DELTA_12,SWING_20,TAKE_20,DELTA_20,SWING_21,TAKE_21,DELTA_21,SWING_22,TAKE_22,DELTA_22,SWING_30,TAKE_30,DELTA_30,SWING_31,TAKE_31,DELTA_31,SWING_32,TAKE_32,DELTA_32
-1.45,0.55,0.046,0.001,0.115,0,0.034,0.041,0,0.189,0.003,0.025,0.033,0.224,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.65,0.096,0.053,0.042,0,0.018,0.011,0.102,0.221,0.035,-0.007,0.089,0.194,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.75,0.033,-0.013,0.124,0.335,0.016,0.021,0.082,0.163,-0.01,-0.028,0.257,0,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,0.85,0.03,0.058,0.084,0,0.012,0.035,0.023,0.24,0.063,0.001,0.011,0.211,0.0,0,0,0,0.0099,-0.0373663,0.032,-0.06936629999999999,-0.0515049,0.024,-0.0755049,-0.15,0.021,-0.17099999999999999,-0.0353465,0.088,-0.1233465,-0.0545346,0.048,-0.1025346,-0.171,0.038,-0.20900000000000002,-0.0626138,0.143,-0.20561379999999999,-0.06968310000000001,0.064,-0.1336831,-0.209,0.085,-0.294,-0.11815830000000001,0.051,-0.1691583,-0.0666534,0.168,-0.2346534,-0.294,0.234,-0.528
-1.45,0.95,0.012,0.045,0.086,0,0.013,0.049,0.058,0.142,-0.007,-0.016,0.047,0.133,0.0,0,0,0,0,-0.037,0.032,-0.069,-0.051,0.024,-0.075,-0.15,0.021,-0.17099999999999999,-0.035,0.088,-0.123,-0.054,0.048,-0.10200000000000001,-0.171,0.038,-0.20900000000000002,-0.062,0.143,-0.205,-0.069,0.064,-0.133,-0.209,0.085,-0.294,-0.117,0.051,-0.168,-0.066,0.168,-0.234,-0.294,0.234,-0.528
-1.45,1.05,0.034,0.039,0.132,0,0.021,0.041,0.084,0,-0.013,-0.031,0.103,0.284,0.0,0,0,0,0.0213,-0.037788100000000005,0.032,-0.0697881,-0.0520863,0.024,-0.0760863,-0.15,0.021,-0.17099999999999999,-0.035745500000000006,0.088,-0.12374550000000001,-0.0551502,0.048,-0.1031502,-0.171,0.038,-0.20900000000000002,-0.0633206,0.143,-0.2063206,-0.07046970000000001,0.064,-0.13446970000000003,-0.209,0.085,-0.294,-0.11949210000000002,0.051,-0.1704921,-0.06740580000000002,0.168,-0.23540580000000003,-0.294,0.234,-0.528
-1.45,1.15,0.032,0.032,0.178,0.094,0.014,0.055,0.14,0,-0.091,-0.035,0.069,0.011,0.0,0,0,0,0.0194,-0.0377178,0.032,-0.0697178,-0.0519894,0.024,-0.0759894,-0.15,0.021,-0.17099999999999999,-0.03567900000000001,0.088,-0.12367900000000001,-0.0550476,0.048,-0.1030476,-0.171,0.038,-0.20900000000000002,-0.0632028,0.143,-0.2062028,-0.07033860000000002,0.064,-0.13433860000000003,-0.209,0.085,-0.294,-0.11926980000000002,0.051,-0.17026980000000003,-0.0672804,0.168,-0.2352804,-0.294,0.234,-0.528
-1.45,1.25,0.016,0.025,0.073,0,0.017,0.036,0.081,0.205,-0.041,-0.015,0.044,-0.015,0.0,0.086,0.31,0.009,0.0132,-0.033532400000000004,0.032,-0.0655324,-0.046513200000000005,0.024,-0.0705132,-0.136326,0.021,-0.157326,-0.031678000000000005,0.088,-0.119678,-0.04929480000000001,0.048,-0.09729480000000001,-0.15552000000000002,0.038,-0.19352000000000003,-0.0567124,0.143,-0.19971239999999998,-0.0632028,0.064,-0.1272028,-0.190252,0.085,-0.275252,-0.10770840000000001,0.051,-0.1587084,-0.06042120000000001,0.168,-0.22842120000000002,-0.267942,0.234,-0.501942
-1.45,1.35,0.035,0.023,0.178,0,0.023,0.028,0.066,0.272,-0.032,-0.011,0.062,0.212,0.0,0.091,0.117,-0.121,0.0274,-0.0456578,0.032,-0.0776578,-0.0587674,0.024,-0.08276739999999999,-0.147361,0.021,-0.16836099999999998,-0.043785000000000004,0.088,-0.13178499999999999,-0.0615766,0.048,-0.1095766,-0.16645000000000001,0.038,-0.20445000000000002,-0.0690678,0.143,-0.21206779999999997,-0.07562260000000001,0.064,-0.1396226,-0.200992,0.085,-0.285992,-0.1205698,0.051,-0.1715698,-0.0728134,0.168,-0.2408134,-0.278257,0.234,-0.512257
-1.45,1.45,0.036,0.029,0.064,0.111,0.012,0.031,0.103,0.198,-0.009,-0.011,-0.083,0.06,0.0,0.057,0.084,-0.168,0.0339,-0.0457213,0.032,-0.0777213,-0.0593979,0.024,-0.0833979,-0.151026,0.021,-0.17202599999999998,-0.0437675,0.088,-0.13176749999999998,-0.0623286,0.048,-0.1103286,-0.170829,0.038,-0.20882900000000001,-0.0701438,0.143,-0.2131438,-0.07698210000000001,0.064,-0.1409821,-0.20666299999999999,0.085,-0.291663,-0.1238733,0.051,-0.1748733,-0.0740514,0.168,-0.24205140000000003,-0.286818,0.234,-0.520818
