"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
831,608385,"Winker, Jesse",831,100,0.2,0.048,0.278,0.248,0.271,0.289,0.206,33,165,86.8,13.6,2275,88.8,89.06,89,354,477,0.29999999999999716,6.46,114,146,123,151,291,321,300,"-3.5","3.5"
831,668800,"Knizner, Andrew",831,100,0.241,0.183,0.288,0.424,0.306,0.286,0.221,54,224,88.4,14.2,2239,88.2,88.4,124,455,376,0.20000000000000284,6.42,107,151,120,147,304,322,292,"4.8","-4.8"
813,595909,"Cave, Jake",813,100,0.212,0.136,0.27,0.348,0.271,0.277,0.203,39,184,88.7,15.1,2250,88.9,88.99,106,397,416,0.09999999999999432,6.37,115,146,115,152,285,319,299,"9.8","-9.8"
811,678894,"Peguero, Liover",811,100,0.237,0.136,0.32,0.374,0.284,0.27,0.228,47,198,87.6,3.2,2226,88.6,88.85,122,419,392,0.20000000000000284,6.4,106,150,115,147,308,321,290,"6.9","-6.9"
808,596103,"Slater, Austin",808,100,0.27,0.13,0.369,0.4,0.33,0.338,0.255,50,185,90.7,7.1,2217,88.5,88.38,101,342,466,-0.09999999999999432,6.41,110,151,117,147,304,322,290,"-5.2","5.2"
805,605170,"Caratini, Victor",805,100,0.259,0.124,0.296,0.383,0.312,0.31,0.258,52,201,91.3,10.8,2234,88.7,88.98,77,365,440,0.29999999999999716,6.42,113,147,122,150,294,319,295,"-1","1"
799,572204,"Thompson, Trayce",799,100,0.163,0.131,0.271,0.294,0.266,0.275,0.165,25,153,89.3,21.8,2249,89,89.27,138,319,480,0.29999999999999716,6.42,108,152,121,146,301,323,295,"4.8","-4.8"
778,605131,"Barnes, Austin",778,100,0.18,0.062,0.222,0.242,0.229,0.273,0.214,32,178,83.7,5.4,2260,89.5,89.86,76,342,436,0.4000000000000057,6.44,109,150,116,146,299,317,286,"15.7","-15.7"
776,605113,"Ahmed, Nick",776,100,0.212,0.091,0.278,0.303,0.247,0.263,0.226,42,198,84.5,12.1,2250,88.3,88.42,105,391,385,0.10000000000000853,6.4,109,151,116,147,302,323,294,"12.3","-12.3"
776,682848,"Rodríguez, Endy",776,100,0.22,0.108,0.281,0.328,0.271,0.294,0.232,41,186,88.7,16,2212,89.1,89.2,77,359,417,0.10000000000000853,6.4,115,148,112,150,297,322,296,"11.4","-11.4"
