"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
2906,592450,"Judge, Aaron",2906,100,0.311,0.375,0.34,0.686,0.458,0.463,0.305,177,570,95.9,14.9,2247,88.8,88.82,370,1240,1666,0,6.37,106,153,122,147,310,331,295,"-82.5","82.5"
2897,656555,"Hoskins, Rhys",2897,100,0.246,0.216,0.292,0.462,0.345,0.338,0.239,145,589,90.1,18.1,2244,89.2,89.16,312,1213,1684,0,6.34,108,153,122,147,300,324,295,"-21.8","21.8"
2893,621566,"Olson, Matt",2893,100,0.24,0.237,0.274,0.477,0.344,0.347,0.248,148,616,92.8,15.9,2238,89.1,89.22,414,1433,1460,0.10000000000000853,6.38,117,165,134,151,302,327,303,"-17","17"
2878,656941,"Schwarber, Kyle",2878,100,0.218,0.286,0.24,0.504,0.355,0.375,0.237,126,577,92.9,18.9,2217,88.9,88.91,339,1168,1710,0,6.31,118,167,129,153,294,324,303,"-20.6","20.6"
2829,596019,"Lindor, Francisco",2829,100,0.27,0.179,0.301,0.449,0.342,0.331,0.254,170,630,89.2,13.7,2227,88.9,88.86,310,1352,1477,0,6.33,111,152,117,147,294,322,298,"-26.7","26.7"
2790,595777,"Profar, Jurickson",2790,100,0.243,0.148,0.272,0.391,0.32,0.315,0.251,140,575,87,12.7,2220,88.9,88.76,228,1217,1573,-0.10000000000000853,6.28,113,153,115,149,295,321,296,"2.5","-2.5"
2781,607043,"Nimmo, Brandon",2781,100,0.274,0.159,0.317,0.433,0.353,0.338,0.256,159,580,88.5,6,2234,90,90,238,1217,1564,0,6.34,116,150,108,150,287,319,302,"-38.2","38.2"
2776,543760,"Semien, Marcus",2776,100,0.248,0.181,0.263,0.429,0.317,0.306,0.243,163,657,87.3,19.9,2262,88.5,88.28,270,1310,1466,-0.20000000000000284,6.24,107,153,119,145,303,327,293,"-10.9","10.9"
2765,665742,"Soto, Juan",2765,100,0.242,0.21,0.249,0.452,0.376,0.401,0.266,127,524,90.9,8.9,2209,89.2,89.16,188,981,1784,0,6.35,116,157,130,151,298,324,309,"-30","30"
2755,518692,"Freeman, Freddie",2755,100,0.325,0.186,0.359,0.511,0.393,0.403,0.313,199,612,91.3,13.6,2217,89.3,89.35,264,1357,1398,0.10000000000000853,6.3,116,158,130,151,297,324,306,"-56.5","56.5"
2751,621020,"Swanson, Dansby",2751,100,0.277,0.17,0.348,0.447,0.337,0.337,0.257,177,640,90.2,15.7,2245,89,89.12,417,1359,1390,0.09999999999999432,6.41,107,152,118,146,306,325,292,"-18.9","18.9"
2747,592885,"Yelich, Christian",2747,100,0.252,0.13,0.327,0.383,0.328,0.339,0.258,145,575,91.1,3.2,2285,89.3,89.09,297,1187,1560,-0.20000000000000284,6.29,116,152,117,153,296,323,304,"-14.4","14.4"
2742,608070,"Ramírez, José",2742,100,0.28,0.235,0.279,0.514,0.363,0.32,0.255,168,601,87.7,20.7,2211,88.5,88.32,192,1269,1473,-0.20000000000000284,6.25,113,163,125,149,294,323,296,"-32.9","32.9"
2730,547989,"Abreu, José",2730,100,0.304,0.141,0.35,0.446,0.361,0.373,0.296,183,601,92.2,8,2271,89.1,88.98,300,1292,1438,-0.09999999999999432,6.28,108,152,122,147,305,328,294,"-21.4","21.4"
2720,607208,"Turner, Trea",2720,100,0.298,0.169,0.342,0.466,0.35,0.335,0.276,194,652,88.9,10.2,2251,88.7,88.82,366,1393,1327,0.09999999999999432,6.32,107,151,116,145,304,322,293,"-24.8","24.8"
2701,502671,"Goldschmidt, Paul",2701,100,0.317,0.26,0.368,0.578,0.419,0.367,0.261,178,561,90.8,15.8,2295,89.2,89.29,302,1127,1574,0.09999999999999432,6.34,106,152,122,147,308,325,299,"-63.4","63.4"
2665,630105,"Cronenworth, Jake",2665,100,0.239,0.152,0.275,0.39,0.318,0.303,0.221,140,587,87.3,18.2,2239,89.6,89.48,200,1114,1551,-0.09999999999999432,6.29,114,150,114,151,288,321,305,"-15.5","15.5"
2643,680757,"Kwan, Steven",2643,100,0.298,0.101,0.323,0.4,0.341,0.312,0.268,168,563,84.7,11.3,2247,89.5,89.15,91,1006,1637,-0.29999999999999716,6.26,111,148,102,149,278,312,293,"-13.8","13.8"
2641,663586,"Riley, Austin",2641,100,0.273,0.255,0.315,0.528,0.377,0.378,0.271,168,615,92.5,12.9,2243,89.3,89.51,376,1361,1280,0.20000000000000284,6.4,108,152,121,146,309,327,296,"-27.6","27.6"
2637,656305,"Chapman, Matt",2637,100,0.229,0.204,0.277,0.433,0.331,0.341,0.234,123,538,92.2,19,2266,89.7,89.55,316,1100,1537,-0.10000000000000853,6.33,107,153,121,147,303,328,296,"-7.6","7.6"
2618,623993,"Santander, Anthony",2618,100,0.24,0.214,0.248,0.455,0.336,0.352,0.257,138,574,90,21.3,2212,88.9,88.75,268,1249,1369,-0.10000000000000853,6.33,113,161,121,151,299,325,297,"-11.4","11.4"
2617,553993,"Suárez, Eugenio",2617,100,0.236,0.223,0.302,0.459,0.344,0.339,0.22,128,543,89.8,19.9,2233,88.8,88.68,362,1095,1522,-0.09999999999999432,6.27,107,153,121,145,300,322,291,"-21.3","21.3"
2596,665489,"Guerrero Jr., Vladimir",2596,100,0.274,0.205,0.289,0.48,0.351,0.351,0.281,175,638,92.8,4.2,2245,89.5,89.47,315,1291,1305,0,6.33,108,153,122,148,307,330,297,"-17.9","17.9"
2572,664023,"Happ, Ian",2572,100,0.271,0.169,0.336,0.44,0.339,0.306,0.239,155,573,89.6,10.7,2224,89.1,87.67,343,1259,1313,-1.3999999999999915,6.34,114,154,121,149,295,321,298,"-2.6","2.6"
2559,641857,"McMahon, Ryan",2559,100,0.246,0.168,0.311,0.414,0.326,0.33,0.247,130,529,91.3,10.7,2228,89.5,89.83,326,1156,1403,0.29999999999999716,6.33,115,156,122,151,298,328,310,"-3","3"
2546,660271,"Ohtani, Shohei",2546,100,0.273,0.246,0.32,0.519,0.37,0.383,0.275,160,586,92.7,11.7,2176,89,88.99,353,1254,1292,0,6.36,116,160,129,151,302,328,307,"-25.7","25.7"
2543,572233,"Walker, Christian",2543,100,0.242,0.235,0.248,0.477,0.346,0.359,0.257,141,583,90,17,2283,89.4,89.31,280,1137,1406,-0.10000000000000853,6.36,108,153,122,146,306,328,296,"-18.9","18.9"
2537,666969,"García, Adolis",2537,100,0.25,0.207,0.309,0.456,0.324,0.322,0.244,151,605,91.9,13.2,2249,89.5,89.3,455,1357,1180,-0.20000000000000284,6.27,107,153,120,146,307,330,296,"-10.5","10.5"
2527,668227,"Arozarena, Randy",2527,100,0.263,0.183,0.325,0.445,0.336,0.301,0.234,154,586,89.9,8.8,2253,88.6,88.37,333,1165,1361,-0.19999999999998863,6.27,106,152,118,147,302,325,292,"-10.9","10.9"
2525,663993,"Lowe, Nathaniel",2525,100,0.302,0.191,0.363,0.492,0.368,0.344,0.275,179,593,90.1,8.1,2262,89.6,89.45,328,1319,1206,-0.19999999999998863,6.24,117,157,122,151,296,328,304,"-26","26"
2522,666182,"Bichette, Bo",2522,100,0.29,0.179,0.347,0.469,0.347,0.334,0.278,189,652,91.9,8.5,2260,89.8,89.73,325,1411,1111,-0.09999999999999432,6.34,110,151,121,149,305,326,292,"-18.4","18.4"
2521,608324,"Bregman, Alex",2521,100,0.259,0.195,0.26,0.454,0.358,0.35,0.257,142,548,88.9,19.5,2244,88.9,88.76,151,1015,1506,-0.10000000000000853,6.32,105,152,120,145,296,325,292,"-28.1","28.1"
2507,624413,"Alonso, Pete",2507,100,0.271,0.246,0.279,0.518,0.366,0.353,0.262,162,597,89.8,18.2,2255,89.5,89.48,302,1250,1257,0,6.35,106,152,122,146,304,325,296,"-33.2","33.2"
2505,502054,"Pham, Tommy",2505,100,0.236,0.137,0.304,0.374,0.304,0.311,0.238,131,554,92.2,7.7,2284,89,88.99,273,1052,1453,0,6.34,108,151,119,146,300,321,291,"1.5","-1.5"
2505,605137,"Bell, Josh",2505,100,0.266,0.156,0.296,0.422,0.344,0.349,0.273,147,552,88.9,8.4,2170,89.3,89.36,246,1136,1369,0.10000000000000853,6.36,113,157,130,150,300,323,302,"-16","16"
2500,543068,"Cron, C.J.",2500,100,0.257,0.21,0.307,0.468,0.335,0.32,0.243,148,575,88.7,14.1,2265,89.3,89.61,290,1193,1307,0.29999999999999716,6.34,107,153,122,147,309,329,302,"-15","15"
2500,593428,"Bogaerts, Xander",2500,100,0.307,0.149,0.362,0.456,0.363,0.323,0.259,171,557,88.1,10.1,2257,88.7,88.66,283,1142,1358,0,6.33,106,151,121,146,294,323,295,"-26.8","26.8"
2490,657077,"Verdugo, Alex",2490,100,0.28,0.125,0.309,0.405,0.319,0.329,0.278,166,593,89.1,8.4,2215,89.4,89.35,175,1127,1363,0,6.32,114,153,115,151,282,320,305,"-10.7","10.7"
2477,641487,"Crawford, J.P.",2477,100,0.243,0.093,0.275,0.336,0.306,0.315,0.255,126,518,84.7,8.5,2219,89.5,89.38,146,1023,1453,-0.09999999999999432,6.28,115,151,107,151,284,316,296,"5.5","-5.5"
2466,642715,"Adames, Willy",2466,100,0.238,0.22,0.278,0.458,0.325,0.323,0.238,134,563,88.9,19,2268,89,88.88,345,1222,1244,-0.09999999999999432,6.28,106,152,119,146,304,322,294,"-17.1","17.1"
2460,656775,"Mullins, Cedric",2460,100,0.258,0.145,0.299,0.403,0.315,0.288,0.232,157,608,87.3,15.9,2237,89,88.84,280,1263,1195,-0.20000000000000284,6.31,112,150,102,152,293,323,296,"1.8","-1.8"
2436,571970,"Muncy, Max",2436,100,0.196,0.188,0.227,0.384,0.318,0.339,0.208,91,464,90,20.6,2243,88.5,88.5,245,940,1496,0,6.28,116,162,128,151,299,324,305,"-10.6","10.6"
2428,605141,"Betts, Mookie",2428,100,0.269,0.264,0.272,0.533,0.373,0.344,0.254,154,572,90.5,18.6,2252,89.6,89.64,177,1072,1355,0,6.33,108,152,120,144,305,324,298,"-37.6","37.6"
2426,527038,"Flores, Wilmer",2426,100,0.229,0.166,0.246,0.394,0.312,0.31,0.233,120,525,87.8,20.7,2258,88.8,88.89,209,1106,1320,0.10000000000000853,6.34,108,153,122,147,302,319,290,"-13.9","13.9"
2419,621043,"Correa, Carlos",2419,100,0.291,0.176,0.339,0.467,0.362,0.363,0.276,152,522,89.9,11.6,2267,89,89.05,236,1073,1346,0,6.28,106,152,120,147,303,325,294,"-21.6","21.6"
2413,650333,"Arraez, Luis",2413,100,0.316,0.104,0.331,0.42,0.35,0.333,0.288,173,547,88.9,12.9,2237,89.6,89.54,73,1034,1379,-0.09999999999999432,6.27,114,149,106,151,283,317,299,"-22.1","22.1"
2395,642708,"Rosario, Amed",2395,100,0.283,0.121,0.326,0.403,0.311,0.31,0.276,180,637,88.4,5,2285,88.6,88.47,267,1272,1121,-0.09999999999999432,6.26,106,151,115,147,298,318,285,"-7.4","7.4"
2392,642133,"Tellez, Rowdy",2392,100,0.219,0.242,0.215,0.461,0.327,0.349,0.252,116,529,91.1,15.3,2232,88.8,88.72,248,1040,1352,-0.09999999999999432,6.28,117,165,136,154,296,325,305,"-8.6","8.6"
2389,502110,"Martinez, J.D.",2389,100,0.274,0.174,0.345,0.448,0.342,0.348,0.26,146,533,89.1,14.1,2267,89.2,89.14,373,1241,1148,-0.10000000000000853,6.31,108,153,122,147,297,326,298,"0.1","-0.1"
2373,669257,"Smith, Will",2373,100,0.26,0.205,0.276,0.465,0.349,0.352,0.257,132,508,89.9,18.4,2281,88.9,88.96,195,1010,1360,0.09999999999999432,6.3,107,152,120,145,306,323,296,"-24.1","24.1"
2372,669221,"Murphy, Sean",2372,100,0.25,0.177,0.29,0.426,0.331,0.344,0.255,134,537,88.7,11.5,2260,88.4,88.37,281,1170,1202,0,6.35,108,153,121,147,300,323,293,"-8.3","8.3"
2371,592518,"Machado, Manny",2371,100,0.298,0.234,0.337,0.531,0.382,0.341,0.267,172,578,91.5,16,2257,89.7,89.63,300,1205,1166,-0.10000000000000853,6.31,107,152,123,146,304,327,297,"-42.1","42.1"
2368,514917,"Hernández, César",2368,100,0.248,0.07,0.309,0.318,0.283,0.29,0.248,139,560,83,8.1,2184,89.6,89.7,230,1125,1242,0.10000000000000853,6.37,112,150,106,150,291,317,295,"13.2","-13.2"
2368,641820,"Mancini, Trey",2368,100,0.239,0.152,0.286,0.391,0.312,0.327,0.245,124,519,89.5,12.7,2264,88.2,88.19,312,1139,1229,0,6.33,108,153,121,148,304,326,291,"-4.1","4.1"
2364,457705,"McCutchen, Andrew",2364,100,0.237,0.148,0.278,0.384,0.309,0.325,0.252,122,515,89.1,13.1,2271,89.1,89.11,257,1062,1302,0,6.32,106,152,119,146,302,322,294,"-1.1","1.1"
2360,664702,"Straw, Myles",2360,100,0.221,0.052,0.261,0.273,0.257,0.275,0.236,118,535,86.7,9.4,2297,89.5,89.11,120,955,1405,-0.4000000000000057,6.28,104,150,106,146,296,313,278,"33.8","-33.8"
2359,673490,"Kim, Ha-Seong",2359,100,0.251,0.132,0.29,0.383,0.313,0.309,0.25,130,517,86.1,15.6,2278,89.2,89,195,1022,1337,-0.20000000000000284,6.3,105,152,117,146,300,321,291,"-5.4","5.4"
2349,573262,"Yastrzemski, Mike",2349,100,0.214,0.177,0.261,0.392,0.307,0.314,0.22,104,485,89.3,19.3,2247,89.2,89.18,227,1008,1341,0,6.33,116,158,115,151,294,321,301,"1.6","-1.6"
2340,663624,"Mountcastle, Ryan",2340,100,0.25,0.173,0.303,0.423,0.316,0.362,0.277,139,555,91.3,15.9,2272,88.5,88.4,391,1314,1025,-0.09999999999999432,6.32,108,153,122,148,305,325,291,"-0.6","0.6"
2332,677951,"Witt Jr., Bobby",2332,100,0.254,0.174,0.295,0.428,0.311,0.313,0.252,150,591,89.7,16.8,2251,88.9,88.79,305,1209,1123,-0.10000000000000853,6.29,106,151,117,146,305,325,295,"5.4","-5.4"
2330,571448,"Arenado, Nolan",2330,100,0.293,0.241,0.29,0.533,0.381,0.339,0.266,163,557,88.8,21.7,2291,89.1,89.2,215,1127,1203,0.10000000000000853,6.35,106,153,122,146,305,325,299,"-34.7","34.7"
